,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.445553634659935,0,0,0.012421089652457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232414782715003,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.183679683788071,0,0.0456415408440418,-0.0135002117748193,0
X601318.CH.EQUITY,0,0,0,0,0.10758168742018,0.0173575159564527,0,0.166723233027045,0.0280644824166067,0,0.0319445482686257,0,0,0.0525452073220271,0,0,0,0,0.101709263687767,0,0.346592257945827,0,0.0546961156780322,0,-0.0248072283070948,0,0.0425973701153026,0.161249997003382,0,0,0,0,0,0,0,0,0,0.0775776037222321,0,0,0,0,0,0.10000345450588,0,0,0,0,0.0404556212274435,0,0,0
X601939.CH.EQUITY,0,0,0,0.289118867569971,0,0,0,0,0,-0.00420238746510541,0.0332820969681389,0,0,0,0.00909032715320182,0,0,0,0,0,0,0.706610177827324,-0.261245553366758,0.0554978029112195,0,0,0,0.0652949883106576,-0.127107923608913,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153184000501484,0,-0.0472762710385324,0,0,0,0,0,0,-0.0860423184446429
X601288.CH.EQUITY,0.147383110455684,0,0.0399452273696042,0,0,0.0652914747653188,0.400292641298226,-0.0803245515472362,0,0,0,0,0,0,0,0.060407704668604,0,0.0229851944996322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186454423885211,0,0,0,0,0,0,0.0252665327785238,-0.107317264588128
X600036.CH.EQUITY,0,0.180588265148609,0,0,0,0.0689130319094508,0.0920761832883099,0,0,0,0,0,0,0.208103963284765,0,0,0,0,0,0,0,0,0,0,0.0285823609913286,0.316870358492944,0,0,0,0,0,0.0880262501001948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0690598363399632,0,0,0,0,0,0,0,0,0.00476070099857706,0,0,0,0,0,0,0,0.152968925038809,0,0,0,0,0.155579828669339,0,0,-0.099788591014599,0,0,-0.0292558227758538,0,0,0,0.181508866056311,0,0.0548132002918787,0,0.563541751022333,0,0,0,-0.0762922297989791,0,0.0995731056356396,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.200854652528337,0,0,0.071838790357435,0.219600079299453,0,0,0,0,0,0,0,0,0.033278739839472,0,0,0,0,0,0.00196230679373358,0,0,0,0,0,0,0,0.17108382620738,0.141714765738805,0,0,0.07623611471293,0,0,0,0,0,0.0626483166732044,0,0,1.0842021724855e-19,-0.18824292371382,-0.0520304894251908,0,0,0,0,0,0,0.358627181627314,0,0.026144739359988
X1299.HK.EQUITY,0,0,0,-0.0455028861732046,0,0,0,0,0,0.139295689909895,0,8.67361737988404e-19,0,-0.169784128373848,0,0,0,0,0,0,0,0,0,0,0,0,0.239668545621306,0,0.0187643180948623,0,0,0,0,0,0,0,0,0,0,0.0979741656400436,0.128377494288716,0.0625063598999223,-6.93889390390723e-18,0.0745591681343346,0,0.0265155907833099,0.171551864199521,0,0.139059616546128,0,0,0
X5.HK.EQUITY,0,0.0170506486381772,0,0,0,0,0,0,0,0,0,0,0,0,0.0967197061190638,0,0,0,0,0,0,0,0.0557130483326502,0,0,0,0.122715838066264,0,0.618149335748661,0,0.0336833814264179,0.135974987982396,0,0,0,0,0,0,0,0,-0.111747101144865,0.0919756107458863,0.189381511545484,0,0,0,0.106745937968612,0,0.182365109424884,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.121477495682819,0,0,0,0,0,0,0,0,0,0,0,-0.13118980200868,0,0,0.486115418488526,0,0.26096349477491,0,0,0,0.167009371450598,0,0,0.134291603524627,0.10839140310205,0,0,0,0,0.123539727775407,0.00101365165835118,0,0,0,0.0547557888470762,0,-0.244550214463121,0,3.46944695195361e-18,0,0,0,0.0489141883843149,0
X601658.CH.Equity,0.213903141796319,0,0.109628750660648,0,0,0,0,0,0,0,0,0.0557057346096352,0,0,0,0.0278083415983783,0,0,0.354057896941264,-0.0186782500042289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236770265734719,0,0,-0.139615489373949,0,0,0,0,0.0124743328499919,0,0.0955387678061809,0,0,-0.0570671980029658
