,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0.206092059542832,0,0,0,0.0365117429638332,0.654650936384367,2.78650588908837e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913203412481531,0.0764757053758267,0,0,0,0,0,0,0.114499941438956,0,0,0,0,-0.142195393332867,0,0,-0.214130907095211,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152471514351334,0,0.0833843449036425,0,0,0,0,0.199101487321915,0.0256529785280289,0,3.46944695195361e-18,0,0,0,0,0.0676759111112157,0,0,0,0,0,0,0.0521181575369457,0,0,0,0,0,0,0,0,0,0,0.440788620251428,-0.0783710554293438,0.00766521295344894,0,0,0,0.0514939212913165,0,0,0,0,0
X601939.CH.EQUITY,0.201612653391005,0,0,0,0,0,0,0,0,0.00665043044194571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430198764136337,0,0,0,0,0,0,0,0.114849763323732,0,-0.0495269016983422,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.0503186585431006,0,0,0,0.019527270166397,0,0.0390168041751928,0,0.0828956886672911,0,0,0,0,0,0,0.0116791292458161,0,-0.0356460139075519,0.365359245919906,0,0,0,0.112000727901752,0,0,0,0,0,-0.0444633555551887,0,0,0,0,0,0,0.211002704778742,0,0,0,0,0,0,0,0.0847001254455911,0,0,0
X5.HK.EQUITY,0,-0.134068306678602,0,0,0,0,0,0,0,0,0,0,0,0,0.0490349616568312,0,0,0.135426620908611,0,0,0.326478561699323,0,0,0.37350422264982,0,0,0,0,-0.24897307498457,0,0,0,-0.0238953216662371,0,-0.0206634483061753,0,0,0,0,0,0,0,0,0,-0.0558495458144997,0,0,-0.110430388556322,0,0.232794246511431,-0.0385243775134264
X601988.CH.EQUITY,0.162446741658165,0,0,0.394444116289516,0,0,0,0,0,0.0805463753020943,0,-0.00951115106736896,0.0675446688427272,0,0,0,0,0,0,0,0,-0.131899118105556,0.255320634996006,0,0,0,-0.049672572913099,0.205765473813192,0,0,0,0,0,0,0,0.0561299679981873,0,0,0,0,0,0,0,0,0,0,0,0.0634008603493708,0,0.0198519455263029,0
X600036.CH.EQUITY,0,0.557258949517208,0.0643953288400754,0,0,0,0,0,-0.0975534828420355,0,0,2.77555756156289e-17,-0.198772356483749,0,0,0,0,0,0.0205038124054138,0,0,0,0,0,0,0.0986375196909512,0,0,0.0741561202291474,0,0.25295219842164,0,0,0,0,0,0,0,0,0,0,0.210499748380493,0,0,0,0,0.0336707502250558,0,-0.0635738587187864,0.12404540950257,0
X1299.HK.EQUITY,0,0.0461022701695685,0,0,0,0,0,0,0,-0.102759471967492,0,0,0,-0.070130006697759,0,0.00540981100248875,0,0.292827355293537,0.103475535787429,0.244156677698265,0,0.220090853964082,-0.207286707133074,0,0,0.160028143170129,0,0,0,0,0,0,0,0,0,0.0373195330183896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.136655683468367,0,0,0,0,0,0,0,0.0535711663589962,0,0,0,0,0,0,0.218937041112321,0,0,0.0955295640599925,0,0.0477002576079075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143885424089832,0,0.112108546689861,0,0.015434683604063,0,0,0,0,0,0,0,0.0628199021935516,0
X601166.CH.EQUITY,0.0584131119718713,0.00890789414108373,0,1.38777878078145e-17,0,0.265412495204682,0.100123301371875,0,0,0,0,0,0,0,0,0,0.623255896057558,0,0,0,0,-0.597868975099627,0,0,-0.0655840866661854,0,0,0.467607240562679,0,0,0,0,-0.0677483189759004,0,0.144461560340047,0.336984119368031,0,0,0,0,0,0,0,-0.116124199043743,0,0,0,0,0,0,0
