,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00571621336749965,0.170686568306985,0,0,0,0,0,0,0,0,0,-0.269688209811282,0,0,0,0,0,0,0,-0.0622272628109436,0,0,0,-0.28895233616071,0,0,0,0,0.770007188205756,-0.122696831201545,0,0.35125693089585,0,-0.0823732010443928,-0.0117980370570521,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.152457639607503,0,-3.46944695195361e-18,0.0289108460395307,0,0,0,0,0,0.027385538679924,0,0,-0.0264036962483877,0,0,0,0,0.0226071137158759,0.143402572150849,0,0,0,0,0.0843570904696958,0,0,0,0,0,0,0,0.476732498486365,0.0386410026818321,0,-0.0606601855389508,0.0299184342986126,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.409542401028377,0,0,0,0.00782297999234031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11414625788711,0,0,0,0,0,0.151123541960899,0,0.0724891327852385,0,0,-0.160485694039373,-0.106882242111415,0,0,0,0.461196694998955,0,0,0,0,0.0871039926872143,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,-0.00265706641852474,0,0,0,-0.0372469595105153,-0.170343176502835,0.200791901835221,0,0.422796617099235,0,0,0,0,0,0.0407062504258121,-0.0451009596163689,0,0,0,0,0,0,0,0,0,0.0499116063446959,0,0,0,0,0,-0.729658133648357,0,0,0,0,0,0,0,0,0.137819382871817,0,0,0,0,0.286049004288253,0,0,-0.112765425581784
X5.HK.EQUITY,-0.180215171189254,0,0,0,0,0,0,0,0,0,0.0128658458463807,0,0,0,0.0404320208541352,0.246331863858032,0,0,0.0942740071550458,0,0.208841718773296,0,0.48527963203371,0,0,0,0,0,0,-0.242499379275647,0,0,0,0,-0.00719330698383561,0,0,0,0,0,-0.0966118453202535,0.192409954086489,0,0,0,-0.138199918978189,0,-0.0886078204205094,0,0.0219364861717684,0
X601988.CH.EQUITY,0.173651429801566,0,0.033110128778775,0.623890172980906,0,0,0,0,0,0,0.103980877644873,0,0,0,0.113994122080598,0,0,0,0,0,0,0.0206912240502582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179298716228773,0,0,0,0,0,0,0.0793935207226042,0,0,0,0,0
X600036.CH.EQUITY,0,0.413503149899049,-0.0631507665654142,0,0,0,0,0,-0.124449966723076,0.545578418814134,0,0,0,0,0,0,0,0.00387674254526578,0.109681601127852,0,0,0,0,0,0,0.110648762793537,0,0.044826578515076,0,0.339768052194122,0,0,0,0,-0.333817442161483,0,0,0,0,0,0,0.114114451937989,0,0,0,0,-1.38777878078145e-17,0,0,0,0
X1299.HK.EQUITY,0,0,0.00647565288440726,0,0.0889150295370606,0,0,0,0,0,0,-0.0399244042694889,0,0.053928575001134,0,0,0.149240446404122,0,0,0,0,0,0,0.0439902428750542,0,0.20449662652306,0,0,0,0,0.125110867116387,0.162278793678055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0583794577519418,8.67361737988404e-19,0.0539385162052216,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.32884849001531,0,0,0,-8.67361737988404e-19,-0.0237766962419152,0,0,0,0,0.118545928642939,0,0,0,0,0,-0.0584465129791457,0,0,0,0,0,0,0.044787817009134,0.214994929085417,0.0118092303154184,0,0,0,0,0,0,0,0,0,0.13851466778417,0,0
X601328.CH.EQUITY,0,0.136657931668415,0.327685207773876,0.0354229562185324,0,0,0.3444151404259,0,0,0,0,0,0,0,0,0,0,0.284856303916667,0,0,0,0.00494521280970183,0,0.0235151644088007,0,0,0,0,0,0,0,0,-0.13105642058299,0,0,0,0,0,0,0,0,0,0,0,0.0377441656301686,0,0,0,0,0,0
