,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.044812357707627,0.106925934790415,0,0,0,0,0,-0.0509429714901318,0,0,0,0,0,0,0,0,0,0,-0.106349048985574,0,0.0247741899025709,0.432016298938582,0,-0.274621064406429,0.431911622012797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121470019005329
X601318.CH.EQUITY,0,0,0,0,0,0.213889752006467,0,0,0,-0.0715573613182283,0,0,0.0999485864407225,0,0,0,0.0844608424627943,0,0,0,0.0121696054913082,0,0,0,0,0,0,0,0,0.0150755253851347,0.153863310594044,0,0,0,0,0.2455191911507,0,0.0687151491733259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462934096953979
X601939.CH.EQUITY,0,0.00543081550082327,0,0.788939199529794,0,0,0,0.0015189534342395,0,0.0478575898722084,0.0790502522300365,0,0.0133113445356791,-0.0612558599375219,0.00201933394407053,0,0.0623311770125244,0,0,0,0,0,0,0,0.0399612415642749,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.124340625169695,0,0,0,0,0,0,0,0,0,0,0,0,0.0324004730353911,0
X601288.CH.EQUITY,0.0514959821892598,0,0.812514182246458,0,-0.0167123001940636,0,0,-0.0997033341186522,0,0.0538264813941682,0.178604499288429,0,0,0,0,0.0458314740952832,0,0,0,0,0,0,0,0,0.0323636408478608,0,0,0,0,0,0,0.0948516621565241,0,0,0,0,0,0,0,-0.109626239925224,-0.149895254973947,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0716631547134306,-0.014180826805822
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.209999073690416,0,0.15883887512667,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989492206700713,0,0,0,0,0,0,0,0,0.014460755000845,0,0.279891077450123,0,0.444415985749234,0,0,0,0,0,0,0,0.0973304124320792,0,0,0,0,0,0.136213556482451
X600036.CH.EQUITY,0,0,0.113839310245306,0.264059788372343,0,0,0,0,0.00597565544558438,0,0,0,0,0,0,0,0,0.122732319034875,0,0,0,0,0,0,0.144053125138059,0,0,0,0.0925836856771599,0,0.036406797326852,0,0,0,0,0,0,0.0344185902392161,0,0,0,0,0,0,0,0,0,0,0.0345196413708361,0,0,0
X601988.CH.EQUITY,0,0,0,0.0871470434516091,-0.0455179234636067,0,0,0,-0.0202360484158447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175407435539521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125879410355451,1.00171086854312,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0309280177882313,0,0,0,0,0.220973067371748,0,0,0,0,0,0.00228664436690365,0,0,0,0,0,0,0.318346607310808,-0.00170464920650185,0,0,0,0.11341845581012,0,0,0,0,0.178508797325027,0,0,-1.38777878078145e-17,0,0,0.0849110147428099,0,0,0,0.0629925660472481,0,0,-0.0327019375116778,0,0,0,0.145130070872974,0,-0.0148377656061468
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0420254146277059,0,0,0,0,0,0,0,0,0,0,0,-0.111248811139115,0,0,0,0,0,0,0.0851779634126929,0.420116764490652,0,-0.0662656293247579,0,0,0,0,0,0,0,0,0.0408455127935182,0,0,0,0,0.109248515288702,0.0571111562115265,0,0,0,0,-0.283600353470034,0.19186807797702,0.031602203199942
X388.HK.EQUITY,0,0,0,0,0.195395620805577,0,0,0.0847159463330747,0,0,-0.0125679197394294,0,0,0,0,0.0883074676653866,-0.0649895004124949,0,0,0,0.0306521303250124,0,0.317740750186895,0,0,0.229734937294739,0,0,0,0,0,-0.0543910913037726,0,0,0,0,0,0,0,0,-0.0133322854058261,0,0.183597230905128,0,0,0,0,0,-0.295313453505404,0,0,0.209536281201242
