,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.466820524560777,-1.0842021724855e-19,0,0.416371406281126,0,0,0,0,0,0,0,0,0,-0.0622650426352651,0,0,-0.0584460356743487,0,0,0.0192325589335674,0,0,0,0,0,0,0,0,0,0,0,0,0.226624780208612,0,0,0,0,0,0,0,0,0,0,-0.0953605216006646,0,0,-0.191723311205857,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0158089847701414,0,0,0,0,0,0,0.167839217062617,0,0,0.263828180222233,0,0,0,0,0,0,0,0,0,0,0,0.0373808858072626,0.0195911997931973,0,0,0,0.0881508991962075,0,0,0,0,0,0.356325954567917,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.174664238072731,0,0,0,0,0,0,0,0,0,0.0452021567510459,0,0,0,0,0,0,0,0,0,0.115793023676145,0,0,0,0.0300511453441377,0.399113609929771,0,0,0,0,0,0,0,0,0,0.109632817406517,0,0,0,0,0,0,0,0.0457876434389838,0,3.46944695195361e-18,0,0,0,0,0
X601288.CH.EQUITY,0.0445830848886181,0,0,0,-8.67361737988404e-19,0.0757364956071722,0,0,0,0,0.0849775152113445,0,0,0,0,0,0,0,0,0,0.0638443463363474,0,0,0,0,0.14800466936328,-0.0411422841384941,0,0,0,0,0,-0.000289606936846483,0,0,0.020839934395321,0,0.0108662016264595,0,0.262124220580273,0,0,0,0.237494477714855,0,0,0,0.0369687743738391,0,0,0
X5.HK.EQUITY,0,-0.0795447184485999,0,0,0,0,0,0,0,0,0,0,0,0,0.062803056957959,0,0,0.0717763175594543,0,0.306264537424542,0,0,0.470945020141731,0,0,0,0,-0.0352501522666973,-0.21029693727912,0,0,0,-0.0448958744464745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163689701959164,-0.0689566376662815,0.162110123752815,-0.0496791019864949
X601988.CH.EQUITY,0.332587130294659,0,0,0.42809889168389,0,0,0,0,0,0.0736063337235103,0,-0.0165463921291285,0,0,0,0,0,0,0,0,0,0.127060381180325,0,-0.072448674569503,0,-0.0578798335438474,0.174892437669986,0,0.0422872384148942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630129874586419,0
X600036.CH.EQUITY,0,0.303090696818885,0,0,0,0,0,0,0,0,0,0.142303142719611,0,0,0,0,0.0268125881900704,0,0.0172812299997237,0,0,0,0,0,0,0,-0.0276267649334383,0,0,0,0.0334939228907533,0.165919513401511,0,0.110501069742587,0.0341650142994202,-0.171928005127326,0,0,0,0.201544618763835,0,0,0,0,0,0,0,0,0,0.126971800944223,-0.0805013013460595
X1299.HK.EQUITY,0,0.150042131319762,0,0,0,0,0,0,0,-0.0912296072080469,0,0,0,-0.136342917610244,0,0.0374549786030285,0,0.222407468555326,0.228564956489849,0,0.272542486162244,-0.107927453715248,0.00726890033887085,0.211382708282022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104463053486837,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.184314334915109,0,0,0,0,0,0,0,0.0398297229671179,0,0,0,0,0,0,0.222050763916697,0,0,0,0.113898313531859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780769861136621,-0.0622188487819574,0.166061699343951,0,0.011527068658662,0,0,0,0,0,0,0,0,-0.0962146386593077
X601166.CH.EQUITY,0,0,0.192593018232483,0,0,0.217903122622593,0,0,0,0,0,0,0,0,0,0,0.322830436480997,0,0,0,0,0,-0.0156763690299295,0,0,0,0.110142917741252,0,0,0,0,0,-0.0437515414371494,0.360084617087968,0,0.152990414966403,0,0,0,0,0,0,-0.125586964976923,0,0,0,0,0,0,0,0
