,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.133827871401941,0,0.171606810223861,0,0,0,0,0,0,0,0.329222915383915,0,0,0,0,3.46944695195361e-18,0,0,-0.161460912825275,0,0,0,0,0,0.0925667307488601,0,0,0,0,0,0,0,0,0.0586684067361229,0,0.179211241963135,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.134074028912916,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0956244733313122,0,0,0.164694650153352,0,0,0,0.213458313943566,-0.0695817555203227,0,0.251365404935267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104575682939535,0,0,0,0.226116668343324,0,0,0,0,0.220250639052374,-0.255058980709477,0,0.174773883821128,0.0969059675967138,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.626777568313647,0,0,0,0.0224875295023489,0,0,-0.0336138299274498,0,0,0.172649430136337,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,6.93889390390723e-18,0,0.000366120708572239,0,0,0,0,0.0324231017138953,0,0,0.27723739535696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.276594204215154,0,0.0552262229852161,0,0,0.369865215999489,0,0,0,0,0.121333454605039,0,0,0,0,0,0,0.096588485387948,0,0,0.0301425367794261,-0.0538997552963968,0,0,0,-0.0601823617020797,0,0,0,0,0,0,0,0,-0.126030695082864,0,0,0,0,0,0.205205707048388,0,0,0,0,0,0,0.0866498957671351,0,0,0,0
X5.HK.EQUITY,0,-0.104021897021849,0,0.21889642929336,0,0.0299474460605326,0,0,0,0,0,0,0.0739692505855674,0,0,0,0,0,0,0,0.437570987167864,0,0,0,0,0,0,0,0,0,0.423918805365082,0,0.0194084743930383,0,0,0,0,0,0,0,0.00338068827170761,0,0,0,0,0,0,0.175741181219021,0,-0.12166949383251,0,-0.092122825408513
X601988.CH.EQUITY,0.225894621749085,0.06867410812241,0.214585134130065,0,0,0,0,0,0.161589923229729,0,0,0.0871253952907039,0,-0.178830261568394,0,0,0,0,0,0,0.0776723868332061,0,0,0,0,0.0562411998419865,0,0,0,0,0,0,0,0.0877156118837233,0,0,0.0143400364376532,0,0,0.0615822580328845,0,0,0,0.0938706448239025,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.202987200127591,0,-0.03293983949202,0.0316310347434132,0,0.236893505108668,0,0.278557413103906,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.0463582942620635,0,0.0820960106035995,0.0347877302696245,0,0.0954267508179272,0,-0.000725328526257828,0,0.034356606193767,0,0,0,0,0,0,0,0,0,0,0.00133558457464359,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.106380080496171,0,0,0,0.11257113727402,0,0,-0.112150804550914,0,0.0234834081974858,3.46944695195361e-18,0.236122691841416,0,0,0.0263444479568362,0,0,0,0.0471563458595337,0.065870509977513,0.0910103628878827,0,0,0,0,0,0.0121280655471862,0.21286930435043,0,0.0313604876272266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.144397027954155,0.193080345479382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00533505153973927,-0.105750133509448,0,0,0,0,0,0.232057695747204,0,0.0177415136757262,0,-0.124255616000338,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.104203609872244,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.132795338654967,-0.3340214570495,0,0,0,0,0,0,0,0,0,0,0.409798717635583,0,0,0,0.113345233379458,0,0,0,0,0,0,0,0.0689223862351548,0,0,0,0,-0.619017302269632,0.120374170680182,0,0,0,0,0,0.765595244943518,-0.0490755367720543,-0.289997663614388,0,0,0
X601166.CH.EQUITY,0,0,0.0356417869764728,0,0,0,0.464387176305031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00458279817057699,0,0,0,0.114155712516196,0,0,0.280003238585765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176422808074742,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.137909016574932,0.0170705814226085,0,0,0.0608448274927633,0,0,0,0,0,0.485692463395941,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589901977675951,0,0,0,0,0,0,0.0400928696343289,0.105347104558789,0,0,0,0,0,0.0270452778595912,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0212996978831723,0,0
