,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.308352226997652,0,0,0,0,0.368190449198613,0,0,0,0,0,0,0,0.0349677741499374,0,0,0,0,0,0,0,0.131256040455422,0,0,0.0292596134417243,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.105991721139989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.225195701045664,0,0,0,0,0,0.223264926366097,0,0,0,0,0,0.144418791615172,0,4.33680868994202e-19,0.0602889450631202,0,0,0.0556389227412445,0,0,0,0,0,0,0,0,0,0.0720726140945285,0,0.00307199171667613,0,0,0.121854946166484,0,0.0493517955674414,0,0,0,0,0,0,0.0162947418777868,0,0,0,0,0,0,-0.0379331237446528
X601939.CH.EQUITY,0.476089667786589,0.142378773877105,0,0,0,0,0,0.244813381774949,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.179574889780398,0,0,0,0,0,-0.0101915504069619,0,0,1.38777878078145e-17,0,0.120986360980687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146992739301424,0.200910779499551,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.558488920927211,0,-0.0795262327815594,0,0.0411693723533916,0,0,0,0,0,0.0182743276164099,0,0,0,0,0.0607941878821954,0.135315129307265,0,0,0,0,0,0,0.112852622254703,0,0.055928934875209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340241467566243,0,0,0,0.0190718372400147,0
X600036.CH.EQUITY,0,0.115794480788197,0,0,0,0.0795175438908323,0,0.0884128743655789,0,0,0,0,0.107293983272469,0,0,0,0,0.00205669512627194,0,0,0,0,0.0134133596922197,0.0939988394537568,0,0,0,0,0,0,0.0791143290051292,0,0,0,0,0,0,0.040336994687414,0,0,0,0,0,0,0,0,0,0,0,0.345422615597759,-0.216503497871911,0
X1299.HK.EQUITY,0,0,-0.271292532119592,0,0,0,0,0,0,0.173162742045222,0,0,0,0,0.104658582931264,0,0,0,0,0,0,0,0.0711082319847878,0.0128243087280624,0,0,0,0,0,0,0,0,0.228595772569711,0,0,0,0,0,0.188225675052024,0,0.0347377083986403,0.0931743479059172,0.308330461714197,0,0,0,0,0.218420213393291,0,0,0,0
X601628.CH.EQUITY,0.173030706848946,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0162470889245373,0,0,-0.238464181336477,0,0,0,0,-0.0629044225566705,0.189889549353179,0,0,0.00215877384929019,0,-0.14282682094483,0,0,0,0,1.73472347597681e-18,0,0,0.613242900353473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0457630099747938,0,0.0888317027386605,0.365526216349988,0,0,0,0,0,0,0,0,0.194099942060432,0,0,0,0.153894870680078,0,0.0106506480267348,0,0,0,0,0.0289088587248817,0,0,0.00755714132440646,0,0,0.107484906381764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.355129089461225,0,0,0,0,0,0,0,0,-0.0251439638005363,0,0,-0.313429192741372,-0.0517573525432894,0,0,0,0,0,0,0,0.217592963306172,0,0,0.157643174375488,0,-0.0263213284206449,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.305537844325073,0,0.102369419100496,0,0,0,0.106168511148846,0,0,0,0.0641567774823072,0
X388.HK.EQUITY,0,0,0,0,-0.0870195410899868,0.240544875911868,0,0,0,0,0,0,0.010269160657041,0,-0.022019209861655,0,0,0,0,-0.129689487408464,0,0.4124548817596,0,0,0,0,0,0,0.0361288739731105,0,0,0,0,0,0,0,0,0,0.0795025228164435,0.116477485301016,0,-0.0682274082670506,0,0.175755126667158,0,-0.332778071161734,0,0,0,0,0.178126658935619,0
