,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.104282140753776,0,0.0919092535627812,0,0,0,-0.0373098224828883,0,0,0,0.397854459897825,0,0,0,-0.101175905588512,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035639306643867,0,0,0,0,0.114776447524353,0,0,0,0.157069857457592,0,0,0,0,0.0694915571828249,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0707265042978186,0,0.288503787830481,0,0.102757689290636,-0.105528705765544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307509395275915,0.306035151123034,0,0,0,0,0,0.240307076791984,-0.223469310573245,0,0.23478927438547,0,0.243273546656748,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.324661752627576,0,0,0.255974287021647,0,0.134045558696783,0,0,0,0,0,0,0,0,0.118942679424316,0,0,0,0,0,0,0,0.0773183899416812,0,0,-0.0651048626254305,0,0,0,0,0,-0.0253138595338715,0,0,0,0,0,0,-0.0994488673401711,0,0.363315951731734,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.228271289984,0,0.158881405227788,0,0,0.25838587542331,0,0,0,-0.0686739339586246,0,0,0,0,0,0,0,0.0656717408029388,0,0,0,0,0,0,0,0.0452623793326315,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510244235442932,0,0.235110596335362,0,0,0,0,0,0,0.165379926443942,0,0,0,0
X5.HK.EQUITY,0,0,0.0394374848802194,0.228155544051238,0,0.166633893962106,0,-0.31213357084422,0,0,0,0,0.0807354718596801,0,0,0,0,-0.0431624764138804,0,0,0,0.4200854216981,0,0,0,0.41656607595721,0,0,0,0,0,0,0.0625910709159235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161666973106769,-0.110135536405376,0,0,0
X601988.CH.EQUITY,0.255456352466734,0.0537354419679474,0.222012306526294,0.00101358533227938,0,0,0,0,0.170616187022414,0,0,0.17635869206691,0,-0.207695554443439,0,0,0,0,0,0,0,0,0,0,0.0647883455597776,0,0.0740731733124282,0,0,0,0,0,0,0,0.0542547031392177,0,0,0,0.0083228834243898,0.0891278914030528,0,0,0,0,0.0512530107701067,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0196902630677159,-0.0118817224633677,0,0.0968299561768676,0,-0.0264514335796636,0.0291343468729789,0,0.325086493204179,0,0.26330674913364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550680452495568,0.0715871140206781,0,0.0712478924941636,0,0,0,0.0907343028195903,0,0,0,0.118057235344577,0,0,0,0,0,0,0.063861804258845,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0139828527711945,0,0,0,0.0202906444406554,0,0,-0.0436565777470558,0,0.115760840637509,0,0.435105655943523,0,0,0,0.0793909610539176,0,0,0,0,0.0651493710990203,0,0,0,0,0,0.0555951933016995,0,0,0,0,0,0.107087272854177,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0983898878904883,0.300222105602136,0,0,0.130679967095812,0,0,0,0,0.0132553178706842,0,0,0,0,0,0,0,0,0,0.0652634055547726,0,-0.174560548936884,0,0,0,0,0.237107892512158,0,0,0.0335504904555842,-0.338365191371296,0,0,0,0,0,-0.0152195809728789,0,-0.0770316851586402,0,0,0,0.055757959301464,0,0,0,0,0.0488348007226841,0,0,0,0.0191054349198138
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.254295374126416,0,0,0,0,0,0,-0.0802304437031904,0,0.115848292898289,0,0.0750453314780429,0,0.389175736982578,0,0,0,0,0,0,0,0,0,0,0,0.381504441655442,0,0,0,-0.296063160654852,0,0,0,0,0,0.343355673944305,0,0,0,-0.978980973949624,0,0
