,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0327500795060278,0,0,0,0,0,0,0,0,0,0,-0.0505444304552181,0.56522390120894,0,0.859041230563592,0.0697897334641523,0,0,-0.121677284555731,0,0,-0.195039417816139,0,0,0,0,0,-0.00299139525267728,0,0,-0.314359510624866,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0843054440481124,0,0,-0.0106043504289133,0,0,0,0,0.0451830772508351,0,0,0,0,0.302692150968258,0,0,0,0,0,0,0,0,0,0.0986389078076635,0,0,0,0,0,0.618800641685765,0,0,0,0,0,0,0,0,0,0,0.0122478098551141,0,0,0,-0.0489942327457412,0
X601939.CH.EQUITY,0,0,0,0.808904424461972,0,0,0.0653528833898429,0,0,0,0,0,0.0305561761095547,0,0,0,0.0248189934361783,0,0,0,0,0,0.0107420565257593,0.00717187484417668,0,0,0,0,0,0,0,0.0416282821537598,0,0,0,0.00978787904223852,0,0,0,0,0,0,-0.0132944234865463,0.0250897798586574,0,0,0,0,0,0.049956028556118,0,0
X601288.CH.EQUITY,0,0,0.910951395794748,0,-0.0668012008953567,0,0,0,0,0,0,0,0,0,0,0,0,0.114324855968987,0,0,0,0,0,0,-0.0144878253478364,0,0.0597295319899576,0,0,0,0,0,0,0,0,0,-0.0929248975203782,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485895433995415,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.114362048394559,0.853137229590035,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0.118094990792782,0,0,0,0,0,0,0,-0.0793136649261868,0,0,0,0,0.185281639426233,0,0.0382205334746322,0,-0.10727564569265,0,0,0,0.0286512479961211,0,0,0,0,0,0.0499575803184733,0.000428217834479876,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,1.21235018248799,0,0,0,0,0,0,-0.248908076544783,-0.211851012383594,0,0,0,0,0,0.0198472169998034,0,-0.0910839054829713,0,0,0,-0.0531477960460781,0,0,0,0,0,0,0,0,0,0,0,0.0392422638007838,0,0,0,0.00874059366672428,0,0,0
X600036.CH.EQUITY,0,0,0.297964082579193,0.0778861609534564,0,0,0,0,0.093723024687039,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389429615866122,0,0,0,0.448134087433938,0,0,0,0,0,0,0,0,0,0,-0.0199119801089355,0.0548551712734952,0.0738727573622442,0,0,0,0,0.0246265795033272,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.347116057113526,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.1973643065901,0.0033950214934849,2.77555756156289e-17,0,0,0.0454416406302756,0,0.225863915391793,0,0,0.124164831370011,0,0,0,0,0,0,0,0,0,0,0,0.475075532585068,0,0,0,0.0211109070636693,0.0770811631129501,-0.0488054543523923
X5.HK.EQUITY,0,0,0,0,-0.190103928591435,0,0,0,0,0.131985522700442,0,0,0,0,0,0,0.369052290508625,0,0,0,0,0.138341065287867,0,0,0.14563673223891,0.168061022053885,0.486725531123399,0,0,0,0,0.0604391691057785,0,0,0,0,0,0,-0.219396974093991,0,0,0,0.11782135460661,0,0,-0.300485345359901,0,0,0,0,0.203091412498802,0
X388.HK.EQUITY,0,0,0,0,0.172337018419155,0,0,0,0,0,-0.0424594591868786,0,0,0,0.0820108021878117,0,0.0400254130268322,-0.127484415805706,0,0,0.0561417298621532,0.00498674073719862,0,0,0,0,0,0.517815251811752,0,0,0,0,0,0,0,0,0.274218476830896,0,0,0,0,0,0,0,-0.206824345676515,0.020202818348684,0,0,0,0,0,0
