,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.62337659340037,0,0.00630720997339371,0,0,0,0,0,0,0,0.0971370121607408,0,0,0,0,0.0732927310069025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795899677137816,0,0,0,0.0389684534447785,0.035851996723567,0,0,-0.0304429214161014,0,0,0,-0.011330125536382
X601318.CH.EQUITY,0,0,0,0,0,0,0.151202775185118,0,0.0885602947550923,0,0,0,-0.00739286843857221,0,0,0,0.0726401782826161,0.255886657421022,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117226573458073,0,0,0.0435563318235678,0,0,0,0,0.17996167015826,0,0,0.0427255389302468,0,0,0,0,0,0.143596382949292,0,0,0
X601939.CH.EQUITY,0,0,0,0.400959074462948,0,0.258152264652275,0,0,0,0,0.0237883652113799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155058174424488,0,0,0,0.00286252378556109,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.118644782013081,0,0.257072261331013,0,0,0,0,0,0,0.132241460238928,0,0,0,0,0,0,0,0.14229409481693,-0.00809635197255023,0,0,0,0,0,0.142645352535176,0.0489677382464208,-3.46944695195361e-18,0,0,0.107237435396955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.166435547949323,0,0.396239778540593,0,0,0,0,0,0,0,0.133935732490408,0.119422865807255,0,0.0786130395821886,0,-0.224670347892275,0,0,0,0,0.349647562783247,0,0,0,0.133093577854267,0,0,0,0,-0.0993013805440154,0,-0.132233205154933,0,0,0,0,0.0724781009982773,0,0,0,-0.465176374942238,0,0,0,0,-0.167075437854546
X601988.CH.EQUITY,0.0707577747447165,0,0.0511425166527785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58056208874223,0.00888314003360742,0,0,0,0,0,0.143909297407474,0,0,0,0,0,0,0,0,0.0644951780357625,0,0,0,0,0,0.0287201943216212,0,0,0,0,0.0882797331608777,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0397125102878311,0,0,-0.0195773910958342,0,0,0,0,0,0.060023383007935,0,0,0,0,0,0,0.683598171258237,-0.00584452269627659,0.0443139891922052,0,0,0.102694146099689,0,0,0,0,0,0,0,0,0,0,0,0,0.0686119543850435,0.0487698376426306,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.26325375014846,0,0,0,0,0,0,0,0.224201541135729,0.0212685220061435,0,0,0,0,0,0.0544870589117692,0.0481124662144076,0,0,0,0,0,0,0.0824451114720401,0,-0.0483158134398402,0,0.322618407255472,0.199191387129709,0,0,0,0,0,0,0,0,0,0,-0.0755248083012807,0,1.73472347597681e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0.215115040611806,0,0,0,0,0.0308198581985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505216459533725,0,0,0,0,0,0,0,0,0,0,0,0,0.404381077121482,0,0.232085800015961,0,0,0.0295635704792854,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0130766043508931,0,0,0,0.158921693428876,0,0,0,0,0,0,0.1718936393698,0,0,0,0,0,0,0,0.288713531142133,0,0,0,0,0.079189189448445,0,0,0,0,-4.33680868994202e-19,-0.00504808773278298,0.0686998493112407,0,0,0,0,0.257349299131049,0,0,0,0,0.0653961225323707,0,0,0,0,0.0213660012934161,0,-0.00941136742999224
X601166.CH.EQUITY,0.00640263148860751,0,0.21683983474877,0,0,0,0.171904427857745,0,0.00263050137532443,0.0869947023819891,0,0,0,0.195159952247429,0,0,0,0,0,0,0,0,0,0,0.0865042365118116,0,0,0,0,0,0.000671353351698445,0,0,0,0,0,0,0,0,0,0,0.0933813264608601,0,0,0,0,0,0,0,0,-0.0470519758589222
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.0784881591334707,-0.19942746055091,0,0,0,-0.105273987660195,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243097625517538,0,0.208304615755943,0,0.145214027090627,0.172438406710043,0.259305794176328,0.368894961489888,0,-0.0966463725435167,0,0,0,0,0,0.0586444054546838,0,0,0,0,0.059206099053994,0,0,0,0,0
