,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0869890188993884,0.0365185857987597,0,0,0,0,0,-0.00922189992262738,0,0,0,0,0,0,0,0,0,0,-0.151718966634811,0,0.0279880826511133,0.635768149783362,0,0.493437360448841,-0.288928940360495,0,-0.118072398075114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826015222238494
X601318.CH.EQUITY,0,0,0,0.0160237261461781,0,0,0,0,0,-0.0184478643750136,0,0,0.0184391689748458,0,0.0289785259380249,0,0,0,0.520695026005113,0,0,0,0,0,0,0,0,0,0.125892978672027,0,0,0,0,0,0,0.0689854670231589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0610162770265937,0,0.787294030364758,0,0,0.00301560553467604,0,0,0.0391208629778343,0.0542509540641276,0,-0.0532787300897396,0,0,0,0.0842009767048406,0,0,0,0,0.0042882161349858,0,0,0.0394202878217619,0,0,0,0,0,0,0,0,0,0,0,0,0.0786945056143598,0,0,0,0,0.00356337913955479,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.02042615232605,0,0.979464332054961,0,-0.0116697996050898,0,0,-0.0638157875372055,0,0.021040318042813,0,0,0,0,0,0,0,0,0,0,0.000714555434814319,0,0,0,0.0489565927036334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01906100057869,0,-0.0452977067821933,0,0,0,0,0.0613658043118789,0,0,0,0,-0.112371878751726,0
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,-0.084364340267839,0.198645571174784,-0.0764801338285434,0.376982953554158,-1.73472347597681e-18,0,0,0,0,0,0.333097811013149,0,0,-1.73472347597681e-18,0,0,-0.0690340923279618,0,0,0,0,0,0,0,0,0,0,0,0,0.234280790029751,0,0,0,0,0,0,0,0.179680781433363,0,0,0,0,0,0.0594121308290761
X600036.CH.EQUITY,0,0,0,0.3307032121847,0,0,0,0,0.0476154599149596,0,0,0,0,0,0,0,0.0680484347476945,0.110228661491869,0,0,0,0,0,0,0.0737393349781527,0,0,0,0.144489056899373,0.120393255629863,0,0,0.0161562355769112,0,0,0,0,0,0,0,0,0,0,0,0.0512037780638954,0,0,0.0356097466847274,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0640811671207163,0,0.00997414429743789,0,0,-0.0562220076161286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722394692902483,0,0,0,0,0,0,0,0,0,-0.0247379758054033,0,0,0,0,0,0,0,0,0,0,0,-0.134314948341339,0,0.997992462486496,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.193144869345855,0,0,0,0,0,0.0170550466927227,0,0,0,0,0,0,0.321280362979809,0,0,0,0,0.0746769296142047,0,0,0,0,0.137430330007689,0,0,0,0.0306722767933178,0,0,0,0,0.0938029958014329,0,0.0452035320644197,0,-0.0302078774118324,0,0,0,0.206343001747038,0,-0.0359343233346161
X5.HK.EQUITY,0,0,0,0,-0.0347656537437668,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031584458556158,0,0.00984807425905695,0,0,0,0,0.200185489265795,0,0.359985851511997,-0.179557167197712,0,0,0,0,0,0,0,0,0,0.0371184394044289,-3.46944695195361e-18,0,0,0,0.203496958564589,0.0547158260460052,0,0,0.0262460733792297,0,-0.274064878271363,0.199442131247145,0.070099554016662
X388.HK.EQUITY,-0.0300344279876521,0,0,0,0.226045466355529,0,0,0.13266518511476,0,0,0,0,0,0,0,0.00114211356039122,0,0,0,0,0.150129938873475,0,0.25639306435063,0,0,0,0.135486166277016,0,0,0,0,0,0.0785248895966844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24488836315204,0,0,0,0.154181368023038
