,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601166.CH.EQUITY,0,0,0,0.0001666037920501,0,0,0.289913961497882,0,0,0,0,0,0,0,0,0,0.173575541670773,0,0,0,0,0,0.0890537711855945,0,0.0354603575461207,0.122043563071362,0,0,0,0.271301389921656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.509814582022669,0,0,0,0,0,0,0,0,0,0.174767096269176,0,0.0978301518445151,0,0,0,0,0,0,0,0,0,0.0845715412108096,0,0,0,0,0,0,0.0160162744666692,0.0957300169689308,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0327820873033591,0,0,0,0,0,0,0.20465144426348,0,0,0,-6.93889390390723e-18,0.173610459957668,0,0,0,0,0,0,0,0.195516703571318,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.273530886429872,0,0,0.125606073284751,0,0.0276111207363344,0,0,0
X000002.CH.EQUITY,0.166263048833121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763251570549388,0,0,0.0209886956844904,0,0,0,0,0,0,0,0,0,0.516993397102591,0,0,0,0,0,0,0,0.215654710568283,0,0,0,0,0,0,0,-0.151859230195428,0,0,0.00468115187495778,0,0
X388.HK.EQUITY,0,0,0,0.0627148906470326,0,0,0,0.0390419183316219,0.142531384348962,0,0,-0.158203176251721,0,0,0,0.0754301808117252,0,0,0,0,0,0.649177138968001,0,0,0,0,0.0430285449838469,0.0190654311851948,3.46944695195361e-18,0,0.0317705862504243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205156974005602,-0.0260182889703902,0,0
X16.HK.EQUITY,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.0404229634786557,0,0,0,0,0,0,0,0,0,0,0,0.347096972438804,0,0,0,0,0.0439621900950362,0,0,0,0,0.313157789085741,0.1614114471729,0,0,0.0439320677382204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.250040678431293,0,-0.13548194219871,0,0,0,0.0682888458212752,0,0.00536330045412121,0,0,0,0,0.0954295646094035,0,0,0,0,0.0716056042713928,0,0,0,0,0.234324389428154,0,0,0,0.238523803257451,0,0,0,0,0.0884022788165906,0,0,0,0,0,0,0,0.143081259961066,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.165648603643487,0.373454909462218,0.0518846110575046,0,0,0,0.112971802649024,0.0648141163867864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313824136257444,0,0,0,0,0,0.159584306398481,0.0261511865778991,0.00533957199603628,0.0368462484564742,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0383833598397507,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.574295950899908,0,0,0,0,0,0,0.0738887793388933,0,0,0.0188159698401859,0,0,0,0,0,0,0,0,0,0,0.0989616295700681,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212623937445379,0,0,0,-0.0867050185471656,0,0,0,0,0,0,0.181257001992202,0,0,0,0,0,-0.116096337754613,0,0,0,0,0.0832791481569346,0,0.611039663411839,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0
