,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.248167563681442,0,0.397467725301665,0,0,0,0,0.0848621200200942,0,0,0.139756561395231,0,0,0,0,0,0,0,0.0198083811120683,0,0,-0.0552648185995031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119152890195795,0,0.126576936812192,0
X601939.CH.EQUITY,0.353794345706311,0,0,0.286602777045808,0,0,-0.0959469619115985,0,0,0,0.00279092548615492,0,0.140033457232116,0,-0.064721157879788,0,0,0,0,0,0,0,0,0,0,0.0316021698219524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201201015206574,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.154235141139728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1209519447532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175456713707066,0,0,0,0,0,0,0,0.129971622426798,0.0854774469300525,0,0,0.142894709777243,0,0,0,0,0
X601288.CH.EQUITY,0.471869783687131,0,0,0,0.25844338820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087222747537863,0,0,0,0,0,0,0,0,0,0,0.027393539683034,0,0.0348608496537344,0,0,0,0,0,0,0,0.0708989847103303,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.20408294302248,0,0.244044606061289,0,0,0,0,0,0.254128938715464,0,0,0,0,0,0.359158809212655,0,0,0,-0.0267661525848597,0,0,0,0,0,0,0,0,0,0.0317800069470562,0,0,0,0,0,0,-0.0977480202808061,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0498514058650689,0,0,0,0,0,0,0,0,0.358418490806009,0,0.0319784297278122,0,0,0,0,0,0,0,0,0.0288249806876291,0,0.127351876603329,0,0,0,0,1.73472347597681e-18,0,0,0,0.0697248425823521,0,0,0,0,0,0.0523209313252151,0,0.0123949002494009,0,0,0,0,0,0,0.277578074777303,0,0,0
X1299.HK.EQUITY,0,0,0,1.73472347597681e-18,0,0.0848834259023283,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557389093629457,0.244770001435219,0,0,0.13017788069722,0,0,0,0.134189391886939,0,0,0,0,0,0,0,0,0,0,0,0.146694949774868,0.0443608401889465,0,0,0
X5.HK.EQUITY,0,-0.186366754529783,0,-0.0883498032383362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18774726112234,-0.770209367233429,0,0,0.493172841957858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43725526548338,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0833302159674313
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0775117637360641,0,0,0,0,0,0.122869000957738,0,0.233778840106979,0,0.125537440840473,0,0,0,0.173419060894734,0,0,0.0575375306170165,0,0,0,0,0,0,0,0.0265601879148737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525717343721465,0
X601658.CH.Equity,0,0,0,0.0982093638467532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323484232912999,0,0,0,0,0,0,0.362657969266009,0,0,0,0.131777719703244,0.059128526815564,0,1.38777878078145e-17,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0
