,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.369209985852795,0.157531803791001,0.0243997546096512,0,0,0,0,0,0,0,0,0,0,0.15557939508302,0,0,0,-0.0212280827075142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116008301009303,0,0.0217110118179853,0,0,0.0130880935203948,0.0525570193619067,0,0.23279687231631,-0.0731145695580229,0.0974692419993863
X601318.CH.EQUITY,0,0,0,0.0820686004405125,0,0,0,0,0.154969039402718,0,0,0,0.113922300835035,0,0,0,0,0.0449588910582976,0,0,0.113528935662172,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.110482189404376,0,0,0,0.126061909623659,0,0,0,0,0,0,0,0,0,0,0,0,0.00849965536266678,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.215822284198444,0,0,0,0,-0.037227279238947,0,0.151458716913271,0,0.0518419362875665,0,0,0,0,0.127628697696033,0.00836643572567718,0,0,-0.0205609058121011,-0.147747620614304,0.484067247206755,0,0.142665314376195,0,0,0.0283764056672629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043769207002871
X600036.CH.EQUITY,-3.46944695195361e-18,0.193897289350439,0,0,0,0,0.103301310147938,0.109680526414299,0,0,0,0,0.174469017176779,0.0708835080722766,0,0,0,0,0,0,0,0,0,0,0,0.255928783174878,0,0.060855097851275,0,0.0146661924433357,0,0,0,0,0,0,0,0,0,0.0344061462111606,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.118256816235557,0,0.166575541368116,0,0,0.140676019271846,0,0.199607830834107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949863949587717,0,0,0.0820675240308429,0,0,0,0,0,0,0,0,0,0.122116719520392,0,0,0.116529193794999,0,0,0,0,0,0,-0.0957183026587427
X601628.CH.EQUITY,0.168926315797974,0,0,-0.0750855342849791,0,0,0,0,0,0.0610620061579849,0,0,0,-0.0881829471121041,0,0,-0.0130675473221282,0,0.0442502577201956,-0.091228401260763,0,0,0,0.138808432579471,0,-0.0326355293389541,0,0,0,0,0,0,0,0,0,0.676804958086756,0,0,0,0,0,0,0,0,0,0,0,0.14401055949673,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.145262556279001,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.103742583051558,0,0,0,0,0,-0.267782786683681,0,0,0.00125759089643981,0,0,0,0,0,0,0.0780157744635531,0.301276972800334,0,0.160631452406177,0.0689725648444697,0.106958319716695,0,0.0521532052630707,0,0,0,0,0,0
X601988.CH.EQUITY,0.0339260845601333,0,0,0.197319401607725,0.45079853798899,0,0,0,0,0,0,0,0.10676722806139,0,0,0,0,0,0,0.0995678103336134,0,-0.0583081995281966,0.169015813944456,0,1.73472347597681e-18,0.249325255079508,0,-0.0864746460152028,0,-0.0746886565687627,0.127959020516449,0,-0.105747819489184,0,0.0856854572982666,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.021713528200208,0,0,0,0.186085405738986,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0158724825660244,0,0.0406564557592931,0,0.0184194174577294,0,0,0,0,0,0,0,0,0,0,0.203899491123511,0.107844251708898,0.157787805682311,0,0,0,0,0,0,0.0311286145535313,0,0,0,0,0.00374897350238826,0,0,0,0.245038434511707,0,-0.0700337395348502,0,0,0.18935825466662,0,0,0,0.0594221631233236,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.127569767450547,0,-0.106114771648508,0.169307504231273,0,0,0,0,0,0.00800415239423576,0,0.425796385852047,-0.109536038245275,0,0,0,-0.116462613424593,0,0,0.170693855642285,0.22102528002266,0,0,0,0,0,0.0236349841533296,0,0,0.170684312906892,0,0,0,0,0,0,-0.016652296780862,0.0061074042780367,-3.46944695195361e-18,0,0,0,0,-0.143928867454291,-0.0413847052948992,0,0,0.151294783865273,0
