,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.107986869909775,0,0.0963122171104846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440079073104118,0,0.448979206771993,0,0.159494145412748,0,0,0,0,-0.145400865886091,0,0,0,0,-0.16209575451671,0,0,0,-0.754563242665409,0,0,0,0,0.076157154758109,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.24087706537906,0,0,0,0,0.0122316821723431,0,0,0.0451432357419831,0,-0.0177430099837298,0.355122380001241,0,-0.0715994779435989,0,0,0.0438093992493255,0,0,0,-0.054027572775965,0,0.0265744145791612,0,-0.0777248191518689,-0.0521309968423288,0,0,0,0,0,0,0,-0.137594969240317,0,0,0,0.108158766379727,0,0,0,0,0.380621407753855,0,0,0.0389733326639659,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0200257012043164,0.347080873226365,0,0,0,0,0,0,0,0,0.0112636050093919,0,0,0,0,0,0.118915110087503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356401911270757,0.0429500169043656,0,0,0,0.0340890958087244,0,0,0,0
X601288.CH.EQUITY,0,0.570541710598704,0,0,-1.0842021724855e-19,0,0,-0.0495217984592343,0,0,0,0.154458767322936,0.0502518708218673,0,0.116648825940322,0,0,0,0,0,0,0.137422594405827,0,0,0,0,0,0.0302697579913988,0,0,0,-0.0850546004027594,0,0,0,0,0,0,0,0,0,0.0533307003634903,0,0,-0.0769128233450786,0,0,0,-0.0253743601035111,0,0,0
X601988.CH.EQUITY,0,0,0,0.527518201916034,0,0,0,0,0,0.143776326932248,0,0,0,0,0,0,0.34324925744999,0,0,0.22956314514661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.577993653598384,0,0,0,0,0,0,0,0.0635645798478576,0,0,0,0.0235827968812053,0,0,0
X600036.CH.EQUITY,0,0.0649524088714842,0,0.0455549809174694,0,0,0.0150635650013822,0.0619501297827976,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0402948546140508,0.188484550020491,0,0.0312454975356281,0,0,0,0,0,0,0,0,0.105952997380598,0,0,0,0,0,0,0,0,0,0,0,0.159124397899496,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.118038895200197,0,0,0,0,0,0.225707702691188,0,0,0,0,0,0,0.0391802806581196,0,0,0,0.0561913543159717,0.0408235633675947,0,0,0,0,0.0444994821228838,0,0,0,0,0,0.13138591704102,0,0.101724233703722,0.241460687864909,0,0,0.0545205044657016,0,0.044896030798074,0,0,0
X601628.CH.EQUITY,0,0.0571034325517585,0,0,0,0.358091095287854,0,0,0,0,-0.15404261676338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156977023748412,0,0.11067261185009,0,0.0713290302411143,0,0.230886943940051,0,0.0680696111642781,0.161902920597418,0,0,-0.0794932097715525,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144704502989926,-0.136838403875576,0,-0.00286615300804208,-3.46944695195361e-18,0,-0.331366723176539,0,0.714936530902529,0.0789007270543374,0.474000144548378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106005619081382,0,0,0,0.212428483631423,0.119893978565496,0,0,0
X601658.CH.Equity,0,0,0,0.220049502110413,0.00117061173869504,0,0,0,0,0,-0.0305048136687072,0,0,0,0,0,0,0,0.272182495244295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909561900368184,0,0.239983440398748,0,0,0,0,0,-0.0406822730202891,0,0,0.108522231922903,0,0,0,0
