,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101805528637481,1.38777878078145e-17,0,0,0,0.200310989804123,0,0,0,0.533293441296378,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182417793851048,0,0.494206395973496,0,0,0,0,0,0,0,-0.0304949536689901,0.109172476387132,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0215980835238639,0,0.176797854666661,0,0,1.73472347597681e-18,0,0,0,0,0.0311229650862911,0,0.0705901027135261,0.0498057524160976,0.00627405408979986,0,0,0,0,0.142728374018548,0,0.0613189844059553,0,0,0,0,0,0,0,0.20112242383668,0,0,0,0.0958775472704034,0.122986226926648,0,0,0.129018743720701,0,0,-0.0546404295929601,0,0,0,0
X601939.CH.EQUITY,0.259244738379489,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0657071763780836,0,0,-0.200810917273843,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0187467770718629,0.502593158611847,0,0,0,0,0.113012043629985,0,0,0,0,0.00410083916519191,1.38777878078145e-17
X601288.CH.EQUITY,0,0,0,0,-0.0998421616714428,0,0,0,0.133426217135019,0,0.264859677431649,0.362202841230116,0,0,0,-0.0788062045676574,0,0,0,0,-0.0906824523511323,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.0127871744911889,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.125098663774931,0.380333008901733,0,0,0,0,0.17965830053345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380007902944518,0.00131760731413628,-0.138132622057536,0,0,0,0,0,0,0,0,0,0.0920176338955481,0,0,0.219068553425124,0,0,0,0,0,-0.140368012346939,0,0.0963247495487175,0,0
X601988.CH.EQUITY,0,0,0,0,0.269794655189213,0,0.034011242647344,0,0.0355691124966599,0,0.0996567161077868,0.117183900311878,0,0,0,0,0,0.076767519755665,0,0,0,0,0,0,0.0484549779438422,0,0,0,0,0,-0.264126528501943,0,0.136759820557457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831062912842462,0
X1299.HK.EQUITY,0,0,0,0,0.286673035086904,0,0,0,0,0,0,0,0,0,0,0,0,0.127002297961027,0,0.0636717250123913,0,0,0,0,0,0.0645218977895031,0,0.121475268605776,0,0.0944542336555106,0,0,0,0,0,0,0,0.308934853693341,0,0,0,0,0,0,-0.206327451423547,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.30744872904037,0,0,0,0,-0.0608518118814422,0,0,0.411082440516082,0,0,0,0,0,0.0555138398968369,0,0,0,0,0.292080563165404,0,0,0,0,0,0,0,0.148409865583831,0,0,0,0,-0.180657815950913,0,0,-0.158718998641586,0,0,0,0,0,0,0,0.230484534357585,0,-0.00798225929973437,0,0,0,0
X601628.CH.EQUITY,0,0.20157589776197,0.0310282205077511,0.0888181441371804,0,0,0,0,0,0,0,0,0,0,0,0,0.225186224385244,0,0,0,0,0,0,0,0.026227671301814,0,0,0,0,0,0,0,0,0,0.257915550718401,0.00537623550985151,0,0,0,0,0,0.0332638574604897,0,0.0835578019083802,0.0810405898990199,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.00431428408628102,0,0,0,0,0.75835195833383,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.144294501431148,0,0,0,0,0,0.0370138307086833,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.00707134134037524,0,0,0.021005596106292,0,0,0,0,-0.203960119052154,0,0,0.050336497550707,0
