,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0886289322933843,0,0.41564577563221,0,0,0.0463191413287047,0,0.240242674696336,0,0,0.147179716194284,0,0,0,0,0,0.0265378203818038,0,0.0082037016661536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599669364859434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.369710942897987,0,0,0.155621909882385,0,0,0,-0.0620621419088168,0,0.0276694152309679,-1.38777878078145e-17,0,0.366829552406583,-0.0548309850381269,0,0,0,0,0,0,0,0,0,-0.0187027842936365,0,-0.115223511376129,0,0,0,0,0,0,0.149193786644689,0,0,0,0,0.0401380135700029,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0100148213683668,-0.0158421959545857,0
X601318.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0572506967390598,0.368567672604103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780533490379365,0,0,0.134056248603541,0,0,0,0,0,0.215011164173467,0,0,0,0,0,0
X601288.CH.EQUITY,0.428888308392856,0,0,0,0.38407497635997,0,0,0,0,-0.0100164566448189,0.0713232359524675,0,0,0,0.0244126615896974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669722243483198,0,-0.0660865417708188,0,0,0,0,0,-0.0342467793017558,0,0.0706340657418104,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.279222744514415,0,0,0,0,0,0.00143543804945881,0,0,0,0,0,0,0,0.136280676885966,0.135498762341636,0,0,0,0,0,0,0,0,0,0.00148360726221938,0.0667996363038254,0,0,0,0.0119447298134266,0,0,0.0472430035629804,0,0,0,0,0,0,0.165931355264031,0,0,0.147648465269747,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.120231917715689,0,0,0,0.0684656786075846,0.122001170962413,0,0,0,0,0,0.496898362030482,0,0,0,0,0,0.441089840371952,-0.325171486705485,0,0,0,0,0,0,0,0,0,0,0,0,0.333679342259455,0,0,0,0,0,0,0,0,-0.157740871132908,0,-0.0975535256523172
X600036.CH.EQUITY,0,0,0.0104301279906963,0,0,0.0242983535114889,0,0,0,0,0,0.45050164215601,0,0,0,0,0,0,0,0,0,0,0,0.0334948841439327,0,0.108965769345674,0,0,0,0,0,0,0,0,0.0698606146158,0.0257966129503405,0,0,0.0191305839140633,0,0,0.0498767044808358,0,0,0,0,0,0,0,0.239935250769546,-0.0224310845556312,0
X1299.HK.EQUITY,0.000850563469014652,0,0,0,0,0,0.104349861644186,0,-4.33680868994202e-19,0,0,0,0,0,0.107409751375764,0,0,0,0,0,0.228746040406387,0,0,0.0995848045726445,0,0,0,0.103615866635791,0,0,0,0,0,0,0,0,0.1790276715327,0,0,0,0.185061327029151,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0725227203441223,0,0,0,0,0,0.0927669883127819,0,0,0,0.198225028474538,0.373649783668839,0,0,0,0,0,0,0.0673625729064744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0410295385900365,0
X601658.CH.Equity,0,0,0,0,0.238181222758583,0,0,0,0,0,0,0,0,0,-0.194993157532298,0,-0.218562114836419,0,0,0,0,0,0,0.104591513604435,0,0,0,0,0,0.49021704196772,0,0,0,0.241161933835704,0.107084927536646,0,0,0,0,0.0468967222344261,-0.314116576005657,0,0,0,0,0,0.869152597607679,0,-0.150306023168801,0,-0.0401294667424479,0
X601328.CH.EQUITY,0,0,0,0.264124077700629,0,0,0,0,0,-0.0189098624185843,0,0,0.257984438210638,0,0,0,0,0,0.305513811461092,0,0,0,0,0,0,0,0,0,0,0,0.0139633232975778,0,0,0,0,0.0916625500448703,0,0.0716748490217522,0,0,0.0603888521857973,0,0,0,0,0,0,0,0,0.010796825159414,0,0.0231135939880381
X601166.CH.EQUITY,0,0.00528805626019622,0,0.0651925435646774,0,0,0.161232719761479,0,0,0,0,0,0.0708962922327054,0,0,-0.0151561948818284,0,0.00245574091706395,0,0,0,0,0,0,0,0,0,0,0,0,0.31913472851416,0,0,0,0,0,0,0,0.0751946230824937,0,0,0,0,0,0,0.245790746793918,0,0,0,0.0945244181553813,0,0
X600000.CH.EQUITY,0,0,0,0.0185098676365903,0,0,0,0,6.93889390390723e-18,0,0.385238204204782,0,0,0,0,0,0,0,0.197674226975359,0,0,0,0.152198364740353,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.118389355934531,0,0,0,0,0.118836364322799,6.93889390390723e-18,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.108975867887871,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.127627309595157,0,0,0,0,0.521946861260805,0,0,0,0.160956055170694,0,0,0.126813778036741,0.185904983798481,0,0,0,0,0,0,-0.0518205157654546,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.210535081397174,0,0,0,0,0.325834915506735,0,0,0.0212233414554099,0,0,0.0226951760387775,0,0,0.0999318854735299,0.133099326322007,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100007650118116,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385353239836727,0,0,0,0,0,0,0,0,0.207034072870983,0,0.119147477413853,0,0,0,0,0,0,0,0.0314748066324742,0.0263512008590548,0.0469995295805275,0.230690490134439,0,0,0.216005251038717,0.0177800807275879,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0.11499468592372,0,0,0,0,0,0,0.253663590235534,0,0.0794236948121725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815770970924113,0,-0.0815510147770315,0,0.147361156238217,0,0.256896853751888,0,0.157426654948536,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0652189152687633,0.346570621868644,0,0.0728946353319286,0,0,0,0,0,0,0,0,0,0,0.0763560116563197,0,0,0,0.27566702080442,0,0,0,0,0.133430217903177,0,0.00511183142631369,0,0,0,0,0,0,0.0466796784536872,0,0,0,0,0,0,0,0
