,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.205041872272267,0,0.032276060485055,0.0021269527690571,0,0.393197732210802,0,0,1.73472347597681e-18,0,0,0,0.00814617916833925,0,0,0,0,0,0,0,0,0,0,0.250368488482875,0,0.0427177727304475,0,0,0,0,0,0.086379997574983,0.0532622286990329,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926581649484534,0,0,0
X601318.CH.EQUITY,0,0,0.117439248996319,0,0,0,0,0,0.250230091707142,0,0,0,0.0325948782204056,0.269511571931499,0,0,0.0450378527629553,0,0,0,0,0,0,0,0,0,0,0.179258237095511,0.216611810370168,0.0621531801416773,0,0,0,0,0,0,0,0,0.0149652333686266,0,0,0,0,0,-0.112199099963613,0,0.0625744193834027,0.0208326778067827,0,0,0,0
X601939.CH.EQUITY,0.315155181159856,0.0593300442534102,0,0,0,0,0,0.296199952798325,0.253146897395383,0,0,0,0,0,0,0.0869553162441518,0,0,0.10664068535755,0.0520388496629893,0,0,0,0,0,0.0375495631486303,0.0999802277384753,0,0.153504435692978,0,-0.035054537960833,0,0,0.0958546610900176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0782107371792164,0.112111704196365,0
X600036.CH.EQUITY,0,0,0,0,0,0.195280085631994,0,0,0.0484294853802796,-0.128888863899247,0,-0.0424067471970398,0.0853872439140448,0,0,0.128751626224912,0,0,0.113065683172029,0,0,0,0,0,0,0,0.442492753730389,0,0.0302927263664767,0,0,0,0,0,0,0,0,0,0,-0.0488785333930319,0,0,0,0,0,0,0,0,0,0,-0.0107636510608951,0
X601288.CH.EQUITY,0,0,0.10533055202276,0,0,0,0,0.486870120500279,0,-0.0557548446845122,0,0.047125735107802,0,0,0,0,0,0,0,0,0,0,0.141740236520782,0,0,0.0678607220351469,0,0,0.134548874764388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163552900807787,0,0,0.00279962996727083,0,0
X1299.HK.EQUITY,0,0,-0.103510440887898,0,0,0,0,-0.0373053685031575,0,0.216186221346295,0,-0.0748643243515022,0,0,0,0,0,0,0,0,0,0,0.162194857278581,0,0,-3.46944695195361e-18,0,0,0,0,0.0748302594333764,0,0,0.160446925490797,0.0233010804651082,0,0,0,0.209506892840408,0,0,0,0.201829478061788,0,0,0.0615268797908973,0,0,0.18470134045209,0,-0.0549456541226183,0
X601628.CH.EQUITY,0,0,0,-0.0134151369558083,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.009232836418926,0,0,-0.0209327084767291,0.116490405142464,0,0,0,0,0,0,-0.133882112356121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44997423682638,0.0126844167290158,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.030458766473142
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0,0.527343692981603,0,0,0,-0.00795560836462462,0,0,0,0,0,0,0,0,0.283212589945742,0.0432663666194337,0.147513296543698,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0419416047451146,0,0,0,0,0,0,0,0,0,0,-0.0982840460213409,0,0,0.00142076438107867,0,0,0,0
X5.HK.EQUITY,0,0,0.0087994950488879,0,0,0,0,0,0,0,0.156396173818785,0,0,0,0,0,0,0,0,0,0,0,0.239954788168483,0.0505942866490563,0.0770259673839553,0,0,0,0,0,0,0.0156795105685354,0,0.217553249806217,0,0,0,0,0,0.29365785173417,0,0,0.141256500376126,0,0,0,0.098515471198356,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.099336274261686,0,0.0606755316325672,-0.111027746761753,0,-0.0825276630429924,0,0,0,0,0,0,0,0,0,0,0,0,0.0269598337164333,0,0,0,0,0,0,0,0,0,0,0,-0.216951809533922,0,0,0,0.0900120633084152,0,0,0,0,0,0.540178911765399,0,0,0,0,0.108324764147499,0,0.169580244917506,0
