,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.42843469861654,0,0,0,0,0,0.00289452671003469,0,0,0,0,0.36131522220367,0,0,0,0,-0.04518730801946,0,0,0,0,0,0,0,0,0.0745433849661818,0,0,0,0,0,0,0,0.00135161225180585,0,0,0,0,0,0,0,0,0.00535802198656429,0,0.114165843429877,-8.67361737988404e-19,0,0,0
X601939.CH.EQUITY,0.319968684490336,0,0,0,0,0,0,0,0,0,0,0,0,0.504590537119027,0.0502397778770664,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0733190201848577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202613272080246,0.0631117013630804,0,0,0,0,0,0,0.0292572198437394,0,0,0,0.00452298071987942,0.00860177736763848,0,0,0,0,0,0.0242130967761248,0,0,0,0,0,0,0,0.499215330276858,0,0,0,0,0,0,0,0,0.0432353289832013,0,0
X601288.CH.EQUITY,0.359094140419357,0,0,0,0.397273628088043,0,0,0,0,0,0.0538880126859206,0.00818516134377666,0,0,0.0360613014614627,0.0772903767408192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01732292525464,0,0,0,0,0,0,0,0,0,0,0,0.0164316396700481,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.17778395512375,0,0,0,0,0,0,0.240387079756799,0,0,0.0938225859471861,0,0,0,0,0,0,0,0.023595750256799,0,0,0,0.102406086187354,0,0,0,0.0747048226017096,0,0,0,0,0.10287484560319,0,0,0,0,0,0,0.0654457841036791,0,0,0,0.0494527582275352,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.410794905552834,0,0,0.0903988522660618,0,0,0,0.435658326584825,0,0,0,0,0.102575628554354,0.707273473111785,0,-0.568306320014201,0,0,0,0,0,0,0,0,-0.0785808993000194,0,0,0,0,0,0.114916782236257,0,0,0,0,0,0,0,0,-0.189243820466247
X600036.CH.EQUITY,0,0,0,0.00375370901851381,0,0,0,0,0,0,0,0.221229977481683,0,0,0.0546663184258599,0,0,0,0,0,0.164939747317619,0,0,0,0,0,0,0,0,0,0,0.0859273759380062,0,0,0,0.0889539940201546,0,0,0,0,0,0,0,0,0,0,0.0669792103142358,0,0,0.135342340959754,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0122584616078636,0,0,0,0,0,0,0,0,0.176377965518316,0,0,0,0.205649334661175,0,0,0.117235610920923,0,0,0,0,0,0,0.247222993148343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342105050847051,0,0
X601628.CH.EQUITY,0.160257962772423,0.154921782647509,0,0,0,0,0,0.0384759003011724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228538412936936,0,0,0,0,0,0,0,0,0.0151875423366209,0,0,0,0,0,0,0,0,0,0,0.0258484701427008,0,0.216316381391716,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.197116532301161,0,0,0,-0.180439182456994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106346116922297,0,-0.194957607001946,0,0,0,0,0.383672877220401,-0.143431742140727,0,0,0,0,1.12548846637745,0,0,-0.253814668787482,0,0
