,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0.0259899018521898,0,0,0,0,0.0840577132900119,0,0,0.106864999833443,0,0,0,0,0,0,0,0,-0.450966191246462,0,0,0,0,0,0.000915614530780486,-0.231611871250609,0,0,0,0,-0.354811402390895,0,0.180417067882539,0,0.70801418134188,0,0.357087731766743,0,0,0,0,0,0,-0.0128956494739105,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.179536554258842,0.0406787319213428,0.0230942972826578,0,0,-0.0417588565701215,0.0768239453424922,0,0,0,0,0,0,0,0,0,0,0.188636641289106,0,0,0,0,0,0,0,0,0.0295024994645473,0,0,0,0.409006461048309,0,0,-0.0555140802070526,0,0.0336876684880743,0,0,0,0,-0.0105978049654168,0.159263942248361,0,0.00165237433612851
X601939.CH.EQUITY,0.39445630531057,-0.148812705540867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200346511619155,0,0,0,0,0,0.0217159564430634,0,0,0,0,0.0843608099978967,0,0.111923120365652,0,0,0,-0.0489843431739998,-0.229159520999162,0,0,0.55297778985323,0,0,0,0,0,0.0757886555679106,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.209673333538851,-0.0635200310152565,0.129013715785706,0.0150389044020538,0.446509239053252,0,0,0,0,0.210104311661605,0,0,0,0,0,0,0,0,0,-0.0675782378881422,0,0.0189214684678071,0,-0.544443176356825,0,0,0,0,0,0,0,0,0,0,0,0.320687384801819,0,0.0165738343957881,0,0,0,0.0873732031462575,0,0,-0.0946356598704147
X5.HK.EQUITY,-0.154639855672687,-0.156262119581963,0,0,0,0,0,0,0,0,0.0226170482884264,0,0,0,0,0,0.265732934605353,0,0,0.319324228744302,0.0191897067634729,0,-0.0807952279415733,0.428973279944354,0,0,0,0,0,0,0,0,0,0,0,-0.00118158618445538,0,0,0,0,-0.0874373853336796,0,0.239231275312994,0,0,0,0,-0.033655671941416,-0.047328687766572,0,0
X601988.CH.EQUITY,0.18433678861219,0,0.0340510040565199,0.620789882484855,0,0,0,0,0,0,0.0994321021393091,0,0.0327669798956626,0,0.12410203545152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171366346738186,0,0,0,0,0,0,0,0,0,0.0621813630948114,0,-0.0235520376959036
X1299.HK.EQUITY,0,0.0893455817477279,0,0,0.0140048668938746,0,0,0,3.46944695195361e-18,0,0,0,-0.0101581767908244,0.130611061625723,0,0.22870990081046,0,0,0,0,0,0,0,0,0,-0.00786832283787527,0.0446143108268596,0,0,0,0.0598612690445459,0.282482121516811,0,0,0,0,0,0,0,-0.093743464847127,0,0,0,0,0,0.0818644392491715,0,0.039844487210794,0,0,0
X600036.CH.EQUITY,0,0.441443380902433,-0.0521663969233513,0,0,0,0,0,-0.112777486683107,0.537174635578377,0,0,0,0,0,0,-0.140798222021587,0.0609056990836299,0,0,0.0584196012524942,0,0,0,0,0,0.163366180998412,0.0282604433588305,0,0,0,0,0,0.366678372138827,0,-0.252597636712009,0,0,0,0,0,0.0186806037935366,0.108159218040876,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0395466641883533,0,0.0555538491976412,0,0,0,0,0,0,0,0,0,0.329175596905727,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0971295562337961,0,0,0,0,0,0,0,0,0,0,-0.0521054198627816,0,0,0.0471480218554721,0.223045314912325,0.0146159635089057,0,0,0,0,0,0,0.133820112901233,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.615374738454024,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.317217824562392,0,0,0,0,0,0.0731879160458607,0,0,0,0,0,0,0,0,0,0,0,0,-0.0514559052005916,0,0,0,0.0325994720333829,0,-0.0620045107985938,0,0,0,0,0
