,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.436667862806004,0,0,0,0,0,0,0,0,0,0,0.334721601233942,0,0,0,0,0,-0.0398943087859688,0,0,0,0,0,0,0,0,0.0648672345441272,0,0,0,0,0,0,0.00484407562373605,0,0,0,0,0,0,0,0,0.00985730746310619,0,0.127453256142855,0,0,0,0
X601939.CH.EQUITY,0.280446622990741,0,0,0,0,0,0,0,0,0,0,0.136538162538791,0,0.383892758562419,0,0,0,0,0.0691552851968049,0,0,0,0,0,0,0,0,0,0,0.017318587770027,0,0,0,0,0.0749424190067047,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.203574170514441,0,0.0843632843223256,0,0,0,0,0,0,0,0,0,0,0.29894509879545,0.0695380037543837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146902575110504,0,0,0,0,0,8.67361737988404e-19,0,0.121915453030217,0,0,0,0,0,0,0,0,0.0214649752902521,0,0
X601288.CH.EQUITY,0.32068583568057,0.124979442481136,0,0,0.3815417028257,0,0,0,0,0,0,0,0,0,0.0963628580050723,0.037295549161308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.17720990158019,0,0,0,0,0,0,0.238517197940981,0,0,0.0933797540248994,0,0,0,0,0,6.93889390390723e-18,0,0.0235300062322507,0,0,0,0.0979702884511532,0,0,0.0741526166174726,0,0,0,-3.46944695195361e-18,0.101505695500162,0,0,0,0,0,0,0,0.0650647176194303,0,0,0,0.0492298645864867,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.285086917399379,0,0,0.166355380496771,0,0,0,0,0.583501313988182,0,0,0,0,0.586854522134422,0,-0.647360005747984,0,0,0,0.114377694149746,0,0,0,0,0,0,0,0,0,0,0.00846886548831508,0,0,0,0,0,0,0,0,-0.213655165953885
X600036.CH.EQUITY,0.0978083196798581,0,0,0.0547784864342118,0,0,0,0.0180697871811621,0,0,0,0.0218151423754553,0,3.46944695195361e-18,0,0,0,0,0.0137070078003058,0.0800181850823569,0,0,0,0,0,0,0,0,0,0,0.0978520796501804,0.114020699316095,0,0,0,0.203229894598388,0.0268266170187096,0,0,0,0,0,0,0,0,0,0,0,0,0.0799828213478842,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.035692447307902,0,0,0,0,0,0,0,0,0,0.0258007492985389,0,0,0,0,0.168473005075709,0,0,0.0551960942194689,0,0.0967193133090033,0,0.107504891086349,0,0,0,0,-2.77555756156289e-17,0,0,0.0541694249249947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369883026232959,0,0
X601628.CH.EQUITY,0,0.284699711756669,0,0.136422510660191,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0154893206103736,0,0,0.0582693593724198,0.0294378002334119,0,0,0,0,0,0,0,0,0,0.193246466159093,0,0,0,0.016396078814115,0,0,0,0,0,0,0,0,0.112270789094897,0,0,0,0,0,0,0.012658259921054,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0468402171566513,0,0,0,0,0,0.208061655451141,0,0,0,0,0,0,0,0,0.213981654001944,0,0,0,0,0,0,0,0.0744706688834098,0,0,0,0.110384583509621,0.264227087954593,-0.272558341506452,0,0,0,0.0382859358191733,0.302711846891887,-0.154224758709359,0,0,0,0,1.15694026591063,-0.0830407378142497,0,-0.527034647145608,0,0
