,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X600000.CH.EQUITY,0,0.18395413670899,0,0,0.0117769548516524,0.159630536222006,0.242904180547787,0,-0.0429521004204299,0,0.0981508871222302,0,0,0.0724175341492168,0,0,0,0.00645691759124045,0,0.0226879630740497,0,0.270861021853556,0,0,0,0,0,0,0,0,0,0,0,0.0279524775858903,0,0,0,0,0,0,0,0,0.00874821084351124,0,0,0,0,0,-0.117861229855238,0,0.0952920772779957
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.168182711929947,0,0,0,0,0,0,0,0,0,0,0,0.0495480572523476,0,0.128402220664087,0,0,0.185394369272011,0,0,0.0729961368588797,0,0,0,0,0,0,0.0483716445639022,0,0,0,0,0,0,0,0,0,0.285965405089888,0.166858323674268,0,0,0.0185920342808234,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178915769567443,0,0.0153694218237649,0,0,0.130602953694072,0,0,0.0165335858023134,0,0,-0.168289683560024,0.129451048221058,0,-0.0444011767827063,0,-8.67361737988404e-19,0.21549826771823,0.388448630630037,0,-0.111177092783585,0,0,0.215030989204801,0,0,0,0,0,0,0,-0.055472859421458,0,0,0,0
X16.HK.EQUITY,-8.67361737988404e-19,0,0,0,0.0177040354060672,0,0,0.115857876456815,0,0,0,0,0,0,0,0,0,0,0,0,0.0140351488547607,0,0,0,0,0,0,0.150758635299613,0.287372713190793,0,0,0,0,0.0110622027023068,0,0,0,0,0,0,0.302534432265859,0,0,0,0,0,0.0444185904872925,0,0,0,0.0942996385678893
X000002.CH.EQUITY,0,0,-0.161658868520263,0,0,0,0,0,0,0,0,0,0,0.0764663878204954,0,0,0.193359859186332,0,0,0.196083271011928,0,0,0,0,0,0,0.121097374951505,0,0,0.449457566414675,0,0,0.185910281758356,0,0.0263456555137951,0,0,0,0,0,0,0.0659321886167118,0,0.0343279596290371,0,0,-0.280405715942703,0,0,0.273115003328266,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.101524635449795,0,0,0,0,0.353155128053256,0,0.359821017352853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021452495118394,0,0.177030625526441,0,0,3.55697518209362e-06,0,0,0,0.0894815738720942,0,0,-0.227962163632373,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0.2651484189341,0,0,0,0.107809744291534,0,0,0.195874699109325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520296766643326,0,0,-0.177114480887426,0,0,0,0,0,0,0,0,0,0.0368391015041246,0,0,-0.0568622760465939,0,0,-0.0445309932232521,0,0,0,-0.0115693624846923,-0.13109424022412,0,0,-0.0902387377438917,0
X388.HK.EQUITY,0,0,0.0359801245388428,0,0,0,0,0.482490775197696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522656002412643,0,0,-0.377148243460384,0,0,0.120182138805298,0,0,0,0,0,0,0.491083997789485,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.094525336153258,0,0,0,0,0,0.159134242574146,0,0,0,0.00441507648300988,0,0,0,0,0,0,0.139534180398386,0,0,0,0,0,0,0,0.052007203015255,0,0,0,0,0,0,0,0,0,0,0,-0.0348826011983994,0.1350880368618,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.271177637944252,0,0.0933843911247807,0,-8.67361737988404e-19,0,0,0,0,0,0.136143034243334,0,0,0,0.118037496648563,0,0,0,0.0870895782112779,0.12709687630109,0,0,0,0,0.0142739640509679,0,0,0.0876641542081679,0,0,0.0373858433096512,0,0,0,0,0,0,0,0,-0.0341356305568468,0,0,0,0,0,-0.0685398068893233,0
