,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601328.CH.EQUITY,0.00732953604068216,0,0.058340328543906,0.333821849945339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095671091352828,0.177898853757316,0,0,0,0.114391618931746,0,0,0,0,0,0,-0.0326138265705492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0944534237653889,0,0,0,0,0.0136989549153229,0.23465339099281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200743521637651,0,0,0,0,0.259655812368771,0,0,0,0,0,0,0,0,0.156582976203496,0,0,0,0,0,0,0,0,0,0,0,0,0.0760851511436019,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0377502087551836,0.401999908614329,0,0,0,0,0,0,0,0,0,0.0607840282646641,0.133669252188023,0,0,0,0,0,0,0.0229106140106599,0,0,0,0,0.0550526764036401,0,0,0,0,0,0,0,0,0,0,0,0,0.180793191247668,0,0.0328306376522474,0.0740846123578802,0,-0.0486896007874863,0
X000001.CH.EQUITY,0,0.206675881270251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110599059457581,-0.0409880384358191,0,0,0,0,0,0.214370897082225,0,0.157936290532295,0,0,0.305082555046347,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,-0.0433341464317098,-0.16427224408764,0.112765035454661,-0.0529095341848852,0.315843882192609,0,0,0,0,0.327351672599934,0,0.200191546163177,0,0,0,0,0,0,0,0,0,0.14082380297438,0.0407745600901269,0,0,0,0,0,0,0,0.0392950397198956,0,0,0,0,0,0,0,-0.185222380122292,0,0,0,-0.00571430505718119,0,0,-0.0345228318157779,0
X000002.CH.EQUITY,0,0,-0.0676056716613485,0,0.0935040549062834,0,0,0,0,0,0,0,0,0.134526343727267,0.336516938469634,0,0,0,0,0,-0.00883669066238207,0,0,0,0,0,0,0.292210778822191,0.357667431325707,0,0,-0.0800143665687891,0,0,-0.323855116719261,0,0,0,0,0,0,0,0.13260308721131,0,0,0,0,0,0,0.358136961508162,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.190654340680508,0,-0.0399338271224451,0,0,0,0,0,0,0,0,0,0,0.0425742385253891,0,0,0,0,0,0.12978713129238,0,0,0.079414476772819,0,0.133893973305799,0,0,0.0644264949536089,0,0,0,0,0,0,0,0,0.436490106397488,0,0,0,0,0.0889060122976981,0,0
X11.HK.EQUITY,0.338485417623782,0,0,0,0.228561014129557,0,0,0.185502324721264,0,0,0,0,-0.00959997725995417,0,0,0,0,0,-0.0555557124142885,0,0,0,0,0.0390002257799631,0.446095174471559,-0.295453336790435,0,0,0,0,0,-0.125761923644074,0,0,0,0,0,0,0,0,0,0,-0.157608033165877,0,0,0,-8.67361737988404e-19,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.123383161720385,0.261767008222823,0,0,0,0,0,0.0401635566367694,0.0494177383099877,-0.0243103211684434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170114867683701,0.265762344634532,0,0,0,0,0,-0.431371074837944,0,0,0,0,0,0.170051552650708,0,0.517212090483854,0,-0.11795080719828,0.116422689105681,0,0
X601998.CH.EQUITY,-0.172044247061165,0,0,0,0.0474552738076112,0,0,0,0,0,0,0.498398015566135,0.122748072454209,0,0,0,0,0,0,0,0,0,0,0.492626312262145,0,0,0,0,0,-0.202359778099847,0,-6.93889390390723e-18,0,-0.163078017643187,0,-0.0815197183067615,0,0,0.183340109115576,0,0,0.146362540289835,-0.30421317437831,0,0,0,0,0.164361019604665,0,0,0
X267.HK.EQUITY,-0.124767176180246,0,0,0,0.15592821518918,0,0.295368594792404,0,0,0,0.0412614591782244,0,0,-0.0910253450022975,0,0,0.0585187381313483,0,6.93889390390723e-18,0,0,0,0,0.0820911014970644,0.172307102047913,0,0.112286387805271,0,0,0,0.0554173484379536,0,0,0,-1.73472347597681e-18,-0.0526314582277462,0,0,0,0,-0.0440757756450908,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0.133382478674667,0,0,0.0623182755703124,0,0.219070839209805,0,0,0,0,0,0,0,0.036197246284825,0.126319830360232,0,0,0,0,0.0999615108853456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438389165806678,0,0,0,0.0211548315091872,0,0,0,0.0861457545699211,0,0,0,0,0.0785149761243836,0
X600030.CH.EQUITY,0.0446131639893622,0,0,0,0,0.129094937400638,0,0,0.0459800073766189,0,0,0,0,0,0,0,0,0,0,0,0.104317585392439,0,0,0,0.0361850100701749,0,0,0,0,0,0,0,0,0,0,0,0.4528365794738,0,0.0439596662228534,0,0,0,0,0.000857164966061007,0,0.102520494404758,0,0,0,0,0
