,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0787563435604864,0,0.3861428832026,0.125480270468913,0.08568511908806,0,0,0,0,0,0,0,0,0,0,0,0.259151749473336,0,0,0,0,-0.0156698050231213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595847978164329,0,0,0.0500508311294297,-3.46944695195361e-18,0.054661635618341,0,0,0.0793123809169208,-0.074946622676952,0.0253267615689308
X601318.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0,0,0,0.114151311984854,0,0,0.0612037461979978,0.0421555571813721,0,0,0,0.0421900179625956,0,0.256206963087037,0,0.278282900336594,0.033962419439651,0,0.0142872168615367,0,0,0.0682837221025011,0,0,0,0.215090306383051,0,0,0,0,0,0.0033293069113389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.2415518571539,0,0,0,0,0,0,0.251317029789481,0,0,0,0,0,0.2279366775049,0,0.0275111831847209,0,-0.196555948917745,0,0,0.378350381319106,0.183650999168699,-0.0191673665768131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532233871273266,0,0,0,0,0,0,0,0,0,-0.0162974518984794
X600036.CH.EQUITY,0,0.115150861103735,0,0,0,0.0114166169254685,0,0.166723973437198,0,0,0,0,0.149540040642306,0,0,0,0,0,0,0,0,0,0.25001030894075,0.00783563646869775,0,0,0,0.0111048333820078,0,0.0554820528958892,0,0,0,0,0,0,0.00822153947767755,0,0,0,0.0850904574929063,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0935975835921829,0,0.212509009461817,0,0,0.0494453311877052,0,0.249615867366724,0,0,0,0,0,0,-0.0685001332805679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989569302883099,0,0,0,0.0124277169937447,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.227897998679213,0,0.145017697181624,0,0,0,-0.0273978993277946
X601628.CH.EQUITY,0.144915083101951,0,0,0,0,0,0,0,0,0.0423224605168524,0.0242466009393562,0,0,0,0,0,0.147333530646424,0,0,0,0,0.187629057141477,-0.133158234279434,0,0,0,-0.0360896026905951,0,0,0,0,0.188180954494127,0,0,0,0.60687297694993,0,0,0,-0.0207533083951422,-0.0646440490033085,0.0934031322427234,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.13605138230945,0,0,0,0,0,0,0,0,0.030767290018515,0,0,0,0,0,0,0.106959147840631,0,-0.239122171206781,0,0,0,0,0,0,0,0.00929202376300467,0,0.0889169613627375,0,0.261781349438077,0.137949728075732,0.0666316170011404,0.0524525048822782,0.0822305996727535,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.0927918310851411,0.106170254555411,0.166151642586273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230472581620266,0,0,0,0.210997884310712,0,0.0441176345253472,0,0.331400739472814,-0.0298356607552515,0,0,0.142504267922282,-0.0742672327972213,0,0,0,0,0,0,0,0.0902136217289219,0,0,0,0,-1.73472347597681e-18,0.0286795633329187,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0826282689942403,0,0,0,0,0,0.241484317082489,0,-0.0787751639482711,0.0642196953844403,0,0,0,0,0,0,0,0,0,0.107642047834009,0,0,0.142378031245197,0,0,0.216607497545914,0,0,0.0608430677634625,0,0,0,0,0,0,0,0,0.234922231099801,-0.101588054719665,0,0.107805979089795,0,0,0.0606764395663308,0,0,0.108568916531168,0,0,0,0.0433198668109145
X601166.CH.EQUITY,0,0,0.0336039717169726,0.101197452087887,0,0,0,0,0,0,0,0.0325839116921657,0.0871307103856234,0,0.0510112840397651,0,0,0,0,0,0,0,0.165957503946006,0,0,0,0,0,0.362186543442778,0,0,0,0,0,0,0.0254682616072312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
