,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.379190613756225,0,0.0217817072531824,0,0,0,0.0279575162720387,0,0,0,0,0,0.095306211879675,0.149108818434318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0781909135428048,0,0,0,0,0,0,0.0355927032701668,0,0.00504560736123578,-0.000577463842147039,0,0.0390019965217925,0,-0.0882517276184072,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0,-0.0299883248019181,0,0,0,0,0.080295594236244,0,0,0,0,0.363376576746248,0,0.0506572621656613,0,0,0,0,0,0,0,0,0,0.0198431943384607,0,0.0445290778008582,0,0,0,0.12579782215357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.749522942595109,0,0,0,0,0.0370228630051238,0.130106957171942,0,0,-0.062093206389624,0,0,0,0.0456064214138956,0,0.0307860652882313,0,0,0,0.0180362844316336,0,0,0.00381345356929357,0,0.0106773935287897,0,0,0,0,0,0,0.123647608931944,0,0,0,0,0.0517020288227857,0,0,0,0,0,0.0418325026881081,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.158982937213524,0,0.0678954320842532,0,0,0,0,0,0,0.333304814569885,0,0,0.196863961033333,0,0.0892734816557814,0,0,-0.00412597700023605,0,0,0,0,0,0.163123493196523,0.0339963127853921,0.0755109915568391,0,0,0,0,0,0,0,0,0,0,0,0.15056166811314,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.922028770793238,0,0,0,0,-0.0562106790169521,0,0.0224056761511537,0.116397649187438,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.00821295696196877,0,0,0,0,0,0,0,0.0262089852506074,0,0,0,0,0,0,0,0,-0.0237303787235804,0,0,0.011965954625703,-0.0670631181402218,0,0,0,0,0,0,0,0,0.0172970509082484
X600036.CH.EQUITY,0,0.228066857431973,0.0740172246268275,0,0.159018818728378,0,0,0.0961261488668679,0,0,0,0,0,0,0.255796726690446,0,0,0.0865655355157485,0,0,0,0,0,0,0,0.203707078807708,0,0,0.0558058014978936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.133682437673608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540117704321291,0,0.0311143629212278,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.054452325526879,0,0,0,0,0,0,0,0,0,-0.0919774352705031,0,0,0,-0.10430078358591,0.899683753774237,0,-0.04322033882582,0.0105330284363005
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0954519321071855,0,0,0,0,0,0,0,0,0,0,0,0,0.285461771577729,0,0,0.178490755251767,0,0,0,-0.10529750773309,0,0.0848765948246453,0,0,0,0,0.120243052120583,0.0226453416882784,0,0,0,0.104857130459373,0,0.12068983935111,-0.0403443303504095,0,0,0,0,0,0,-0.0102241637738971
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.22530441278088,0,0,0,0,0,-0.0474381521022944,0,0,0,0,0,0,0,0.0826444759461078,0.34555806848541,0,0.126028214101302,0,0,0,0,-0.0545609049444078,0,0,0.0917916612623693,0,0,-0.0486623444852373,0.147204536501037,0,0.313564320806715,0.0339105759411015,0,0,0,0,0.0682532060722672,0,0
X388.HK.EQUITY,0,0.112702175819806,0,0.0137401407295386,0,0,0,0.0164787963940578,0,0,0,0.135293637729619,0,0,0,0,0,0,0,0,0.11758090310525,0,0.103879621520858,0,0,0,0,0,0,0.0797224719184199,0,0,0,0,0,0,0.0404449312765649,0.107094397324521,0.307276607231241,0,0,0,-0.318993440382424,0.0052952646939293,0,0,0.265516952403117,0,0,0,0,0
X601658.CH.Equity,0.128714075722964,0,0.259637678949984,0,0.0624197562210237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154382482536307,0,0.233396799474257,0,0,0,0,0,0,0,0,0.0417108897175786,0,-0.0498305284963536,0,0,0,0.0723653597670919,0,0,0,0.0750748682672459,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44442624084949,0,0,0.00421834049024709,0,0,0.116334887397699,0,0,0,0,0,0,0,0,0,0,0,0,0.204932115031788,0.0360409364527398,0,0,0,0,0.218451921280058,0,-0.0195034514900431,0,0,0,0,0,-0.047839030982283,0.119952382440743,0,0,0,0
