,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.360916577029492,0,0.310463303687152,0,0,0,0,0,0.0477112145220656,0,0,0,0,0.0513343071124977,0,0,0,0,-0.0444505522818989,0,0,0,0,0,0,0,0.044156301680506,0,0,0,0,0,0,0,0,0,0,0,0,0.0902179801925497,0,0,0,0.0582103235831477,0,0,0,0,3.46944695195361e-18,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0
X601939.CH.EQUITY,0,0,0,0.340434417924273,0,0.0711664499428353,0,0,0,0,0,0,0.434305986594807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544524817388645,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.39346270890436,0,0,0,0,0.267406759725672,0,0,0,-0.0230041508245216,0,0,0,0,0.0443577502971399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206148970577622,0,0,3.36714282250751e-05,-6.93889390390723e-18,0,0,0.0144684641418603,0.0968385895613459,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.193422877073823,0,0,0,0,0,0,0,0,0,0.528743043789056,0.0228365201710977,0,0,0.0380292723396881,0,0,0,0,0.176133383157296,0.048877473770143,0,0,0,0,0,0,0,0,0,-0.0463368542932883,0,0,0,0,0,0,0,0,0,0.0872107979937918,0,0,0
X601988.CH.EQUITY,0.386288131516243,0,0,0.00306592277501207,0,0,0,0,0,0,0.0657740043844852,0,0,0,0,0,0,0,0.014817053580702,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162129327104864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33087622109552,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.337453009813103,-0.0214371801652351,0,0,0,0,0,0,0,0.474570239447009,0,0,0,0,0,0,0,0,0,0,0.0482522312500569,0,0,0,0.077204974316153,0,0,0,0,0,0.017677165724211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750562503575042,0,0,0,0.428393382902855,0,0,0,0.120448764650223,0.0536396163393287,0,0,0,0,0,0,0,-0.0349379238514011,0.406733288419328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.109725366988209,0,0,0,0.264404980321545,-0.176429944059134,0,0.184347664831957,-0.225258609408013,0,0,0,0,0,0,0,0,0.626439129436216,0,0,0,0,0,0,0.11888036344358,0,0,0,-0.00754072319795377,0,0,0,0,0,-1.1685546802459,6.93889390390723e-18,0,0,-0.255731849281514,1.16831762911957,0,0,3.3881317890172e-21,0,0,0
