,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0391520048092124,0.54700532087537,0,0,0,0,0,0,0.0135099064624857,0.151297200523984,0,0.0876945189340365,0,0,0,0,0,0,0,0,0,0,0,0.0362596376600662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840393912234193,0,0,0,0,0,0.000279338914728272,0,-0.0427050270463328,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0221506600402986,0,0,0,0,0,0,0,0.0725427621481961,0.281475289976094,0,0,0,0,0,0,0.174644393937275,0,0,0,0,0,0,0.00461455032539857,0,0.0601402235887846,0,0,0,0,0.241563694574257,0,0,0.00678148525386902,0,0,0,0,0,0.0466649495063667,0,0,0
X601939.CH.EQUITY,0.185607515423816,0,0,0.608587823826733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018657821048391,0,0,-0.00855481390654344,-1.73472347597681e-18,0,0.115518121901203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118423604264873,0
X601288.CH.EQUITY,0.0485179856208356,0.0433301804010018,0.194828961866935,0,0,0,0,0,0,0.123601185159406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168409442173611,0,0,0.207681206704506,0.11659946092101,0,0,0.0106189531331879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0674631297780107,0,0.358957380637424,0,0,0,0,0,0,0,0.209279674595088,0,0,-0.0668526656751446,0,0,0,0,0,0,0.10064728964594,0,0,0.318754912084808,0,0,0,-0.17251456518792,0,0,0,0,0,0,0,0,0.21640756530093,0,0,-0.0721415326452937,-0.370881736101128,-0.0380323342396098,0,0,0,-0.252390201936805
X601988.CH.EQUITY,0.113105312008719,0,0.0129924158144673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584528286420405,0.0341141005636032,0,0,0,0,0.149620534702191,0.0115900622398701,0,0,0,0,0,0,0,0,0.0618367503523159,0,0,0,0,0.00165984657389521,0,0,0,0,0,0.0883546353274704,0
X600036.CH.EQUITY,0,0,0,0,-0.0266736452545606,0,0,0,0.0325068694400655,0,0,0,0,0,0,0,-0.0211480598276291,0.0375948959012555,1.73472347597681e-18,0,0,0,0,0,0.757973659995266,-0.00618524339124788,0,0.0329162387751417,0.103572871955331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065732728139966,0,0.072193142896422,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.255434300004088,0,0,0,0,0,0,0,0.208592556046337,0,0,0,0,0,0.0577506938959024,0,0,0,0,0,0,0,0.046098759117258,0,-0.0724606197574689,0.115055656040781,0,0.332848759728381,0,0,0.190451471280795,0,0,0,0,0,0,0,0,0,-0.0765739010257238,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.217635535350198,0,0,0,0,0.0306256934622772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503477887505697,0,0,0,0,0,0,0,0,0,0,0,0,0.406088211808991,0,0,0.234931859135478,0,0.0293271713008846,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.170984751008505,0,0,0,0.115068776371682,0,0,0,0,0,0,0.259995056873743,0,0,0,0,0,0,0,0.227992953070116,0,0,0,0,0,0.0668139786162902,0,0,0,0.00595976996853614,0,0,-0.00594177501963411,0,0,0,0.20249618176372,0,3.46944695195361e-18,0,0,0,0.00227182707621782,0,0,0,0.0287906832815803,0,0
