,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.190066508040592,0,0,0,0.512580680400932,0,0,0,0,0,-0.00264851892581685,0,0,0,0,0,0,0,-0.156548063517532,0.495478606278647,0,0,0,0,0,0,0,0,-0.0190049855452398,0.0987419861350868,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0465421566361759,0,0,0,0.0620806195955616,0,0,0,0,0.160549207843071,0.0727324803607102,0.104991703724765,0,0.00889762025359371,0,0,0,0,0.101473067854883,0,0.0743670279202261,0,0,0,0,0,0,0,0.266105720494518,0,0,0,0.129708284111875,0,0.0345350532294686,0,0.109328743492691,0,-0.017236889737149,0,0,0,0,0
X601939.CH.EQUITY,0.575052851738969,0,0,0,0,0,0,0,0,0.037900910015394,0,0,0,0,0,0,0,0.000839721274667357,0,0.310748422418105,0,0,0.000362773332581699,0,0,-0.068575872042948,-0.583639728788905,0,0,-0.0254234304059229,0,0,0,0,-0.139133132808874,0,0,0,0,0,0.566152488643383,0,0,-0.0909419880758955,0,0.124583715176027,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0519660449368813,0,0.153723242730601,0,0.259775001687989,0,0.0214966280132414,0,0.348606556626126,-0.10389797549041,0,0,0,0,-0.0726777581640134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145544739573358,0.395608835094141,0,0,0,0,0,0,0,0.170934420700256,0,0,0,2.16840434497101e-19,0,0,0,0.0897829484955162,0,0,0.0351283190258911,0.043662164681991,-0.138094451620725,0,0,0,0,0,0,0,0,0.0535341964024381,0,0,0.131041125135267,0,0,0,0,0,-0.186028963707528,0,0,0.123726725468671,0,0
X601988.CH.EQUITY,0,0,0,0,0.284174576762443,0,0,0,0.135819625409724,0,0.104876247951431,0,0,0,0.14900883180837,0,0,0.0403498732228965,0,0,-0.0307958216519825,0,0,0,0.0676444852938649,0,0,0,0,0,-0.22765379146655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990803997064844,0
X1299.HK.EQUITY,0,0,0,0,0.181199344787807,-0.0260973456892829,0,0,0,0,0,0,0,0,0,0.0810481479830746,0,0.138126093053451,0,0,0,0,0,0,0,0.0751662162476106,0,0,0,0.115564903318526,0,0,0.064389007902631,0.032669884304323,0,0,0.454453865908987,0,0,0,0,0,0,0,-0.187328077850069,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0592898083789111,0,0,0,0,0,0,0,0.526322076961364,0,0,0,0,0,0,0.070094386698028,0,0,0,0.241542937942699,0,0,0,0,0,0,0,0.147636921512417,0,0,0,-0.197997926581024,0,0,0,0,-0.166477495843732,-0.00286042339188063,-0.0236012954691024,0,0,0,0,0.192274471077559,-0.0511641207892984,0,0,0,0.0305323225029701,0
X601628.CH.EQUITY,0,0.21415675589292,0.00433507819123806,0.0810255158098297,0,0,0,0,0,0,0,0,0,-0.034531396563583,0,-0.051307648517689,0.202412304771054,0,0,0,0,0,0,0,0,0,0,0.0385700518335831,0,0,0,0,0,0,0.159127126744412,0.0757435936348193,0,0,0,0,0,0.218631691233445,0,0.082717140017093,0.097578989323057,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.701315830701309,0,0,0,0,0,0,0,0,0,0,0,0,0.134828215766087,0,0,0,0,0,0.0383750846292619,0,0,0,0,0,0,0,0,0,0,0,-0.00868274146267089,0,0,0.0228282517770816,0,0,0,-0.181971353754329,0,0,0,0.0395092613114459,-0.0118336715550523
