,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.149568053425178,0,0.0916225271419319,0,0,0,-0.0381215440049262,0,0,0,0.415773486462636,0,0,0,-0.0993939846467844,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0230410663338741,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.150921570711742,0,0,0,0,0,0.118421877442292,0,0,0.0432067591415627,0,-0.0159675543628378,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.116180195166863,0,0,0,0.201013771598261,-0.0455738457253094,0,0.197848164630957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0839299279378233,0,0,0.315135547865303,0,0,0,0,0,0.21776938513392,-0.261902765748874,0,0,0.253898224211283,0.191914218739417,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.56244885196499,0,0,0,0,0,0,-0.0742396761185787,0,0,0,0.0764116082875492,0,0,0.111874734374815,0,0,0,0,0,0,0,0,0,0.181705714550741,0,0,0,0,0,0,-0.0183614965064758,0,0,0,0,0,0.104309207571809,0,0,0.308777400271921,0,0,0,0,0,-0.00273058396981107,0,0,0,0,0
X601288.CH.EQUITY,0.29575292368159,0,0.18005240535512,0,0,0.234699010574756,0,0,0,-0.0767751160173132,0,0,0,0,0,0,0.0684556842907172,0,0,-0.00396136265738265,0.00262203349305628,0,0,0,0,0.0400912108145499,0,-1.73472347597681e-18,0,0,0,0,0,-0.086718284219463,0,0,0,0,-0.0257504358503958,0,0.222870626632101,0,0,0,0,0,0,0.165570804420289,0,0,0,0
X5.HK.EQUITY,0,0,0.039434323358975,0.229919690469841,0,0.168827748787614,0,-0.312826495714827,0,0,0,0,0.0806363432310897,0,0,0,-0.0431373077378492,0,0,0,0,0.419191077479891,0,0,0,0.415885382336163,3.46944695195361e-18,0,0,0,0,0,0.0625297601579555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161821700000041,-0.109793187905645,0,0,0
X601988.CH.EQUITY,0.240541757529778,0.0514791540795946,0.205831500084156,0,0,0,0,0,0.17580634989529,0,0,0.205331733632374,0,-0.149478842311003,0,0,0,0,0,0,0,0,0,0,0.024254790146536,0,0.0778942787064887,0,0,0,0,0,0,0,0.0711303749662265,0,0,0,0,0.184952576275212,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0196733496906272,-0.0120277084461661,0,0.0969616050873551,0,-0.0264345155251327,0.0290275332907531,0,0.32442071914922,0,0.262347965927615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0547263812018192,0.0715954422996663,0,0.0710211347324063,0,0,0,0.0904322402825762,0,0,0,0.117296013605021,0,0,0,0,0,0,0.0636092341790562,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0632887575896221,0,0,-0.0875241922780371,0,0.140583431693287,0.295738634210522,0,0,0,0,0.162935136917176,0,0,0,0,0.143815483212196,0,0,0,0,0,0.00970432815506539,0,2.16840434497101e-19,0,0,0,0.102839479341727,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.124641175274804,0.261701760747725,0,0,0.0703731199873096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399820726505805,-0.146908021670309,0,0,0,0,0.235422990587353,0,0,0.0392540101086585,-0.257360224182023,0,0,0,0,0,0,0,-0.0401348641059791,0,0,0,0,0,0.0154804505712476,0,0,0.0823451214662302,0,0,0,0
X601658.CH.Equity,0,0.194389907772348,0,0,0,0,0,0,0,0,0,-0.131458248495528,0,0,0,0,-0.136682760063669,0,0,0,0.161820242598578,0.065815884484725,0,0.436590352573177,0,0,0.0139235684082014,0,0,0,0,0,0,0,0,0.212145604539628,0,0,0,-0.374056850116012,0,0,0,0,0,0.569409351757695,0,0,0,-0.897829966473775,0,0
