,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0574157341796511,0.13786704150318,0,0,0,0,0,0,0.405655510618968,-0.201902856095412,0,0,0,0,0,0,-0.0669303415708094,0,0,0,0,0,0,0,0,0,0,0.650944429738033,0,0,0,0,0,0,0,0,0,-0.0149177856172733,0,0.0346453398981165
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.129824656000076,0,0,0,0,0.142464946931462,0,0,0,0,0.0727202176707061,0,0,0.0899873644886494,0,0,0,0,0.0453508186593088,0,0.0243146553550328,0,-0.031676469769889,0.0174455428190141,0,0,0,0.13983072121744,0,0,0.262871645987058,0,0.00810141575070015,0,0,0,0.0326023755380774,0,0,0,0,0,0
X601939.CH.EQUITY,0.309514997826153,0,0,0,0,0,0,0,0,0.043219575474404,0,0,0,0,0,-0.164519231033036,0,0,0,0,0.0568486350084901,0,0,0,0,-0.556604709279382,-0.0386264504324357,0,0.0103961888062087,0,0,-0.0986377893525246,0,0,-0.382930005719431,0,0,0,0.124977212054566,0,0.930407029127846,0,0.137337136573623,0,-0.107816678205279,0.338878240205967,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.183668578093995,0,0,0,0,0,0.430260439041907,0,0,0,0,0.344334426581465,-0.134707691663499,0,0,-0.159375279005316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129401577658008,0,0,0.0496019240855768,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.133103850001599,0,0.311979588854693,0,0,0.0340446868827184,0,0,0,0,0.159944925262285,0,0.0440148299396223,0.000662214115714412,0,0,0,0,0,0,0,0,0,-0.206965979283026,0,0,0,0,0,0,0,0,0.151660542949303,0.227444969365505,0,0,0,0,0,0,-0.0860257939639758,0,0,0.0962545803040303,0,0
X601988.CH.EQUITY,-0.0390654418432155,0,0,0,0.405926996272061,0,0,0,0,0,0,0,0,0,0,0,0.00163301279699094,0.00321557052209376,0,-0.166334783114074,0,0,0,0,0.343729359632957,0,0,0,0,0,-0.339082685543805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269512588907924,0.126856582166069,0,0,0,0,-0.0429217176627315
X600036.CH.EQUITY,0,0.189290196048388,0,0,-0.0383705949812334,0,0,0,0,0.517512638557316,0,0,0,0,0,0,0.0436410165813467,0,0,0.212295089255645,0,0,0,0,0,0,0,0.0921941943197399,0,0,0,0,0,-0.263439498502317,0,0,0,0,-0.0894618443363484,0,0,0,0.164114553334374,0,0,-0.0218324569659391,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.302906783600455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885204257596194,0,0,0,0,0,0,0.234830135139416,0,0,0.00377769532069237,0.085165801647313,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-1.73472347597681e-18,0,-0.129565728721201,0,0,0.072455020014102,-0.0175803783064053,0,0
X601628.CH.EQUITY,0,0.0518264009936019,0.00495504673274911,0.0625981797925821,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.19799978660238,0,0,-0.0329931047834254,0,0,0,0,0,3.46944695195361e-18,0,0.169182806382116,0,0,0,0,0,0,-0.0248449056374965,0,0,0.286975979511693,0,0,0,0,0,0,0.186053762679138,0.0835038814390344,0,0.102199699719583,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.191632154786985,0.0561632146678012,0,0,0.600832694663025,0,0,0,0,0,0,0,0.104417743764271,0,-0.0226038460357153,0,0,0.199642494168983,0,0,0,0.0225663711289264,0,0.262741029519783,0,0,0,0,0,0,0,0,0,0,0,-0.253231773402301,0,0,0,0.0308035859941821,0,0,0,-0.42306288819563,0,0,0,0,0
