,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X000776.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.434201950126689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0299034423746255,0,0,0,0,0.0195010423788468,0.179664437024511,0,0.0287496983531182,0.00491953763413456,0,0,0,0,0,0,0.0301088706027964,0.0584629578057808,0.260130019449345,-0.0330859799286387,0
X601318.CH.EQUITY,0,0,0,0,0.0882185218569545,0,0,0.115909739808244,0.0757402358753318,0,0.030164349214882,0,0,0.125564091523913,0,0,0,0.00996378879654631,0.0496357899516836,0.384876761293057,0,0.0195034952653021,0,0,-0.0739467505797423,0,0.166960266748439,0.0122403032542297,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0599773889211018,0,0,0,0,0,0,0,0.109155636844839,0,0,0,0.0764163015066775,0,0,0
X601939.CH.EQUITY,0,0,0,0.286256774508515,-0.0874938158253516,0,0.0248222403141992,0,0,0,0,0,-4.33680868994202e-19,0,0,0.00535220460914602,0,0,0,0,0,-0.246247084307103,0.740509230374454,0.00919193587056448,0,0,0.0213296095892345,0,-0.105089062124966,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147933247768126,0,0,0,0,0,0,0,0,-0.128020051295686
X601288.CH.EQUITY,0.163448800618815,0,0.016175854119074,0,0,0.0558407322065667,0.375457513908943,-0.0834035753545803,0,0,0,0,0,0,0,0.0529045619860823,0,0.0122092876479659,0,0,0,0,0.0348503117156116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191553744677417,0,0,0,0,0,0,-0.126503848346023
X600036.CH.EQUITY,0,0.188785083481849,0,0,0,0.072786748701535,0.0943669208767308,0,0,0,0,0,0,0.216541690921119,0,0,0,0,0,0,0,0,0,0,0.0301117237310183,0.336491439321645,0,0,0,0,0,0.0945749179944866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0842884035637644,0,0,0,0.00853816127238097,0,0,0,0,0,0,0,0,0,0,-0.0360268291527907,0,0.191473805317782,0,0,0,0.0811505194235836,0,0,0,-0.119293859604069,0,0,-0.0449743212859103,0.0100722481422437,0,0,0.171494586622819,0,0.092770214931351,0,0,0.573489312123902,0,0,-0.032942588284743,0,0.079443918035697,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0536182247731973,0,0.032379536088657,0.178132394392487,0.362217276968358,0,0,0,0,0,0,0,0,0,0,0.177215551069175,0,0,1.38777878078145e-17,0,0,0,0,0,-0.00670792587434872,0,0.0749527075088995,0,0,0,0,0,-0.122052885121329,0,0,0,0.263273106904781,0,0,0,0,0,0,-0.075342906803327,0,0,0,0,0,0,0,0.0244262888210968
X1299.HK.EQUITY,0,0,-0.0421103603536044,-0.0329619600516493,0,0,-0.000242841298538501,0,0,0.118889079738791,0,0,0,-0.168455053478317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219808126030875,0.0306012219589778,0,0,0,0,0,0,0,0,0,0,0.14288270930996,0.145622282969617,0.0315408111810134,0,0.0710945246629191,0.0607444588587771,0,0.18078631900571,0,0.132670847445497,0,0,0
X5.HK.EQUITY,0,0,0,0.0104627526664957,0,0,0.0156238857518142,0,0,0,0,0,0,0.0531266046305016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146580894695392,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272117381162959,0.468190357092284,0,0,0.17091370835605,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0.149597403565805,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283919589649467,0.492147207876636,0,0,0,0,0,0,0.15590809211857,0,0,0.124168551378022,0.176809352359398,0,0,0,0.0271332127375723,0,0,0,0,0.0781683121125299,0.0359824148230419,0,-0.0248494225818961,-0.173110710744374,0.0757250563017133,0,0,0,0,0
