,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0915106630077879,0,0,0,0,0,0,-0.0429193754380776,0,0,0,0,0,0,0,0,0,0,-0.180158999115091,0,0.036570234271263,0.681952290376807,0,0.546838871453499,0,0,-0.250763414149576,-0.116821483359337,0,0,0,0,-0.023544716577958,0,0,0,0,0,-0.0363799317865595,0,0,0,0,0,0,0,0,0,0,0.0784724494823865
X601318.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0.21551093519502,0,0,0,-0.0728176764611242,0,0,0.100734759888584,0,0,0,0,0.0844408431425072,0,0,0.0125745090921531,0,0,0,0,0,0,0,8.67361737988404e-19,0.0153559855354076,0.156683943101339,0,0,0,0,0.24653238397185,0,0.06736934437348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469483104820288
X601939.CH.EQUITY,0,0.0809487692947923,0,0.802718278466846,0,0,0,0,0,0.0444207571750976,0,0,0.016917843759334,-0.00807902977688543,0,0,0,0.0802587882361737,0,0,0,0,0,0,0.0252524056588853,0,0,0,0,0,0,0,0,0,0,0,0,0.0678340061783751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0191176275144267,0,0.935878990023889,0,-0.0415082388369793,0,-0.0822543915529422,0,0,0.0204825252321745,0,0,0,0,0,0.00689423718818611,0,0,0.114392642276042,0,0,0,0,0,0.0477584366729789,0,0,0,0,0,0,0,0.0346645012437473,0,0,0,0,0,0,-0.0629401427556109,-0.047071406439024,0,0,0,0,0.0531788290729073,0,0,0,0,-0.0747425843681348,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.26283525837905,0,0.0864699907459189,0,0,0,0,0,0,0,0.321853425329385,0,0,0,0,-0.0725674615710145,0,0,0,0,0,0,0,0,0,0,0.132283487174464,0,0.104604360684383,0,0,0,0,0,0,0,0.139001197289583,0,0.186545586097547,0,0,0,0.0476809222971331
X600036.CH.EQUITY,0,0,0.07192742974827,0.257133459150424,0,0,0,0,0.0479894223952412,-0.00689222746313215,0,0,0,0,0,0,0.176057648358912,0,0,0.0201336233578427,0,0,0,0,0.0238490423452218,0,0,0.18755694873173,0,0.0312187094895846,0.128864675563445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04237851245281,0,0,0,0,0.0317384628903197,0,0
X1299.HK.EQUITY,0,0,0,0,0.094286030028331,0,0,0,0,0.170930241526749,0,0,0,0,0,0,0,0,0,0,0,0,0.283374329103539,-0.0242524545071469,0,0,0.112785260441376,0,0,0,0,0,0.138704597682076,0,0,0,0.0753611635869515,0,0.0625316580886824,0,0,0,0.0766740599151624,0,0,0,0,0.11839614737992,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0868505088250228,-0.0451288333301959,0,0,0,-0.020355924554715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178422094415497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124248590711816,0,1.0025030468704,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0309152416806769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375800191757017,0,0,0,0,0.0899526025461879,0.295111607512568,0,0,0,0,0,0,0,0,-0.257722308646022,0,0,0,0,0,0,0,0.0846948571994905,0.0285191237487584,0,0,-0.11118834148588,0,0.134582973781816,0.131016123773726,0
X388.HK.EQUITY,0,0,0,0,0.23412957420339,0,0.0341136779815975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127717378464125,0,0.277996578196386,0,0,0,0,0,0.113927332937355,0,0,0,0.104358994682922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.254037983714562,0,0.179558370854399
X601658.CH.Equity,0,0.0235510211507544,0.176221105839509,0.0668067072491621,0,0,0,0,0,-0.0452678041164532,0,0,0,0,0,0,0,0,0.131113644361624,0,-0.16582948656568,0,-0.013294869171428,0,0,0,-0.0546701160968795,0,0,0.200469147892543,0,0,0,0,0,0,0,0,-0.0907529031067162,0,0,0,0.775569566118204,0,0,-0.232238074007561,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.00979087875335006,0,-0.0743585200856698,0,0,0.132189334540949,0.0494788343045708,0,0,0.298005613756256,0,0,0,0,-1.73472347597681e-18,0,-0.0147300592765137,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.152660483550236,0,0,0,0.217926674517473,0,0.0736313500028862,0,0.082286930668138,0,0,0,0.160459678752142,0,0,0,0
X601166.CH.EQUITY,0,0.0449874576120667,0,0,0,0.0807270705911748,0.033588972547396,0.362192446351826,0,0,0.0594954011052816,0,0,0,0,0,0.069157205578965,0,0,0,0.00753666041397054,0.0951558552962784,0,0.0595983506498682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589235645026912,0.026450866355024,0,0,0,0,0,0,0,0,-0.0235653953586613,0.233888671867868,0,0,0.0100511905793554
X601066.CH.EQUITY,0,0,0,0,0,0,0.00852892918708872,0,0,0.0135998473641884,0,0.636587133901526,0,0,0.0278480895685197,0,0,0,0,-0.0588119172539524,0,0,0.00246939572368921,0,0,0,0,0,0,0,0,0,0,0,0.000800160088844541,0,0,-0.0200179081760802,0,0.163442181646896,0,0,0,0,0,0.0295838809630806,0,0,0,0,-0.0336675226687839,3.46944695195361e-18
