,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.673206091766419,0,0,0,0,0,0.00868616649226508,0,0.0497296451951022,0,0.10013994375844,0,0,0,0,0,0,-2.16840434497101e-19,0.0272919815478585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026646301106474,0,0.056480779909932,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.00871073498808288
X601939.CH.EQUITY,0.275835917448112,0,0,0.356712297902274,0,0.0626854698991371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420212594395393,0,0,0,0,0,0.0313313292029317,0.210564551559193,0,0,-0.0611606979669248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0465043491395264,0
X601318.CH.EQUITY,0,0.0175147572538635,0,0.0917758842216957,0,0,0,0,0,0,0,0,0,0,0,0.00884796346132371,0,0,0.192522149395803,0.00916996383960907,0,0,0,0,0.0104296405611583,0.0468507252718999,0,0,0,0,0,0,0,0.214086139649407,0.0165907399704181,0.0441250005774413,0,0,0,0.235099139237926,0,0,0,0,0,0.0861970698025421,0,0,0,0,0
X601288.CH.EQUITY,0.289341338159817,0,0,0,-0.0270895984843824,0,0,0,0,0.115202070853824,0,0,0,0,0,0,0,0,0.0633012034489498,0,0,0.0566721185279985,0,0,0.0304965164307905,0.259799457035779,0,0,0.0354508099464629,0.070005225192526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733489137948672,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.159064132170418,0.0654986293534994,0,0,0,0.453760590922417,0,0,0,0,0,0.255122148609416,0.0143255402905191,0,-0.352759384529131,0,0,0,0,0.351427244004446,0,0,0,0,0.183289978017664,0,-0.00309399301638426,0,0,0,0,0,-0.251241709227286,0,0,0,0,0,0,-0.185712832029252,0,0,-0.0576647476275765,0,0,-0.313593482029828
X601988.CH.EQUITY,0,0.106206490415291,0,0,0.0990271520414195,0,0,0,0.106853008656289,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507016745566764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436150583251859,0,0,0,0,0,0,0,0,0.103520390161726,0.0874363604635625,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.0967548450572001,0,-0.0544340130838388,0,0.0459526858832472,0,0,0,0,0.23932981450114,0,0,-0.046756274320716,0.205914279183718,0,0,0,0.0921934272384619,0,0,0,0.04256910966297,0,0,0,0,0,0,0,0,0.0491764497245037,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.00964237628267038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788177062673077,0,0.00558458684052284,0,0.0709540482925763,0,0,0,0,0,0,0,0,0,0,0,0,0.015094313811834,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.124962189940704,0.0917983372213071,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0241996774252456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355017021457169,0,0,0.0424545015828142,0,0,0,0.0862536891302421,0,0,0.115896263726626,0,0,0.0327772515862727,0,0
X601328.CH.EQUITY,1.73472347597681e-18,0.0024652816663761,0,0,0,0,0,0.189039798300102,0,0,0,0,0,0.113141200934452,0,0,0,0,0,0,0,0.322218148507262,0,0,0,0,0,0.0403263541287064,0,0,0,0.00478469958905542,-0.00123441907807984,0.0164176849216904,0,1.73472347597681e-18,0,0,0.0724742196142763,0.236263070873793,0,0.0566848977934356,0,0,0,0,0,0,0,0,-0.0186666024957827
