,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.172023101098029,0,0,0,0.017295307968533,0,0,0,0,0,0,0,0,0,0.19595299961523,0.12720445679217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196986772699877,0,0,0.164630550318997,0,0.0480252232172011,0,0,0,0.0718578115349253,-0.0161005095380343
X002142.CH.EQUITY,0,0,0,0,0,0.762040570788137,-0.0546316569300665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427277182126393,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0565880144086625,-0.0293906658668908,0,0,0,0,0.0774550835735087,0,0,0.159309537930659,0,0,0,-0.0876086054897668,0,0,-0.121140098630588,0
X600000.CH.EQUITY,0,0,0,0,0.0887156966186163,0.0433334192695109,0,0.600723548458055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504236716852966,0,0,0,0,0,0,0,0,0,0.00389066824289784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018425367170826,0,0,0,0,0
X600015.CH.EQUITY,0,0.0610115401113202,0,0,0,0,0.510259436992094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126030209873135,0,0,0,0,0,0,0,0,0,-0.130711078616685,0,0,0,0,-0.043691379551397,0,0,0,0.0871609923845131,0,0,0,0,0,0,0,0.118579620922863,-0.113746307243439,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.192129876169281,0,0.269613425143264,0.329089622299527,0,0,0,0.0928580918307609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127344957535541,0,0,0,0,0,0.0438842688484443,0,0,0,0.0495273702119357,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.422822917952741,0,0,0,0,0,0,0,0,0.0865039380407391,0,0,0,0.329284951719165,0,0,0,-0.0939754818415249,0,0.0343931860316726,0.0274238488166745,0,0,0,0,0,-0.0107400447499641,0,0,0,0,0,0,0,0,0,0,-0.00614004654491523,0,-0.0203709659978825,0,0,0,0.0382720301792053,0,0.0789296245764889,0,0,0,0,0
X601009.CH.EQUITY,0,0.0287711177145774,0,0.845824838119609,0,0,0,0,0,0.0895155892123524,0,0,0,0,0,0,0,0.0346421762006209,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480424783733886,-0.0712483444308008,0,0,0,0,0,0,0,-0.0507600451362393,0.0842553983324824,0,0,0,0,0.0671860912041483,-0.0597470148161693,-0.0239300834542332,-0.0784184924202325,0,8.67361737988404e-19
X601166.CH.EQUITY,0.084202826177564,0,0.52286624914612,0,0,0,0.00977973106488437,0,0,0,0.110960736510064,0,0,0,0,0.0643816661888248,0.0764168018154488,0.00762373639568549,0,-0.00769937467350018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550336899766951,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.068505681051184,0,0,0,0,0.113219561925707,0,0,0,0,0,0,0,0,0.15392620457389,0,0,0,0,0,0,-0.0615357787890077,0,0,0,0,0,0,0,0,0,0.19040753077121,0,0,0,0,0,0,0.0548576687168594,0,0,0,0,0,0,0,0,0.109730693564172,-0.104647973631422,0
X601229.CH.EQUITY,-0.11131910405742,0,0,0,0,0.195810643586912,0,0,0,0,0.151512420790545,0,0.0217370195435618,0,0.209426993475451,0,0,0,-0.375924047946538,0,0,0,0,0,0,0,0,0,0,0,-0.0825821254607234,0,0,0,0,0.14469466242165,-0.061453012665955,0,0,0,0,0,0,0,0,-0.0773504524945559,0,0,0,-0.102906053538046,0,-0.0364118601826094
