,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601398.CH.EQUITY,0,0,0.0974027123612191,0,0,0,0,0,0,0,0,0,0.295248573918913,0,0,0,0,0,0.202391725897944,0.249910058491187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140266079891438,-0.125791901784239,0,0,0,0.0634907759588281,0,0,0,0,0,0,0,0.0296159494168696,0,0,0,0,0
X601577.CH.EQUITY,0,0,0.0249333789368189,0,0.0228847428617484,0,0,0,0,0,0,0.188278391853844,0,0,0,0,0.1293926650808,0,0,0,0,0.284416487261317,0.0866816882074473,0.266501319247929,0,0,0,0,0.0173982245516214,0,0,0,0,0,0,0,0,0,0,0,0.0662559481287419,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.145135213767201,0,0,0.16634054775586,0.134479300689052,0,0,0,0,0,0,0,0,0,0,0,0,-0.172051952403895,0,0.417422250451369,0,0,0.222015500786892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149344554616182,0,0,0,0.206479326974662,0,0,0,0,-0.054422802532712,0,0,0
X601838.CH.EQUITY,0,0,0,0,0,6.93889390390723e-18,0.409115958767523,0.0996540166313002,0,0.0375048914106209,0,0,0,0.0919033750293699,-0.00946214993696277,0,0,0,0,0,0,0,0,0.0179762457906886,0,0,-0.172675796976918,0,0,0,0,0,0,0,0,0,0,0.0491100001433165,0,0,0,0,0,0,-0.0366742238926224,0,-0.0908954971394915,0,0.277344097319328,-0.0715674846109665,0,0
X601939.CH.EQUITY,0,0,0,0,0.228426789105493,-6.93889390390723e-18,0.093754600500636,0,0.0536868728007953,0,0,0,0,0.0818576052282113,0.0245366487176991,1.38777878078145e-17,0.204863449825057,0,0,0.126115909633943,0,0,0,0,-0.0495533658230055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.10696485347808,0,0,0.331657635746805,0,0,0.517522871923549,0,0.0548237888054351,0,0,0,0,0,0,0,-0.0239556540480513,0,0,0,0.0869662654047156,0,0,0,0,0.0923302747537266,0,0,-0.0425300522057297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10275380108446
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287673272532334,0,0,0,0,0,0,0,0,0,0,0,-0.119955215991016,0,0,0,0,0,0,0,0,0,0.310486206324683,0,0,0,0,-0.466176555377367,0.162146578556211,0,0,0.152811872392816,0,0,0,0.312069006492306,0.108475064915086,-0.087639153969908,0
X601658.CH.Equity,0,0.0430898219757366,0,0,0.125719995485303,0.148836316944346,0,0,0.0816657609063302,0,0,0,0.186430839636565,0,0,0,0,0.172342425076527,0,0.0686815263588375,0,0,0,0,0,0.109724120074084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128590400234663,0,0,0,-0.0730939034141483
X601916.CH.Equity,0,0,0,0,0.117781605391126,0,0,0.069815652932278,0,0.10198935714501,0,0,0,-0.304325903823666,-0.0448075773369444,0,0,0,0,0,0,0,0,0,0,0,-0.127402191196637,0.0576127289729578,0,0,0.158398376337972,0,0,0,0,0.242063729774591,0,0,0,-1.73472347597681e-18,0.745238120921324,0,0,0,0,0,0,0,0,0,0,0
X601077.CH.Equity,0,0,0.120853612731195,0,6.93889390390723e-18,0,0,0.0216764733678333,0,0,0.149486954421166,0.244733067241077,0,0,0,0.208444115548442,0,0,0,0,0,0.0212702970741361,0.0778931858667792,0,0,0,0,0,0,0,0,0,0,0,0,0.0895542959691025,0,0,0,0,0,0.0133524924524843,0,0,0,0,0,0,0,0,0,0.0504197804380481
