,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0,0.0888585340301748,0,0,0,0,0.333189767467314,0,0,0,0,0.073045226867792,0,0.0116547248768268,0,0.167931751735339,0.0239562904251644,0.221172460414807,0,0,0,0,0.13092089518888,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512889789105893,0,0.179260242922594,0,0,0,0,0,0,0,-0.0761889553386204,0
X002142.CH.EQUITY,0,0,0,0,0,0.129721366780134,0.203873213142917,0,0.148547892325638,0,0.054397895956763,0,0,0,0.0636555719762533,0,0,0,0,0,0,0,0,0,0.0203518618411631,-0.0599468903883961,0,0,0,0,0,0,0,0,0,0,-0.0712456180912555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002958.CH.EQUITY,0,0,0,0,0.39273063142755,0,0,0,0,0,0,0,0,0.0100112696914301,0,0,0,0.0781686135848679,0,0,0,0,0.238916616793224,0,0,0.0460700087411723,0,0,0,0,0,0,0.0861374861542457,0,0.121604371819082,-3.46944695195361e-18,0,0,-1.73472347597681e-18,0,0,0,0,0.0371243028775153,0,0,0,0,0,0,0,-0.021687736862261
X600000.CH.EQUITY,0,0,0,0,0,0,0.501689612967306,-0.00862957375148023,-0.199013359627569,0,0,0,0,0,0,0,0,0,0.287703553787279,0,-0.350199015915139,0,0.14944971520741,4.33680868994202e-19,0,0,0,0.0757254769979979,0,0,0,0,0,-0.00219436269940304,0,0,0,0,0,0,0,-0.270238484306045,0,0,0.370157219409387,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.163072390477138,0,0,0.108179150611706,0,0,0,0,0,0,0,0,0.110332579571388,0,0,6.93889390390723e-18,0,0,0,0.0410413360913811,0.0880453045477596,0.191808083685354,0,0.0970227676883806,0.0472152835539501,0.0353752796992467,0,0,0.120180284799382,0,0,-3.46944695195361e-18,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.171578838752406,0.0256624081399519,0,0,0,0,0,0,0,0,0,0,0,0.165211573497633,0,0,0.0469007145044641,0.372911629030182,-0.060712666927474,0,0,0,0.0868741528082864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194662820236181,0,0,0,0,0,0,0,-0.0500698695919134,0,0
X600036.CH.EQUITY,0,0.432156181699114,0,0.14306900364762,0,0,0,0,0,0,0,0,-0.0974670865145714,0,0,0,0.316921774820497,0,0,0,0.111353038798713,0.0393865131736927,0,0,0,0,0,0,0,0,0,0,0,0.465715275269807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608746614520775,0.0859178681741985,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0.0761761355145999,0,0,0,0.434629455312351,0,0,0.0841630806940016,0,0,0.179913000084882,0,0,0.291181171949501,0,0.0448471365164975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14065964853216,0,0.433666239002334,0,0.133456133931638,0,0,-0.304774749450463,0,0,0.124841838664916,0,0.0250742607666174,0.00504912762843102
X600926.CH.EQUITY,0,0.240303379148022,0,0,0,0,0,0.0484442445352245,0,0,0,0,0,0,0,0,0,0,0,0.311088721048652,0,0,0,1.73472347597681e-18,0,0,0,-0.0989002789285735,0,0,0.0293204914791515,0,0,0.156663368452497,0,0,0,0,0,0,0,0,0,0,0.193119468237945,0,0,0,-0.210709865196522,0,0,-0.162425947183451
X600928.CH.EQUITY,0,0,0.594600331354771,0,0,0,0,0,0.121340698013762,0,0,0,0,-0.0848861090485472,0,-0.0118964965488442,0,0,0,0,0,0,0,-0.0102077138797614,0,0.247423630199902,0,0,-0.0701750008879816,0,0,0,0,0.0835536666229239,0,0,0.0377025369406248,0,0,0,0,-0.0522242120145344,0,0,0.20888264740651,0,0,0,6.93889390390723e-18,-0.111948575470036,0,0.000745594314673539
