,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601288.CH.EQUITY,0,0.0408744843158725,0,0,0,0,0,0,0,0.282031406111296,0,0,0.0997289079250479,0.129926889762441,0.124755597901022,0,0.0406381884801322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739661235453968,0,0,0,0,0,0,0,0.0172710331677068,0,0.0616833986700683,0,0.0592282482704733,0,0,0,0.0985109587144096,0,0
X601328.CH.EQUITY,0,0,0,0,0.0577903922549065,0,0,0,0,0.108383697960331,0,0.101141274509903,0,0.0241262178129928,0,0,0.392792152101366,0,0,0,0.0517945657968624,0,0,0.0444756581331109,0,0,0,0,0,0,0.0102057795881569,0,0,0.178717307896409,0,0,0,0,0,0.00821757211536898,0.0169676436101309,0,0.0952077867654844,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.1291626202813,0,0,0,0,1.0842021724855e-19,0,0,0,0.412113603121029,0.355383811389611,0,0,0,0,0,0,0,0,-0.0881616407671993,0,0,-0.197728597652686,-0.0789051976738879,0,0,0,0,0,0,0.265458275790841,0,0,0,0,0,0,0,0,-0.0663382504660484,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.162928927855272,0,0,0,0,0,0.150750529604994,0,0.00075703827773593,0,0,0,0,0.187394830790087,-0.0270658037111361,0,0,0,0,0,0,0,0,0,-0.0613484735148936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0255808485572258,0,0.0795400062880542,0.0185461636075598,0,0.0476588793939495,0.0156032596195736,0.46967636645402,0,0,0,0,0,0,0.0671075798309841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126527008019323,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0
X601988.CH.EQUITY,0,0.167346672379468,0,0,0.0845857664877816,0,-0.0653867466695381,0,0.163980359697219,0.235363515786363,0,0.218390489902244,0.0934021339487867,0.0404976938045431,0,0,0,0,0,0,0,0.0464045330256519,-0.144040238242224,-0.134955157196687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346158624198559,0,0,0,0.0701534333391162,0,0,0.089342398116592,0
X601998.CH.EQUITY,0,-0.102199794229431,0,0,0,0,0,0,0,0.349301083439045,0.178896851251623,0,0,0,0,0,0,0,0,0.0568087310991924,0.0522590999018644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184248959631811,0,0,0.0860127294609203,0,0,0,0,0,-0.237370922013787,0,-0.005377253945736,-0.281577741653726
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0186757035012668,-0.0323017490162995,0,0,0.242226316179997,-0.181505124653137,0,0,0,0,0.473560598894525,0.155138168669743,0,0,-0.050673509138617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0774513797776069,0,0,0,0,0,0.241185308642937,0,-0.111241725177219,0,-0.163847702222353,0
X2388.HK.EQUITY,0,0,0,0,0,-0.125530352294675,0.079835323729341,0,0,0,0,0,0,0,0,0,0.0674288128787805,0,0.188685766763847,0,0.752910172986555,0,0.0743769220414961,0,0,0,0,0,0.0923818993134316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646872904339832,0,0,-0.116710389168162,0,0.0558486030606209
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142982960632361,0.147495096867445,0.359590808337117,0,0,0,0,0,0.0395287888318769,0,0,0,0,0,0,0,0.0784011188773285,-0.129849165811089,3.46944695195361e-18,0,0,-0.115810555256506,-0.272912495115088,0,0,0,0,0,0,0.106723294924898,0,0.372230716336925,0
