,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600061.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.0147357966419475,0,0.0192317625393017,0,0,0,0,0.256653057235051,0,0,0,0.28487109217834,0,0,0,0,0.0314021473616988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285471233169356,0,0,0,0,0,0.00342486647298705,0,6.93889390390723e-18,0,0,0.158031603961858,0,0,0.124191219444642,0.0502934482760453,0,0
X002142.CH.EQUITY,0,0,0,0.215550418301453,0,0.0835172659526329,0,0.428686559261304,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0181554366003963,0,0,0,0,0,0.072218537885118,0.145107610308937,0,0,0,0,0,0,0,0,0,0,0.0146895499924076,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.146802267149951,0,0,0,0.162697713674711,0.149259063167475,0,0.215899861583746,0,0.053283823965467,0.0187569493839435,0,0.0151484590248972,0,0,0,0,0,0,0,0,0,0,0,0.156856216173944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335415443264973,0,0,0.0216117001549177,0,0.0103319960187865,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.639882125362872,0,0,0.0824902822851388,0,0,0,0,0,0.0218702920956989,0,0,0.081771319058252,0,0,0,0,0.0417978292585836,0.0805129483429341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441956465886203,0,0,0
X600016.CH.EQUITY,0,0,0,0.101348107956878,0,0,0,0,0.18603584691816,0,0,0.0186596000868573,0.272789091990395,0,0,0,0,0.158289702933213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670539477329538,0,0,0,-8.67361737988404e-19,0,0,0
X600036.CH.EQUITY,0.36820591745531,0,0.331112415970014,0,0,0,0,0,0.0569893990723367,0,0,0,0,0,0,0,0,0,0,-0.0562267453275774,0,0,0,0,0,-0.0451137036613354,0,0,0,0,0,0,0,0,0,0,0,0.055997269767467,0.089099441896139,0,0,0.0127805236348874,0,0.0645630386955937,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0.267773879802652,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0427764565082147,0,0.283915709525874,0,-0.014899758849348,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.267834488890329,0,0,0,0.021850388559129,0,0.0803467601576353,0,0,0.0171727963491797,0,0,0,0,0,0,-0.00248342792435348
X601009.CH.EQUITY,0,0.230365179463521,0,0,0,0,0,0,0.370978726405099,0,0,0,0,0,0,0.166548821400695,0,0,0,0,0,0,-0.130333580227981,0,0,0,0,0,0,0,0.129655808163586,0,0,0,0,0,0,0,0,0.0325057132737672,0,0,0,-0.0905936525614234,0,-0.0718697099389788,0,0.260228547384404,0,0
X601166.CH.EQUITY,0,0.0305079071783154,0,0,0.172416019732399,0.142315555727315,0,0.117911180412103,0,0,0,0,0.0371200837026786,0,0,0.138397920807861,0.0167683548667668,0,0,0,0,0,0,0,0,-0.0306970640566846,0,0,0,0,0,0,0,0,0,0,-0.0023409436546378,0,0.140935815515352,0,0,0,0.0831819423587092,0,-0.0477493877794521,0,0,0,0.0628668934211518,0
X601169.CH.EQUITY,0,0,0,0.0637036307267531,0,0.108402389932182,0,0.00585475435919503,0,0,0.095318258382051,0,0.0500176441548413,0,0,0.0537347547133673,0,0.0839898455663895,0,0,0,0,0,0,0.212892648607212,0,0.1054174154327,0,0,0,0,0,0,0,0,0,0,0.0151453800924772,0,0,0.0679789962723553,0,0,0.0657321579853095,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0.146001299020591,0,0,0,0,6.93889390390723e-18,0,0.23297396963584,0,0,0,0,0,0,0,-0.0219058264436973,6.93889390390723e-18,0,0,0,0,0,3.46944695195361e-18,0.0750305220341518,0,-0.0607490413769418,0.188100079076571,0,0,0.334621809472876,0,0,0,0,0.109536364346317,0,0,0,0,0.0231375445474176,0,0,0
