,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0.1074642694794,0.0654837955925303,0,0,0,0.053065709076718,0.36068715078886,0,0,0,0,0,0,0,0,0,0,0,0,0.0197150464346908,0,0,0,0,0,0.0254744194449798,0,0,0,0,0,0.0136289361143614,0,0,0,0.0251783403702463,0,0,-1.38777878078145e-17,0,0.157305695566257,0.078844651839174,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.0464240910475974,0,0,0.217929193408259,0,0,0,0,0.276140825281389,0,0,0,0,0,0,0,0.257355020527402,0,0,0,0,0.0226251129562373,0,0,0,0,0,0,0,0,0,0,-0.0079796887639082,-0.0939318401295483,0,0,0,0,0,0,0,0,0.163574662289448,0,0.0548915457294695,0.0851880931370712,0,0.0361858962333519,0.0575500807405917
X002958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0716921982603505,0,0,0,0,0,0,0,0.45066626152451,0,0,0,0,0,0,0.02634381511134,0.0207978181898306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173026638313334,0.015483023556122,0,0,0,0,0,0,0.0629534652058077,0
X600000.CH.EQUITY,0,0,0,0,0.0614598729514587,0,0.0695004566616455,0.0232838962454135,0,0,0,0,0,0.30595034361873,-6.93889390390723e-18,0.0941625462451148,0.345274746162718,-0.0142753726898838,0.0546886082681697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868368114795557
X600015.CH.EQUITY,0,0,0,0,0,0.108491417979679,0,0,0,0,0,0,0.229567995937043,0.246059165224292,0,0,0,0,0,0,0,0.0547643491262704,0.0835251371761304,0,-4.33680868994202e-19,-0.0687027218647714,0.35086995442797,0,0.0993822786158642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737075306949034,0,0,0,0,-0.124723723155227,-0.0427309800389148,0
X600016.CH.EQUITY,0.0739317875278527,0,0,0,0.26459945806232,0,0,0,0,0.0296684511062695,0,0,0,0,0,0,0.0204079991616027,0.343692717568863,0,0.0367020125589039,0,0,0,0,0,0.158979958212241,0,0,0,0,0,0,0,0,0,0,0,0.0697794255447118,0,0,0,0,0,0.070282519328482,0,0,0,0,0,0,0,-0.0241837206753435
X600036.CH.EQUITY,0.391290255491156,0.104831015037444,0,0.0210575064276491,0,0.113245495406691,0,0,0,0.0417785752562103,0,0.144309914664925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978454379997582,0,0,0,0,0,0,0,0,0,0,0,0,0.00138601790019737,0,0,0,0,0,0,0,0,0.0140239141361449,0
X600919.CH.EQUITY,0,0.0659084563261304,-0.00310533453894629,0,0.244700377302654,0,0,0,0.532125749064781,0,0,0,0,0,0,0.0551775562102179,0.0691514634268394,0,0,0,0.0593338013574978,0,0,0,0,0,0,0,0,-0.097802198779522,0,0,0,0,0,0,0,0,0,0,0,0,-0.00563415483615448,0,-0.121375336320479,0,0,0,0,0,-0.0692571707117147,0
X600926.CH.EQUITY,0,0.0920000616015938,0,0,0,0,0,0.357183746547457,0,0,1.0842021724855e-19,0,0,0,0,0.0843728964948319,0,0,-0.0298833274138374,0.354666528237511,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.023422444801106,0,0.223879631985435,0,0,0,0,0,-0.157152159300257,0,0,0,0.127406761549831,0,0,0,0,0,0,0,0,0,0.183636237691612
X600928.CH.EQUITY,0,-0.0416143249292124,0.197063632682591,0,0,0,0,0,0,0,-0.0241879889082196,0,0.0255270679404817,0,0,0,0.13492181203128,0.125813951207749,0.150013141158644,0,0,-0.0781093426947111,0.38661385422119,0,0,0,0,0,0,0,0.0623499082370503,0,0,0,0,0,0,0,0,0,0.0113632713561785,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.295294037913829,0,0,0,0,-0.359251266590456,0,0.554809186570153,0.163063698917756,0,0,0.172494482694541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239493360798426,0,0,0,0,0.112210114965936,0.0046007475028479,0,-0.0466738227470396,0,0.0550255515143197,0,-0.202619891456637,0,0,0.189050734425974,0,0,0,0,0,-0.205644533429015,0.0477798707864084
X601166.CH.EQUITY,0.0168054733787031,0.262570878208812,0,0.0935706095428248,0,0,0.421655439803063,0,0,0,0.0819148376696655,0,0,0,0.00310343017174852,0,0,0,0,0.0361074437496723,0,0,0.0433639572862061,0,0,0,0,0,0,0,0,0,0,0,0.0706697592400704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.111651658830232,0,0,0,0.15472681855464,0,0,0,0,0,0,0,0,0.307639911178423,0,0,0,0,0,0,0,0.247113753995592,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.149298607819064,0,0,0,0,0,0,-0.0587995327006778
