,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.261728545793401,0,0,0,0,0,0,0,0,0.168578151643833,0,0,0,0,0,0,0,0.0723232548790557,0,-0.117332065565889,0,0,0,0.273004308245583,0,0,0,0,0,0,0,0.266503859755062,0.181015423579244,0,0,-0.325834929730908,0,0,0,0,0,0,0,-0.034969061708071,-0.0426920363726985,0,0,0,0
X002142.CH.EQUITY,0.172917930660702,0,0,0,0,0.00957038284654496,0,0.0387587779017996,0.0574857095789655,0,0,0,0,0,0,0,0.206879512803645,0,0,0,0,0,-0.0369295215818894,0,0.064128953878224,0,0.00241580827421699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683181198653073,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.176195173994102,0.0419788541144607,0,0,0.0680345691926193,0.203858387584811,0,0,0,0.0775801100213365,0,0,0.267022819485442,0,0.161056237051111,0,0,0,0,-0.010951004214171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471510320686705,0.0533065237275312,0,0,0,0,1.73472347597681e-18,0.0515173631336791,0,0,0,-0.0669472688368442
X600015.CH.EQUITY,0.0141523689599985,0,0,0,0,0,0,0,0,0.264896078134409,0,0,0,0,0.395937443287695,0,0,0,0,0,0,0.0111290906233339,0,0,0,0,0,0,0,0,0,0.029730391556499,0.0242706053716715,0.126895831090535,0,0,0,0.0385893526170707,0,0,0,0.0596146207248764,0,0,0,0.0794327684607058,2.16840434497101e-19,0,0,0
X600016.CH.EQUITY,0,0,0.183546703020887,0.250099181774958,0,0,0,0,0,0,0.0227131339928774,0,0.201391919092936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408589415130885,0,0,0,0,0.0201353634817663,0,0,0,0,0.099174142515937,0,0,0,0.124952910826224,0,0,0,0,0,0,0,-0.0185282669696547
X600036.CH.EQUITY,0,0.182378867787783,0.260601791367984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000419722384716721,0,0.201252996726954,0,-0.0864612678287012,0,0,0,0,0,0,0,0,0,0,0.032104475943366,0,0,0,0,0.0184309000676939,0.314722636669641,0,0,0.00730085442644881,0,0,0,0,0.0249784279844008,0.096204050458849,0.0971390188622987
X600919.CH.EQUITY,0,0.015506506267007,0,0,0,0,0,0.0380671639585131,0,0.181327300348931,0,0,0.244940014747271,0.129905902805102,0,0,0.0561901866915647,0,-0.0413237182688106,0,0,0,0,0,0,-0.0231613706004765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425872281016235,0,0,0,0,0,1.73472347597681e-18,-0.0367672962347522,0,0,0
X601009.CH.EQUITY,0.331984368478679,0,0,0.00694825627239101,0,0,0.0789579387324944,0,0,0,0,0,0,0.178306779393643,0.116195111093148,0.220292032396612,0,0,-0.108078561701429,0,0.170842174095711,0,0,-0.0497526059139267,0,0.0666064946055918,0,0,0,0,0,0,0,-0.175224780356115,0,0,0,0,0,-0.0555919927206072,0,0,0,0,0,0,0,0,0,-0.171822188006624
X601166.CH.EQUITY,0,0.346908902755468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220631908718813,0,0,0,0,0,0,0,0,0,0.0526697996351246,0,0,0.0368957350299077,0,0,0,0,0,0,0,0,0,0,0,0.223827439633704,0.168706895908182,-1.38777878078145e-17,0,0,0,0,0.0820508268797103,0.1474987159995
X601169.CH.EQUITY,0,0.0533725399789558,0.166629915233184,0.482027920579692,0,0,0,0,0,0,0,0,0.27112034440746,-0.0888291973603743,0.0264567957561816,0,0,0,0,0,0,0,0,0.124003920657824,0,0,-0.0520102501492387,0,0,0,0,0,0.0728798020213919,0,-0.0223138117625405,0,0,0,0,0.0869639440180155,0,0,0,0,0,0,0,0.127183286016351,0,0
