,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601688.CH.EQUITY,-0.0216295253314881,0,0,0,0,0,0.000835218843836072,0,0,0,0,0,0.0435709918620562,0,0,0,-0.0728166655742936,0,0,0,0,0,0,0,0,0,0,0.428774809556439,0,0,0.117993627204864,0.258320387131393,0,0,0.129071558673502,0,0,0,0,0,0,0,0,0,0,0.0975999969292035,1.0842021724855e-19,0,0,0,0,0
X601788.CH.EQUITY,0,0.0731422184283045,0,0,0,0,0,0,0,0.051204837100347,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306931431110047,0,0,0.116696788137621,0.181829880411641,0.0414974860205995,0.150856106690485,0,0,0,0,0,0,0,0,0,0,0,0,0.0084021269887189,0,0,0,0,0,0,0.00184257453833952,0.00711482346842099,-0.0322022197667247
X601881.CH.EQUITY,0,0,0,0,0,-0.00302801629488973,0,0,0.068048684442255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229921365500853,0.169662365973963,0,0,0.17254620798848,0,0.172379792336836,0.239628840614861,0.0378594250864077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00199059761032139
X600918.CH.Equity,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.073824435657889,0.0599537061096993,0,-0.261955476418209,0,0,0,0,0,0,0,-0.00201282683104855,0,0,0,0,0,0,0.101168313407148,-0.0411890774763917,0,0,0.00706109787090938,0,0,0,0,0,0,0,0,0,0.0838871944945469,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.0949543532602426,0,-0.152593633394805,0,0,-0.0279795887159826,0,0,0,0,0,0,0,0,0.0347996689819689,0,0,0,0.033964904722668,0,0,0,0,0,0,0,0,0,0,0,0,-0.0826023998561748,0,0,0,0,0,0.24419859304244,0,0,0,0,0.294182640028426,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.35655650801566,0,0,0,0,0,0,0,0,0,0.025303191696995,0,0,0,0,0,0,0,0,0,-0.0381837410818346,0,0,0,0,0,0,0,0,0,0,0,0,0.0420072962848204,0,0,0,0,0.357693219914274,0.204828513971447,0,1.73472347597681e-18,0,0,0.0538391948416959,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00871818528401637,0,0,0,0,0,0,0,0,0.223903246372388,0,0,0,0,0,0,0,0.116184423514309,0,0,0,0,0,0,0,0.08863233823832,0,0.185405401547184,-0.0994377300419154,0,0,0,-3.46944695195361e-18,0,0.00324627609831623,0.0812169854217033,0,0,0,0,0.176298582507559,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.361141034789737,0,0,0,0,0,0,0,0,0.0265244324520738,0,0,0,0,0,0.132574922368712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977003263378177,0,0.0163983225336224,0,0.172648664889308,0,0.0314704959159717,0,1.38777878078145e-17,0,0,0,0,0
X601601.CH.EQUITY,0.101398466142216,0,0,0,0,0,0,0,0,-0.221694107083751,0,0,0,0,0,0,0,0,0,0,0.175365639363175,0,0,0,0,0.00238661445081648,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138852241442815,0.0771018900217123,0.675117785777873,0,0,0,0,0,0,0.297131155662439,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.449414981585545,-0.0529787699436598,0,0,0,0,0,0,0,0.0497237664870816,0,-0.0964144738167115,0,-0.0733967271038539,0.0139001789688698,0.221998629314763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148103978198803,0,0,0,0,0.0943732422510088,-0.142087111100131,0.0142662079219408,0,0,0.0412645875757668,0,0.0629943587853594,0,0,0,0,1.73472347597681e-18
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.179926385702721,0,0,0,0,0,0,0,0.0821537378895564,0.268883525754185,0,0,0.143591824037638,0,0,0,0,0,0,0,0.13755853238608,0,0,0,0,0,0,0,0,0,0.12739409007202,0,0,0,0,0,0.0619822116653772,0,0.065891329193188,0,0
X2881.TT.EQUITY,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0603680801258093,0,0.0528602071048949,0.185544035978254,0,0,0,0,0,0,0,0,0,0,-0.0663530250684559,0,0,0.0563665019665827,-0.0841960040179924,0,0,-0.0325401184003439,-0.0781110559853707,0,0,0,0,0.673197382409734,0,0.105857886734121,-0.0329479740739834
X2882.TT.EQUITY,0,-0.173715126781393,0,0,0,0,-0.0211013751327623,0,0,0,0,0,0,0,0.0371945762674974,0,0,0,0,0.07796540482592,0,0,0,0,0.272900209456443,0.139810231409727,0,0,-0.0797664356453177,0,0,0,0,0,0,0,0,0.0398096439341259,0,0,0,0,0,0,0.256346626647901,0,0,0.479084469769318,0,-0.2140044177663,0,0
X267.HK.EQUITY,0,0,0,0,0.155898553109055,0,0,-0.0839182250254212,0,0,0,0,0,0.0247848444880079,0,0,0,-0.153736065502962,0,0,-3.46944695195361e-18,0.225548374304776,0.107053834433747,0,0,0,0,0,0,0,0,0,0,0,0.264086051077473,0.0541037985842486,0,0,0,0.0694818403339405,0.0262125390861769,0,0,0,0.215079966642308,0,0,0,0,0,0,0
MKRturn,0.398100375095109,0,-0.276874865792298,0,0,0,0,0,0,0.100007267337841,0,-0.613904737687038,0.268571975516011,0,0,-0.264779790357105,0,0.418819116387127,0,0,0,0,0,0,0,0,0,0,0.293165434526948,-0.0829948457215813,0,0,0,0,0.0935113780912241,-0.278804264748238,0,0.0610198978920484,0,-0.0620495615495618,0,0,0,0,0,0,0.166602692876175,0.175573638862717,0.0881442245254468,0.0152778343754839,0,0
TED,-0.18660857213496,-0.0691431549759858,-0.150906858718005,0,0.224166155583534,0,0,0,0,0,0,0,0,0,0,0,-0.123430813544689,0,-0.057683838400366,0.0982107235329538,0,0,0.0804900891119044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.642294392592236,0,0,0,0,0,0,0,0,0,-0.144049573390856,0,0
