,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.374892652999643,0.0101665778060325,0.0297426764872612,0,0,0,0,0,0,0.218224955570361,0,0,0,0,0,0,0,0,0,0,0.111180545270481,0,0,0.0819676106680381,0,0,0,0,0.0197410313984776,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259102674968101,0,0,0,0.00226315779007675,0,0,0.0434558898168572,-0.140044486447863
X601939.CH.EQUITY,0.407581758857592,0,0,0.159698168906029,0,0,0,0,-0.0361193395859674,0,0.1497728874344,0,0,0,-0.0661408527242857,0,0,0,0,0,0,0,0,0,0.185520638067775,0,0,0,0,0,0,0,0,0,0,0,-0.0106971915587975,0,0,0,0,0,0,0,0,0,0,0,0.101626446032011,0,0.00750895306333568
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0
X601288.CH.EQUITY,0.176638615330933,0,0,0,0.36578301776827,0,0,0,0,0,0.0401043591449444,0,0,0.0943697282614818,0,0,0,0,0,0.0652314457961732,0,0,0,0,0.0958115673581891,0,0,0,0,0,0,0,0,0,0.146848081926413,0,0,0,0,0,0,0,0.011381973300765,0,0,0,0,0,-3.46944695195361e-18,0,0
X601988.CH.EQUITY,0,0,0,0.48420585493987,0,0,0,0,0,0.259125487856009,0,0,0,0,0,0.0705094091527345,0.0678493894320284,0,0,0,0.064927277211178,0,0,0,0,0,0.141122759806467,0,0,0,0,0,0,0,0,0,-0.616732481650255,0,0,0,0,0,0,0.0675293285915519,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.077202559855549,0,0,0,0,0,0,0.000893061339923592,0,0,0.190931569706466,0,0,0,0,-5.42101086242752e-20,0,0,1.73472347597681e-18,0,0.273539113278432,0,0,0,0,0,0,0,0,0,0.282861843258761,0,0,0,0,0,0,0,0,0.0648086474378476,0.0539385253406825,0,0,0,0,0.0243655089810882,0.0891274934496442,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109232087621171,0,-0.299090608311516,0,0,0,0,0,0,-0.447390631118793,0.0741539523391159,0.746999753035136,-0.0100760012904662,0.649866858596369,0,0,0.0181630342191242,0,0,0,-0.151635304642102,0,0,0.37626664621752,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,-0.0669533417741848,0,0,0,0,-0.197688842931887,0,0,0,0,0.132808174776896,0,0,0,0.304917429148682,0,0,0,0,0,0,0,0,0.0147616788054057,0.00857287458660067,0,0,0.103655424027568,0,0,0,0,0,0.266350253558406,0,0,0,0,0,0,0.161862408939255,0,0,-0.0526773421266083
X601658.CH.Equity,0,0,0,0,0.129338691135785,0,0,0,0,0,0,0,0,0.161797245954274,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.191711712103971,0,0.090997325569935,0,0,0,0,0,0,0,0,0.160139211992432,0,0,0,0,0,0,0,0,0,0,0.415817074779356,0,0.0939768768415855
