,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.203185926158532,0,0.235769986594649,0,0,0,0,0.0561592542119962,0.0653575471213132,0,0,0,0,0.037660669508733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802704292278223,0,0,0,0,0.0817843772492763,0,0,0,0,0,0.117459057125209,0,0,0,0,0.0264010598288321,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.110547552552649,0,0,0.161046638338762,0,0,0,0.202467927654715,0,0,0,0.155164340190058,0,0,0,0,-0.122598554659438,0,0,0,0,-0.0694136994580194,0,0,0,-0.0383353105125706,6.93889390390723e-18,0,0,0,0.127056926025271,0,0,0,0,-0.213777390561275,0.27501880103901,0.196906769492849,0.0775087391328977,0,0,0,0,0.0159059758784824,0.140233249169014,0
X601939.CH.EQUITY,0.29482170098145,0,0,0,0,0,0,0,0,0,0.0823862196949031,0,0.187069078394887,0,0,0,0,0,0,0,0,0,0,0,0.0724270279831873,0.0425158521336226,0,0,0,0,0,0,0.171055383713472,0,0,0,0,0,0,0,0.0943801743474984,0,0,0,0,0.0774746808152122,0,0,0,0,0
X601288.CH.EQUITY,0.398358721796358,0,0,0,0,0.267698385307402,0,0,0,-0.0262851424739203,0,0,0,0,0.0528606954327443,0,0,0,0,0,0.0199223465544815,0,0,0,0,0,-0.0193828426258304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204434335437711,0,0,0,0,0,0,0,0.00785436303369408,0.0935468587878778,0
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0487918371295603,0,0,0,0,0,0,0,0,0,0.367400193945124,0,0,0.127027049074686,0,0,0,0,-0.0539765258570067,0,0,0,0,0.589246089412366,0,0,0,0,0,0,0,0,0.0493023666646652,0,0,0,0,0,0,0,-0.171561896764917,0,0,-0.0321746586431342
X601988.CH.EQUITY,0.153254767318645,0.148450818384094,0.258293513848585,0,0.023701208885619,0,0,0,0.0261283599034931,0,0,0,0,-0.112916319855778,0,0,0,0.0611729062672323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158410154214603,0.0269838920226072,0,0.0231972940957905,0,0,0,0,0,0.175666170309824,0,0,0,0,0,0,0.0445255693058148,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.18896569928881,0,0,0,0.0205942034974229,0,0.0809486262653111,0,0,0,0,0.546213159076576,0,0,0,0,0,0,0,0,0.0524431665469634,0,0,0,0,0,0,0,0.0642778508958072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0898835311082554,0,0,0.39100378872281,0,0,0.124612250056397,0,0,0.0735055720291719,0,0,0,0,0,0,-0.0324055527794405,0.379518016084023,0,0,0,0,0,0,0.0455024798011779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.203472179904044,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.0618821313614493,0,0,0.0546442032425919,0,0,0.174208081096331,0,0,0,0,0.195945179290295,0.0349133696246446,0,0,0,0,0,0.0553577517479241,0,0,0.0450158176130596,0,0,0,0,0,0,0,0,0,0,0.091804551054363,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0312546165235833,0.0928653320785984,0,0,0,0,0,0.225760680663459,-0.20546401028044,0,0,0,0,0,0,0,0,0.183945731601918,0,0,0,0,0,0,0.146313448239192,0,0,0,0,0,0,0,0,0,0,-1.06149966521492,0,0,1.4421745504282,-0.316500922826005,0,0,0,0,0
