,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.337109033803755,0,0.0408741490141691,0,0,0.202495111330468,0,0,0,0.039782362483607,0,0,0,0,0,-0.00147766852583119,0,0,0,0,0,-0.0215915994504852,0,0.26033335438195,0,0,0,0,0,0,0,0,0,0,0.0556810899872533,0.125417425945155,0,0,0,0,0,0,0,0,0,0,-0.0404917325431935,0,0
X601318.CH.EQUITY,0,0,0.231345398879051,0,0,0,0,0,0.0624531070079818,0,0.0106712944448419,0,0.0546328163574596,0,0.171742946852459,0,0,0,0,0,0,0.0817448177601496,0,0,0,0,0,0,0.24124028169399,0,0,0,0,0,0.0374549126188424,0,0,0,0,0,0,0,0,0,0.0976107829324835,0,0,0.0281542023087206,0,0,0
X601939.CH.EQUITY,0.384736933078539,0.0387597577468887,0,0,0,0,0,0.365654898227999,0.206464737141682,0,0,0,0,0,0,0,0.0602888563118607,0,0,-0.010179733989899,0,0,0,0,0,0,0,0,0.295967968712247,0,-0.0509983531657223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0871008099734892
X600036.CH.EQUITY,0,0,0,0,0,0.172045051103004,0,0,0.0635969326843661,-0.108017064777647,0,-0.0945327551696243,0.149634715728207,0,0,0.145116692176477,0,0,0.17543006226363,0,0,0,0,0,0.416491692516228,0,0,0,0.0401440325580757,0,0,0,0,0,0,0,0,0,0,-0.0716202935906475,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0339782449570285,0,0,0,0,0.517537630882537,0,-0.0500809817522238,0,0.0105277715799263,0,0,0,0,0,0,0.061623294980848,0,0,0.0251574836419292,0,0.0729848867957859,0,0.0921932859757729,0,0,0.112247760125393,0,0,0,0,0,0,0,0.0168073468501075,0,0,0,0,0,0,0,0,0,0,0.021411010271613,0.0379115190486736,0.0568308779135889,0
X1299.HK.EQUITY,0,0,-0.0336003915988096,0,0,0,0,0,0,0.148775424177509,0,-0.0545189234052813,-0.0739606418763037,0,0,-0.0381291814565984,0,0,0,0,0,0,0,0.157250014727473,0,0,0,0,0,0,0,0,0,0,0,0,0.0872603936664695,0.0572240899306569,0,0,0.181510615833733,0.240455565823389,0,0.0276841530043062,0,0,0,0,0.202282020310114,0,0
X601628.CH.EQUITY,0.0548752071327962,0,0,-0.069715485756623,0,0,0,0,0,0,0,0,0,0,0,-0.183571170319354,0,0,0,0.293575860511053,0,-0.0141838876090734,-0.0512744438108707,0,0.0587360274404694,0,0,0,0,0,0,0,0,0,0,0.60210289058589,0,0.0363420427061076,0,0,0,0,0,0,0,0,0,0,0,0.0735546139138347,-0.0859228888829603
X601988.CH.EQUITY,0,0,0.0749550789049717,0,0.440731105435825,0,0,0,-0.092483854679108,0,0,-1.73472347597681e-18,0,0,0,0,0.279597398918718,0,0,0,0,0,0.0456218870834492,0,0,0.0832767368667648,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00190023747265399,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,3.46944695195361e-18,0.0754710603669197,0,0,0,0,0,0,-0.052971508212765,0.159746048469205,0,0,0,0,0,0,0,0,-0.122614871539876,0,0,0,0.260737008339912,0,0,0.0920256220906378,0,0,0.0333012013862465,0,0,0,0,0,-0.0480652841985039,0.175314944020163,0,0,0.226753081049525,0,0.267874262234211,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.297187725537425,0,0.264981767900677,-0.033228533861562,0,0,0,0,0,0,0,0,0,0,0.277802465736215,0,0.317391082218411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841953030173804,0,0.109353992472055,0,0,0,0,0,0,0.0397826389537959,0,0,0,0,0
