,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X388.HK.EQUITY,0,0,0.188879902098891,0.0837657425942672,0,-0.0210435330831734,0,0.26356349392952,0.0137762072145685,0,0,0,0,0.0346750612529901,-0.028434282334076,0,0,0.0837674609627137,0,0,0,0,0.0510569332239766,0,0,0,0,0.201884332677074,0,-0.0115947228752763,0,0,0.0505540272767668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650411128080384,0.0116162921935834
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793080051706896,0.0368245809091035,0,-0.0724398371767256,0,0,0,0,0,0,0,0.115328696667278,0,0,0,0,0.0416095847612431,0,0,0,0,-0.0962069590318117,0.28619929098004,0,0,0,0,0,0.350070832422024,-0.116801195143524,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0240350261384538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23424865741619,0,0,0,0,0,0,0.715928428793103,0,0,0,0,0,0,-0.0204978209660407,0.167571563571114,0,0,0,0,0,-0.107078703273946,0,0,0,0,0,0,0,0,-0.0138803649629639,0.0948205067572003,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.082728599607177,0,0,0,0,-0.0393178511276754,0,0,0,0,0,0.428330933882367,0,0,0,0,0,0,0.0392078839528218,-0.130120421819207,0,0,0,0.0349129421041495,-0.00862207665891286,0,0,0,0,0.166771978983234,0,0,0,0.111457626089177,0,0,0,0,0.0150249068776502
X267.HK.EQUITY,0.239986346206736,0,0,0,0,0,0,0,0.0207095204489343,0,0,0,0,0,0.040904999576622,0.0561528906803603,0,0.0619456365739251,0,0,0.560476671195271,0,0,0,0,0,0,0.264499981081974,0.0283549463309755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058833919073198
X600016.CH.EQUITY,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.0509617986670234,0,0.313462839181673,0.185260154737175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192876482216579,0,0,0,0,0.0390951000304052,0,0,0,0,0,0,0,0.195325419889784,0,0.0838695582854818,0,0,0
X600030.CH.EQUITY,0,0.139819972426782,0,-0.0818972644931754,0,0,0,0,0,0,0,0,0,0.0253003998336597,0,0,1.73472347597681e-18,0,0,0,0,0.0348629059734435,0,0,0,0,0,0,0,0,0,0,0,0.3189318635458,0,0,0,0.434454735835108,0,0,0.0836996474382248,0.0799149856067345,0,0,0.00615157344904782,0,0,0.0288736292197704,0.0516826188158874,0,0
X2388.HK.EQUITY,0,0,0,0,0.207740078668928,0,0,0.212414778547342,0,0,0,0,0,0,0,0,0.0207465702860801,0,0,0,0.209510083201992,0.0810485682225956,0,0,0,0,0,0,0.00142042366553511,0,0,0.191675789305565,0,0,-0.137660302202441,0,0.0602860058450885,0,0,0,0.090938378448163,0,0,0,0,0,0,0.111432918435388,0,0.0871743801928646,0
X1109.HK.EQUITY,-0.13702071855251,0,0,0,0,0,0.00949828228606631,0,0,-0.188505152323236,0.113455257504778,0,0,0,0.107836194925408,0,0,0.0560553245503769,0,0,0,0,0,0,0,0,0,0.557796907441981,0,0,0,0,0.198565174382606,-0.220695831861104,0,0,0,0,0,0,0,-0.144435277684816,0,0,0,0,0,0.0231546996529258,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.117362767144177,0.0515292733006143,0,0,0,0,0,0,0,0.25461491959741,0.0126471567249404,0,0,0,0,0.0267556467048,0,0,0,0.163110174306263,0,0,0,0,0,0.0385330833589514,0.0469838266251077,0,0,0,0,0,0,0,0,0.0469862846668696,0,0,0,0,0,0,0,-0.161785830017273
