,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X601155.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.313534920594566,0.148073003342213,0,0.314751958919191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110504779200642,0,0,0,0.0677638293384606,0.00411702401327014,0,0,0.0540908420763915,0.0421675994981677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0804416050171856,0,0,0,0,0.149972599672323,0,0,0.0703240712809137,0,0.275111042773995,0,0.123978523212057,0.118992896733238,0,0,0.182618545836296,0,0,0.0505467030968198,0,0,0,0,0,0,0,0,0.0495815147202998,0,0,0,0,0,0.0596086976559321,0,0,0,0,-0.0234198157009289,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.164095897325799,0,0,0,0,0,0.119690906186157,0,0,0,0.0893656012874067,0,0,0,0,0,0,0,0,0.0742999377893375,0.148573266639304,0,0.044785481476845,0.00532660698230341,0,0,0,0,0,0,0,0,-0.138474379626614,0,0.0408225392378331,0,0,0,-0.0839899156851028,0,0,0,0,0.290877857632193,0,-0.062761729714109
X601939.CH.EQUITY,0.65973554425706,0.018382275254862,0,0,0,0,0,0,0.203350688703314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911096770817067,0,-0.0546561875457455,0,0,0,0,0,0,0.14361786088667,0.0319032334040986,0,0,0,0,0,0,0,0,0,0,0.127466569997273,0,0
X601288.CH.EQUITY,0,0,0,0.102523140622231,0,0,0.454765374004061,0,0,0,0.0863527087677729,0,0,0,0.00370061959539982,0,0,0.0916256170541186,0,0,0,0.0853323558383351,0,0,0.134889447366514,0,0,0,0,0,0,0,0.135259788534628,0,0,0,-0.0623403330518767,0,0,0,0,0,0.0673170985237963,0,0.0285270146796206,0,0,0,0,-0.010558206145922,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.103460315538413,0.269290983411184,0,0,0,0,0.144248043896463,0,0,0,0,-0.161204753284243,0.244525439724949,0,0,0,0,0,0.0538082805558036,0,-0.016444204633151,0,0,0,0.0630479644342548,0,0,0,0,0,0,0.170896885671322,0,0,0,0,0,0,0,0.155715239086647,0,0,-0.0173413774018341
X601988.CH.EQUITY,0.0299122321889157,0,0,0,0.537634989725311,0,0,-3.46944695195361e-18,0,0,0,-0.117563749430654,0,0,0,0,0,0,0.247476773217496,0,0,0,0,0,0.000548200664099586,0,0,0,0,0,0,0,-0.163945239245583,0,0,0.0302651867515418,0,0,0,0.0505009621038079,0,0,0,0,0,0.0498686883948064,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.165775005534439,0,0,0,0,0,0,0,0,0.215126073281784,0,0,0.143686518090151,0,0,0,0,0,0,0,-0.0229402207039501,0,-0.0162172578276985,-0.172214540286834,0,0.110196142722503,-1.73472347597681e-18,0,0,0.347323070902104,0,0,0,0,0,0,0,0,0.111567476583327,0,0,0
X5.HK.EQUITY,0,0.222017646329646,0,0.127527684270767,0,0,0,0,0,-0.0587304422809915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257918780604613,0,0,0.0963468661224386,0,0,0,0,0,0,0,0,0,0,0.167222657950211,0,0,0,0,0,0,0.142046721778875,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971747484289193,0,0,0.318998348385079,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00318044819229159,0,-0.204579975088892,-0.150443915619118,0,0,-0.150321269842914,0,0,0,0,0,0,0.137554766796812,0.18093334873132,0,0.051810577646311,0,0,0,-0.48084134620393
