,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.11487600511697,0,0.400629181908738,0,0,0.016563251412498,0,0.219326162543174,0.0119299891678766,0,0.143879310906768,6.93889390390723e-18,0,0,0,0,0.0748114231140437,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.064096072562769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.476161807718152,0,0,0,0.0664965997993373,0,0,-0.116187929570535,0,0.0431060809568924,0,0,0.392946143536349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309301284703592,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637287022913031,0
X601318.CH.EQUITY,0,0,0,0,0.0324388065721539,0,0,0,0,0,0,0.371883879549605,0,0,0,0,0,0,0,0,0,0.0384685223737831,0,0,0,0,0.000549811522243127,0,0,0,0,0,0,0,0.062347392314614,0,0,0,0.0538207930958597,0.153518852648204,0,0,0,0,0,0.128541084738964,0.0542187151152333,0,0,0,0
X601288.CH.EQUITY,0.412752844322149,0,0,0,0.399547971052664,0,0,0,0,0,0.0656905301285671,0,0,0,0,0.0690396112138251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336983765290776,0,0,-0.0149541937741478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0303072929938591,0,0.341798367585833,0,0,0,0,0,0,0.195097955275267,0.0806849727769654,0,0.105310242059667,0,0,0,0.16865114910021,0,0,0,0,0,0,-0.0290934594523768,0,0,0.0388885463146379,0,0,0,0,0,0,1.73472347597681e-18,-0.0117950929380141,0,0,0,0,0,0.0715811560248282,0,0,0,0,0,0,0.0329882918857793,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.22864931462949,0,0,0,4.33680868994202e-19,0,0.105077220507972,0,0,0,0,0.249866467438562,0,0,0,0,-0.082980960319805,0.221152423053753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285051261419334,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.0969411130829052
X600036.CH.EQUITY,0,0,0.105100268158919,0,0,0.0708587367053235,0,0,0,0.0965769136393348,0,0.221155485660828,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.027805832164243,0,0,0,0,0.119632639532079,0,0,0,0,0,0,0,0.014395627229757,0.0323882990236161,0,0.0370476798585607,0,0,0.040652940019251,0,0,0,0,0.0744530283149137,0,0,0.257301171884704,0
X1299.HK.EQUITY,0.0521947885610198,0,0,0,0,0,0.0563913400775815,0,0.0128444423676617,0,0,0,0,0,0.24227949665585,0.178702766401951,0,0,0,0,0.173612657457533,0,0.0759490601293649,0,0,0.127569030041234,0,0,0,0,0,0,0,0,0.0640335479719074,0,0,0,0,0,0.0429337694680377,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0461460706539023,0,0,0,0,0,0.172117345152682,0,0,0,0.190170352623558,0,0.308903595425883,0,0,0,0,0.0636292937473653,0,0,0,0,0,0,0.0411332875973266,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0380089305007249
X601658.CH.Equity,0,0,0,0.225818500650069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342464861437703,0.61960083155397,0,0,0,0,0,0,0,0,0,0,0,-0.0185321254985358,0,0,0,0,0,0.215819031532635,0,-0.562130782154152,0,0
