,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.105622303890596,0.479485546339717,0,0,0,0,0,0,0,0.135512847260537,0,0.170745594799153,0,-0.011457728104178,0,0.0658870735770851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332241774872965,0,0,0,0,0,-0.0154365069917331,4.33680868994202e-19,0.0350499106995312,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.074415540554349,0.257721103501685,0,0,0,0,0,0,0.0360219831644353,0.342690788350472,0,0.090030129452451,0.0765375551133696,0,0,0,0,0.0324910668417891,0.0253653637048189,0,0,0,-0.0290891237566285,0,0,0,0,0,0,0,0,0.0789725894042679,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X601939.CH.EQUITY,0.180531292821672,0,0,0.463496056383376,0.0373724730905218,0.091368376184523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173227142348093,0,-0.0243646893316087,0,0,0.0102504128537467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242570061042272,0,0,0.0207051126409192,0.0226689535663267,0
X601288.CH.EQUITY,0,0,0.179082401494136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192931595331851,0,0,0.222075688475712,0,-0.0121416539659508,0,0,0,0,0,0,0,0,0,0,0.0129151061510665,0,0.220607479682145,0,0,0,0,0,0,0,0,-0.0239209050407822
X5.HK.EQUITY,0,0,0,0,0,0.241034199218883,0,0.188164508634161,0,0,0,0.315624148835626,0,0,0,0,0,0,0.183935451733427,-0.192610864840783,0,0,0,0,0,0.0816855198424172,0,0,-0.0591232514852838,0,0,0,0,0.190483685212877,0,0,0,0,0,0,0,0,0,0,0,0,0.184059405535309,-0.0241368464913522,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.148042974379059,0,0,0.121742101497308,0.191534080526868,0.119070846516556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408943012048727,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.150266920323564,0,0,0.141187190765026,0,-0.0254214094751724,0,0,0.0767540777170518,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214284679925968,0,0,0,0,0.0454714678994644,-0.0320854307070818,0,0,0,0,0,0.764368242916696,0,0,0,0,0,0.166504885994731,0,0,0,0,0,0,0,0,0,0,0,0.110400850200094,0.0825885689463759,-0.0616188466502322,0,0.0424785581817854,-0.0167010749634638,0,0,0.0514622749355141,-0.012974697146727
X1299.HK.EQUITY,0,0,0,0,0.219872068465199,0,0,0,0,0,0,0,0.0672877172827827,0,0,0,0,0.0545062314009508,0,0,0,0,0,0,0,0,0.0345037928018151,0,0.135940007881592,0,0,0.230725211917787,0,0.182519765689563,0,0,0,0,0,0,0,0,0,-0.0156316097665977,0,0.0684446535730314,0,0,0,0,0,0.114059783695213
X601628.CH.EQUITY,0,0.132005871297065,0,0.0610437574303449,0,0,0,0,0,0,0,0,0,0,0,0,0.114798958490012,0,0,0,0,0,0,0,0.140403931436201,0,0,0,0,0,0,0,0,0,0,0,0.332008999052387,0.046523996556908,0,0,0.0884694027455358,0,0.0550123745498644,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.243221242981258,0,0,0,0,0,0.0356862421725494,0,0,0,0,0.342215108548086,0,0,0,0,0,0,0,0,0,0,0.3381035254201,0,0,0,0,0,0,0,-0.00713038077499578,0,0.0259721651792585,0,-0.0117103774339208,8.67361737988404e-19,0,0,0,0,3.46944695195361e-18,-0.00207233709530679,0.103166376049633,0,0,0,0.1122453400012,0,0,0,0,0
X601166.CH.EQUITY,0.132747072412482,0,0.123734313425547,0,0,0,0.091793418801567,0,0,0,0,0.367525145062758,0,0,0,0.0752011222265463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249207350780089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386509326617918,0,0
X600000.CH.EQUITY,0,0,0,0,0.0752992906584464,0,0.0857300346802097,0,0,0,0.314421295185316,0,0.0379802513915028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360535411272322,0,0,0,0,0,0,0,0,0,0.159401986188195,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0997109493933847,0.147349489952658,0,-0.114382071334656,0,0,0,0,0,0,0,0,0.0754948597064907,0,0.0821244883220605,0,0.104887121443757,0,0,0,0.230222603991283,0.192774124426105,0,-0.171236852953878,0,0.535885266914721,0,0,-0.115690324764446,0,0,0,0,0,0,0,0,0,0,0,0.236267448007939,0.145978707648668,0,0,0,0,0,0.00900300868815505
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.456914298324911,0,0,0,0.259844236052157,0,0,0,0,0,0,0,0,0.0644556729423342,0,0,0.267652257692808,0,0,0.297162565430315,0,0,0,0,0,0,0.0687853804074506,0.34626009591797,0,0,0.203825406409772,0,0,0,0,-0.285095164327269,0,0,0,0,0,0,0,0.228265880127222,-0.00731149108358037
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0830015396090956,0,0,-0.261230996346634,0,0,0,0,0,0,0,0,0,0.0250491927115948,0,0,0.333206140900014,0.284706430478569,0,0.17784252321697,0.328565007139455,0,0,0,0,0,0,0,0,0,0,0,0.381816287510421,-0.137098766738609,0,0,0,-0.013663953983561,0
X000002.CH.EQUITY,0,0.0251353478219566,0,0,0,0,0,0,0,0,0,-0.00505477864005781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152156138070812,-4.33680868994202e-19,0,0,0.622181301074963,0.0288431554114453,0,0,0,0.0924551251123858,0,0,0,0,-4.33680868994202e-19,0.0228734721798139,0,0,0.0142775411753201,0,0,0.0773052338826666,0,0
