,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.23577110641868,0,0,0.0873036992208851,0,0.241268458649109,0,0,0,0,0,0.128014842933316,0,0,0,0,0,0,0,0,0,0,0,0,0.038329300167826,0,0,0,0,0.0942260571743815,0,0,0,0,0,0.0226208909888857,0,0,0,0,0,0,0.107200316345966,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.143101584604425,0,0,0,0,0,0,0,0.176315010203305,0,0,0,0,0,0,0,0.347440720587851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124943349553711,0,0,0,0.0338356137680797,-8.67361737988404e-19,0,0,0,0,0,0.107726882193636,0,0,0,0,0,0.0698498658123623,0,0,0,0
X601939.CH.EQUITY,0.0607839632229431,0,0,0.268665406463843,0,0.0503205083284207,0,0,0,0,0,0,0,0.422958173083637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437551427215817,0,0.0660253586678547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.299794948362706,0,0.102314106447237,0,0,0.352287214288875,0,0,0,0,0,0,0,0,0.0250707825534912,0,0,0,0,0,0,0.00568522381840446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462111271705437,0,0,0,0.0596907716609654,0,0,0,0.106426828716278,0.00771693406528982,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045330520646141,0,0,0,0,0,0,0,0,0,0.0775727649376354,0.0443607936417599,0,0,0.686283948756906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.223756010684387,0,0.0103442047144757,0,0,0,0,0,0,0,0,0.195691234809711,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.168228326297379,0,0,0,0,0,0.0548515732264393,0,0,0,0,0,0,0,0,0.286692669681924,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.409744093959335,0,0,0,0,0.195852022605911,0,0,0,0,0,0,0,0,0,0,0,0.00232238899481239,0.0153258113010975,0,0.106723170762228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113980253401182,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378700286945152,0,0,0.170818473007704,0.0133296250244039,0.0714911986948825,0,0,0,0,0,0,0,0,0.272654819433109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0624074554711118,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0260098364694651,0,0,0,0.133755362692448,0,0,0,0,0.22964246922419,0.0886051403245477,0,0,0,0,0,0,0,0.112432857092074,0,0,0,0,0,0,0,0,0,0,0.17868611072162,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.11731299084904,0,0,0,0,0,0.357836556342289,0,0,-0.17035198084731,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,-0.116508166143172,0,0,0.0528146591765455,0,0,0,0,0,0,0,0,0,0.278794354545318,-0.722449021437128,0,0,-0.3015633460276,0.94829371983344,0.389573641548734,0,-0.234722910963639,-0.0499692748204814,0,0,-0.437310506613071
