,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.208938658746506,0.199836761834073,0.0300736102457235,0,0,0,0,0,0,0,0,0,0.115546648872576,0,0,-0.123999123568432,0,0,0,0,0,0,-0.279036047944814,0,0,0.89090188756809,0,0,-0.165591854713677,-0.0745206408030845,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.246188454198702,0,0,0,0,0,0,0.125844776137945,0.105252158620636,0,0,0,0,0,0,0.108185896947148,0.0393383626361083,0,0,0,0,0,0,0,0,0,0,0,0,0.115062116709967,0.0742507916253519,0,0.264562288768191,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.113756496738952,0
X601939.CH.EQUITY,0.32210997244222,0,0,0,0.151885217653122,0,0,0,0,0,0,0,0,0,0,0,0,0.0578960583728979,0,0,0,0,0,0,0,0,0,0,0,0.0249828636514452,0,0,0,-0.174848882442359,-0.162933379447548,0,0.162573462482506,0,0.475544669247417,0,0,0,3.46944695195361e-18,0,0,0.0685762273941889,0,0,0,0,0,-0.013201439431703
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.397401524968659,0.0456603744897796,0.596393670995104,0,0,0,0,0.461232688858481,-0.399663444923181,0.186855371142057,0,0,0,0,0,0,-0.168960928861948,2.77555756156289e-17,0,0,-0.0908317213444212,0,0,0,-0.542155940879147,0,0,0,0,0,0,0,0,0,0,0,0,0.389304156090338,0,0,0.137217973557387,0,0,0,0
X5.HK.EQUITY,-0.0375810725085214,-0.105115367884108,0,0,0,0.0634133335327099,0,0.0793388029129551,0,0.0324003620606846,0,0,0,0,0.04905991792257,0.17105283376112,0,0,0,0,0,0.790660750185943,0,-0.234795768796993,0,0.0542618591329638,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319454027035993,0,0.0907022685404427,0,0,0,0,0.139536594523123,0,0,0,0,-1.73472347597681e-18
X601988.CH.EQUITY,-0.408213382126965,0,0,0,0.469955404498467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845558470067027,0,0,0,-0.155923930154313,-0.0537655761506598,0,0,-0.12559106650518,0,0,-0.646816736810651,0,0,0,0,0,0,0,0,0,0.213431858466803,0,0,0,0,0,0.144970004947527,0,0,0,0,0,-0.077225191151803
X600036.CH.EQUITY,0,0.145243385815994,-0.082951436062469,0,0,0.019365785790841,0,0,0,0,0.311519487812182,0.393958137282792,0,0,0,0.0298048627233223,0,0,0,0,0,0,-0.0868507128913631,0.0999093133192449,0,0,0.0422759867616939,0,0,0,0,0.0511001326476641,0.0296725074287447,-0.1625668700279,0,0,0,0,0,0,0,0.186843914970707,0,0,0,0,0,0,0,0,0,-0.324311730530144
X1299.HK.EQUITY,0,0,0,0,0.225277619008597,0,0,0,0,0,0,-0.074680592712535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155181128158198,0,0,0.13343978398313,0,0,0,0.10334039957228,0,0,0,-0.0457181107607862,0,0,0.0387294642185846,0,-0.0668357419889774,0,0,0,0,0,0,0,0,-0.0091076414727522,0.0450398539694399
X601628.CH.EQUITY,0,0.0784986015298053,0,0,0,0,0,0,0,0.170856915789506,0,0,0,0.352105385446353,0,0,0,0,0.00140269431597591,0,0,-0.00847095430113636,0,0,0,0,0,0,0,0,-0.0606636938498044,0,0,0,0,0.105184986769808,0,0.161268257922277,0.0612024757770151,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0865853868905179,0
X601166.CH.EQUITY,0.0226145194824364,0,0,0.261932885928131,0.0122370532280364,0,0,0,-1.73472347597681e-18,0,0,0.221828352650607,-0.0219097598606211,0,0,0,0,0,0,0,0,0,0.294168062400219,0,0,0,0,0,0,0,0.0972103121405668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302079196035979
X601328.CH.EQUITY,0,0,0.0361923176930099,0.032557394056344,0,0,0.557239337845515,0,0,0,0,0,0,0,0,0,0,0,0,0.0321726402385367,0,0,0,0.240861811402116,0,0.211012918462374,0,0,0,-0.0179097776162805,0,0,0,0,-0.103017893004513,0,0,0,0,0,-0.0255960302789535,0,0.0933826559621193,0,0,-0.180893831125819,0,0,0,0,-0.1597532958856,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.337898466387633,0,0,0.0574412949680594,0.292917348848582,0,0,0,0,0,4.33680868994202e-19,-0.196054419530795,0,0,0,0,0.117388788109483,0,0,0.100052301839526,0,0,0.0929034967508419,0,0,0,0,0,0,0,0,-0.255758865611452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0656248780776515,0,0,0.418023003959473,0,0,0,0,0,0,0.201702251729005,-0.0674022732257946,0,0,0,-0.0868980476116113,0,0,0,0,0,0,0,0,0,0.293229858292851,0,0,0,0,0,0,0,0,0.0590128498897022,0,-0.0838795117134532,0,0,0,0,-0.0742166449697851
