,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.209376212708463,0,0.413214814291163,0,0,0,-0.011611689002992,0.158785901493284,0,3.46944695195361e-18,0.0734479722265325,0,0,0,0,0,0,0,0,0,0,-0.0799484147853448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616434618675537,0.00614736767917036,0,0.12121262939575,0,0
X601939.CH.EQUITY,0.354076451617279,0,0,0.286122788543399,0,0,-0.0952294606970396,0,0,0,0.00279029907896303,0,0.140314992317272,-0.0648169060702076,0,0,0,0,0,0,0,0,0,0,0,0.0316889024937033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201855840987028,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0167519824420949,0,0,0,0,0,0,0,0.0129363331689485,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386399595933052,0,0,0,0,0,0,0,0.10041342991591,0,0,0,0,0.248020962683729,0,0,0,0,0
X601288.CH.EQUITY,0.450000813366674,0,0,0,0.209327371138058,0,0,0,0,0,0,0,0.0159992321541196,0,0,0,0,0,0,0,0,0.170177277706033,0,0,0,0,0,0,0.0199301238598704,0,0,0,0.0264413510447957,0,0,0,0,0,0,0,0,0,0.064332992275886,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.098211068295169,0,0.381065022977901,0,0,0,0,0,0.282323050939482,0,0,0,0,0,0,0.196614904821662,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.015635271547129,0,0,0,0,0,0,0,0,0,0,0.0478011661801661,0,0,0,0,0,0,0,0,0,0,0.0283235980799616,-0.071965900426681
X600036.CH.EQUITY,0,0,0.0404005679184535,0,0,0,-8.67361737988404e-19,0,0,0,0,0.38203403837677,0,0,0.00562181537761222,0,0,0,0,0,0,0,0.0518341576556834,0.124085897490815,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0825536646844928,0,0,0,0,0,0,0.0544309857725077,-1.73472347597681e-18,0,0,0,0,0,0,0.27338898669259,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0882469345689348,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.142080707951229,0,0,0,0,0,0,0,0,0,0,0,0.0135815468539219,0.176945494493783,0,0,0.0313444920853948,0,0,0,0.188424140750085,0,0,0,0,0,0,0,0.0234706511606892,0,0.225270766476505,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.133702149994365,0,-0.167887503659053,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.0140356665807211,0,0,0,0,0,0,0,0,1.17607872177848,0,-0.784665991246999,0,0.492352688096333,0,0,0,0,0,0,0,0,0,0,0,0,0.461326839621757,0,0,0,0,0,0,0,0,0,0,0.101778499805181,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0987734200213161,6.93889390390723e-18,0,0,0,0,0,0.0866161843064668,0.197408957299479,0,0.0929483380978139,0,0,0,0.267099692594618,0,0,0.0504904970451792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548732922694019,0,0
X601658.CH.Equity,0,0,0,0.165436927244436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138370566369301,0,0,0,0.141141939355544,0,0,0,0.29485388366079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
