,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0343126927763606,0,0.621554163639179,0,0.0706269582242868,0,0,-0.0503386844718098,0,0,0,0,0,0,0,0,0.0857278917491284,0,0,0,0,0,0,0,0,0,0,0.0467150483767467,-0.0461558808111991,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135500440202904,0,0,0,0,0.163151840789755,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00551194214116846,0,0,-0.00875580660988146,0,0,0,0.18762710759868,0,0,0,0,0,0.491038607522549,0,0,0,0,0,-0.0375061439665568,0,0,0,0.0682738246564587,0,0,0,0,0.0772268790586268,0,0,0.067211047802565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129583322244468,-0.00138413170130378
X601939.CH.EQUITY,0,0,0,0,0.403874464607391,0,0.110679327759473,0,0,0,0.158561448412045,0,-0.0929775195446058,0,0,0,0,0,0,0,0.0249050234019211,0,0,0.533405505197475,0,0,0,0,0,-0.00860286225032066,0,0,0,0,0,0,0,0,0,-0.162143608686031,0,0,0,0,-0.0441962698117382,0,0,0,0,0,0,0,0.0525900489145999
X601628.CH.EQUITY,0,0,0,0,0,0.0681417659798289,0,0,0,0.0111425632383792,0,0,0,0,0,0,0,0.34145770702332,0,0,0,0.0752799441175895,0.195252435754573,0,0,0,0,0,0.0442372809165687,-0.0605478051043515,0,0,0.340259517819367,0,0.0317515657138801,0,0,0,0,0,0,0,0,0,0,0,0.0431462409334912,0,0,0,0,0,-0.108718873857962
X601288.CH.EQUITY,0.10800917352186,0,0,0,0,0,0.0615878235737898,-0.0118017098271425,0,0.0139374178048549,0,0,0,0.0340141184830179,0,0,0.259143419377751,0,0,0,0,0,0,0.394405443588951,0,0,0.0402443266586061,0,0,0,0,0,0,0.0290189824158866,0,0,0,0,0,0,0,0,0,-0.0195252797851387,0,0,0,0,0,0,0,-0.105582951338918,0
X600036.CH.EQUITY,0.00983961776025742,0.236976966875533,0,0,0.0836586106225881,0,0,0.128981288713865,0,0,0,0,0,0.277628674829859,0,0,0,0,0.118912283942273,0,0,0,0,0,0.257012518334206,0,0,0,0.0633993798016869,0.016337834356448,0,0,0,0,0,0,0,0.00125434153370932,0,0,0,0,0,0,0,0,0.024779067817288,0,0,-0.0238202858188623,0,0,0
X601988.CH.EQUITY,0.0615614216106843,0,0,0,0.255950877672223,0.339086872654752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862473519110161,0,0,0,0.0577433492368131,-0.038877698527708,0,0,0,0,6.93889390390723e-18,0.230097657284364,-0.032489584188583,0,0,0,0.0454298636779506,0,0,0,0,0.0885309750392971,0,-0.108277893095274,0,0,0,0,0,0,0,0,0.0240317030496905
X1299.HK.EQUITY,0,0,-0.261165135761059,0,-0.00190164858303599,0,0,0,0,0.319857075786386,0,0,0,0,0.114291483520916,0,0,0,0,0,0,0,0,0,0,0.124425208279236,0,0.290506660442305,0.0192705587642814,0,0,0,0,0,0,0,0,0.0740984218451251,0,0.0549937585418732,0,0,0.023458790717476,0,0.0974320271796769,0,0,0.116337207652796,0,0,0,-0.0675487025031702,-0.09223123213174
X5.HK.EQUITY,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-0.177949018313978,0,0,0,0,0,-0.0787448398773066,0,0,0,0,0.0977936641765607,0,0,0,0,0.0810989762811758,0,0.400853516761889,0.10247367936264,0,0,0,0,-0.037372092250219,0,0,0,0,0,0,0,0.165677375956158,0.267537921569445,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.0129730152085465,0,0,0,0,0,0,0,0,0,0,0,0.114993162596908,0,0,0,0,0,0,0,0,0,0,0,0.187744903974958,0,0,0,0,0.271122929573342,0,0,0,0,0,0,0.066823233403497,0.197012837051439,0,-0.224215497038252,0,0,0,0.0504719956929188,0,0.172829186422052,0,0,0,0.0326231028063045,0.0147801200906074,0
