,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.279472782641161,0,0.25748361217792,0,0,0,0,0.0595755485960714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890871347838533,0,0,0,0,0,0,0,0,0,0.00288700107680244,0,0,0,0.0835967448281297,0,0.0833243417049679,0,0,0,0,0,0
X601318.CH.EQUITY,0.118976962527232,0,0,0,0,0,0,0,0.182634392035483,0,0,0,0,0,0,0,0.165495754892695,0,0,0,0,0,0,0,0.0752187512438862,0,0,0,0,0,-0.0516990059304147,0.153122575675322,0,0,0.148600440771385,0,-8.67361737988404e-19,0,0,0,0.0457796114638469,0,0,0.027781981204331,0,0,0.0551800958899158,0,0.135259187629652,0,0,0,0
X601939.CH.EQUITY,0.219542974275558,0,0,0,0,0,0,0,0,0,0,0.0189475521897213,0.265528207079988,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0423623950665127,0,0.199795796975862,0,0,0,0,0,0,0,0,0.18210616119871,0,0,0,0.0410466608909184,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.326213872269436,0,0.0781624872392062,0,0,0.258950714945394,0,0,0,0,0,0,0,0,0.0387104955390423,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187732982977296,0,0,0,0,0,0,0.108935253153889,0.00428873545271631,0,0,-0.0201340786461351
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0646498964594659,0,0,0,0,0,0,0,0,0,0,0.368701863666837,0,0.153260291174577,0,0,0,0,0,0,0,0,0,0.588717226504035,0,0,0,0,0,0,0,0,0.0283992873033434,0,0,0,0,0,0,0,-0.179557404967292,0,0,0.026366348285451,0,0
X601988.CH.EQUITY,0.445086592399509,1.73472347597681e-18,0,0,0,0,0,0,0.0138225301073324,0,0,0,0,0,0,0,0,0,0.0701845380014545,0,0,0,0.0258425440680182,0,0,0,0,0,0,0,0,0,0.160838562072788,0,0.0235007974745671,0,0,0,0,0,0,0,0,0,0,0,0,0.241622250039781,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.188041708871304,0,0,0.00696522297010156,0,0,0.0797697720270055,0,0,0.527611067305851,0,0,0,0,0,0,0,0,0,0,0.0497359730690405,0,0,0,0,0,0,0.070060084141927,0,0,8.67361737988404e-19,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461637059726441
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0735950380639277,0,0,0,0.413771885003617,0,0,0,0.115532899167568,0,0.0512169748099548,0,0,0,0,0,0,-0.0336965502643324,0.397773217147451,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.219689198620069,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0249905647623287,0,0,0,0,0,0,0,-0.0797757086661397,0,0.0187149868605301,0,0.199302821172708,0,0,0,0,0,0.254502554187618,0,0,0,0,0,0.0567265696134867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821029848715807,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0649710022878923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125917315298966,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.313601854104038,0.465700616626463,0,0,0.708677408345231,0,0.187953999092424,0,-0.391770240210751,-0.132530984253353,0,0.155396123978155,-0.472991041796377
