,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.137897620392852,0,0.127517729589329,0.014189111543556,0,0,0,0,0,0,0,-0.0702878847131496,0,0,0,0,0,0,0,0,0,0.542051853173195,0,0.438145247668257,0,0.188666726968501,0,0,0,-0.100527279114639,0,0,0,0,-0.202760260097414,0,0,-0.0998903610523464,-0.0277971968616243,0,-0.733058324692578,0,0,0.143127563358771,0,0,0,0,-8.67361737988404e-19,0,0.0453407653679347
X601939.CH.EQUITY,0,0,0,0.408546327510379,0,0,0,0,0.0795676061896787,0,0,0,0,0.137592508576741,-0.0902340963429702,0,-0.0198407712472647,0,0,0,0,0,0,0,0,0.080290046947423,0,0,-0.15439280665232,0,0,0,0,0,0,0,0,0,0,0,0.091855636860394,0,0,0.00715917041334804,0,0,0.313821791942817,0,0.0656537644222974,0,-0.0311310889323022,0.133025363675652,0
X601318.CH.EQUITY,0,0,0,0,0.119152426682393,0.248616498450174,0,0,0,0,0,0,0,0,0,0,0,0.121810150922925,0,0,0,0.126345111530014,0,0,0,0,0.00460372462340809,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.297193442343072,0,0,0.121650315249654,0,0,0,0,0
X601288.CH.EQUITY,0,0.410566721356226,0,0,0.123833802391506,0,0,0,0,0,0,0.0452961099984404,0.249277498972397,0,0,0,0,0,0,0,0.140823149762732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165964403819175,0,0,0,0,0,0,0,-0.0718188259123488,0,0,0,-0.101587417482287,-0.0780576768722259,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.490598291131913,0,0,0,0,0,0.172926671533853,0,0,0,0,0,0.289624243034982,0,0,0.215391540906252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.496828163910933,0,0,0,0,0.166366590567533,0,0,0,0,0,0,0,0.332096930020073,0
X600036.CH.EQUITY,0,0.0414671947466397,0,0.0707090123295208,0,0,0.0070329766945411,0.0505639899595827,0,0,0,0,0,0,0,0,0,0,0.0204579329252433,0,0,0.175373293347488,0.0635699894872872,0,0,0,0,0,0,0,0,0,0.0599328934107109,0,0,0,0,0,0,0,0,0.138183332849029,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00880108835639784,0,0,0.123755630380367,0,0,0.170094217697279,0.00763517696743853,0,0,0,0,0,0.105247638706297,0,0,0,0.0158960473128503,0.085595243281547,0,0,0,0,0,0,0,0,0,0,0.132257484486302,0.334104404070378,0,0,0,0,0,0,0.050181469866519,0,0.1091405031347,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.35023074437622,0.0566638936311347,0,0,0,-0.114268504032648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761603524731046,-0.0259530999571172,0,0,0,0,0,0,0,0,0.0879008844819577,0,0,0,0,0,0.150283928108693,0.0794502213483799,0,0,0.0619063863788014,0,0,0,0,0,0,0.0193120278449883,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111061984397224,-0.152675140407452,0,0,0,0,-0.380341223136981,0,0.749515273685209,0.0557582618618991,0.519690807080837,0,0,0,0.0305549216917534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146565984571187,0.100772467427496,0,0,0,0
X601658.CH.Equity,0,0.0971364553992366,0,0.144224125545016,0,0,0,0,0,0,-0.0497197827395939,0,0,0,0,0,0,-0.124137984271915,0.129603525289664,0.288492251920051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852222673147628,0.289058576317302,0,-0.0225029204443325,0,-0.0230549094375744,0,0,0,0.0419319653609324,0,0,0,0,0
