,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.0600540645057557,0,0.437556792680247,0.119416478648872,0.0665863381470016,0,0,0,0,0,0,0,0,0,0,0.174496705032539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989888090740992,0,0,0,0,0.0285415487837024,0,0,0,0.0912287683782204,0,0,0.0372010105070814,0.0663991686611589,-0.155814927615534,0.0470807621899554
X601318.CH.EQUITY,0,0,0.0377180100034288,0.137348228026382,0,0,0,0,0.12697608215391,0,0,0.0546674387147112,0.0386426775413207,0,0,0.0249443966969375,1.73472347597681e-18,0.130870388423684,0,0.185616695456589,0,0,0.121956538414718,0,0,0,0,0,0.0203547940227123,0,0.0745134138678035,0,0,0,0,0,0.0060131860761826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113141766967492
X601939.CH.EQUITY,0,0,0,0,0.228632154433891,0,-0.0464091313252711,0,0,0,-0.0294393104521009,0.143895235744903,0,0.0637591444788632,0,0,0,0,0.178407113663588,0,0.0245156494536103,0,-0.144747765771843,0,0.450905375699408,0,0.151235853258108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.194009043742133,0,0,0,0,0.137157887815871,0.0921935422666757,0,0,0,0,0.192130666744351,0.0969470370194535,0,0,0,0,0,0,0,0,0,0,0,0.259590872052428,0,0,0,0.0608054780344217,0,0,0,0,0,0,0,0,0,0.0295138267134189,0.00512732000052659,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.180049610658238,0,0.0757225015473976,0,0,0.107150417055432,0,0.312196018795159,0,0,0,0.109276021691986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087411223351075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042875520103218,0,0,0,0,0.111907998140325,0,0,0,0.0859910638705599,-0.0873163532975145
X601628.CH.EQUITY,0,0,0,-0.052042036438942,0.0183113655845999,0,0,0,0,0,0.0672120503915122,0,0,-0.0842133143788325,0,0,0,0,0.0611547123756186,0,-0.0209941663666396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710408257646925,0,0,0,0,0,0,0.172478831037402,0,-0.0288619694221437,0,0,0.192410394669638,0,0,0,0,0.196007766518174
X1299.HK.EQUITY,0,0,-0.0792180158218563,0,0,0,0,-0.04534721359356,0,0,0.140585418483986,0,0,0,0,0,0,0,0,0,0,0,0.0500178897917161,0.108490231510325,0,0,0,-0.243817956909347,0,0,0,0.0189991784498024,0,0,0,0,-4.33680868994202e-19,0,0,0.265602834543669,0,0.236707562147364,0.116455376468166,0.225243558705249,0.0273040649594058,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0854418159378761,0,0,0.452592222659383,0.134711881370909,0,0,0,0,0,0,0,0,0,0,0,0,0.146246398507202,0,0,0,0,0,0.144086099143745,0.146917874120887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0321631771862079,0,0,0.0103181593933867,0.0188922945023871,0,0,0,0,0,0,0,0.207629218105322,0,0.0996190215294738,0,0.128281864129441,0,0,0,0,0.0296202503014861,0,0,0,0,0,0,0,0.0128280841088695,0,0.243961295230244,0,-0.0669427038936931,0,0,0.191382399434161,0,0,0,0,0.0830343012167326,0,0,0
X601166.CH.EQUITY,0,0,0.0502885213613459,0.0572497399555433,0,0.0276184414162474,0,0,0,0,0,0.01939032133291,0.106098738570083,0.0682129355652131,0,0,0,0,0,0,0,0,0,0,0,0.163806075989627,0,0.368978087985546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.00490704267583321,0,2.16840434497101e-19,0,0
X388.HK.EQUITY,0,0,0,-0.145754245398656,0,-0.151652128575576,0.214691459750184,0,0,0,0,0,0,0,0.34451717617356,0,0,0,0.00594042610671834,0,0,0,0.2489744286948,0.0144068543904066,0,0,0,0,0,0,0,0,0.0741970501357974,0,0,0,0,0,0,-0.0344700146904762,0.0616325135470032,0,0,0,0.0807075370977016,0,0,0,0,0,0.122877333976457,0
X601658.CH.Equity,0.254269946987266,0.086509515090762,0,0,0.0372669835930692,0,0,0,0,0.320171824108677,-0.0341126556733904,0,0,0.175556057318141,0,0.015402823696668,0,0,0,0,-0.00639017952473882,0,0,0,0,0,0,0.163790590823495,0.056769770437109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126421783247861,0,0,0,0,0
X000001.CH.EQUITY,0,0.0733177632939903,0,0.403118208725349,0,0,0,0,0,0,0.0659989778901861,0,0,0,0,0,0,0,0,0.0583457626638634,0,0,0.0278568529937894,0.257960017157705,0,0.405208695143674,0,0,0,0,-0.275377339473265,-0.101252104433059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131755973120971,0,0.0807681731456834,0.0022955804299911
