,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.564491754053461,0.0483238565947803,0.0304763411223738,0,0.0660789452280966,0,0,0,0,0,0,0.0467703636925304,0,0,0,0.017900595216189,0.0615016430380585,0,0,0,0,0,0.0680690152075772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0855347075783434,0,0,0.0574258745268191,0,0,0,0,0,0,0,0.215261535777989,0.0415579263656033,0,0,0,0,0,0,0,0.0938636830415162,0,0,0,0,0,0,0,0,0,0.120524843606442,0,0,0.297964707751152,0,0,0,0.031116826033159,0,0.0325703026662872,0,0,0,0,0
X601939.CH.EQUITY,0.337732256071421,0,0,0.14498318496958,0,0.1902288591068,0.000600406814558555,0,0,0.0490866238001392,0.0950149434886624,0,0,0,0,0,0,0,0,0,0,0,0,0.00145838527429892,0,0,0,0,0,0,0,0,0,0,0,0,0.0619881554312304,0,0,0,0.0116742199238253,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.229740180734271,0,0.0429975872896628,0,0,0.148387924123849,0,0,0,0.243328332916381,0,0,0,0,0,0,0,0.185220136670971,0,0,0,0,0,0,0,0.033068665863373,0,0,0.0915683652617829,0.0795283028040234,0,0,0,0,0,0,0,0,-0.0349623703049025,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.36947263801044,0,0,-0.133739258614759,0,0,-0.0403434351232746,0,0,0,0,0.739459125981017,-0.16623201386395,-0.0779107211289348,0,0,0,-0.0365820934857986,0.21133606608102,0,0.239406866822605,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0599599798277358,0,0,0,0,0,0,0,4.33680868994202e-19,-0.620807333823089,0,0,0,0.130979305451813,0
X601988.CH.EQUITY,0.0932387589726431,0,0.166994759871966,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0581071843414667,0,0,0,0.343565191222161,0.0784853769684202,0,0,0,0,0,0,0,0,0,0,0,0,0.0147710038643181,0,0,0,0,0,0.219542878394199,0,0,0,0,6.93889390390723e-18,0,0,0.0596856233260131,0
X600036.CH.EQUITY,0,0.140955389236578,0,0,0,0,0,0,0.0579931489838577,0,0.143568252169485,0.00566950473896423,0.219287054205186,0,0,0,-0.0548175299960778,0,0.0757533076027754,0,0,0,0,0,0.298847706063568,0,0,0,0,0.116343334195369,0,-1.38777878078145e-17,0,-3.46944695195361e-18,-0.0367405322537915,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417953573229352,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0762897991030125,0,0,-0.142023132401171,0,0,0,0.156414511205101,0,0,0,0,-0.0373664462918463,0,0,0,0,0.256926437321447,0.105741153504833,0.0504507136277679,0,0,0,0,0.0441808780180562,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284121277184382,0,0.0214535093773969,0.20393606233831,0,0,0,0.148048070964083
X601628.CH.EQUITY,0,0.0331095689654857,0,0,0,0,0,0,0,0,0,0.0101655586779877,0.199252282975474,0,0,0.02639727406542,0,0,0,-0.0132238296228672,0,0,0,0,0,0,0.177444877122504,0,0,0,0,0,0,0.246985922986736,0,0,0,0,-0.009486967058982,0,0,0.190901066294612,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.107249232716108,-8.67361737988404e-19,0,0,0,0.0368643895465713,0.00708299625702113,0,0,0,0,0.162003441197801,0,0,0,0,0,0,0.0114246393863804,0.00894661736837983,0.0428160130444058,0,0.0346190205001441,0,0,0.0524233623457972,0,0,0,0,0.100782775443051,0,0,0,0,0.0153649641356668,-0.0365300299974336,0,0.224682250058816,0.20963624222624,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.0974265262726228,0.0498222912661693,0,0,0.158892801633512,0.135205392759298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111677114634108,0,0,0.151887321882675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128292760489246,0,0,0,0,0.0547973110784888,0.0197210467695229
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.392288214424097,0,0,0,0,0,0,0.14522558437936,0,0.0947493914548674,0,0,0,0,0,0.375521802853492,0,0,0,0,-0.194458963396884,0.0780513271517175,0.0724592920347831,0.511346685773944,0,0,0.0501164530032432,0,0,0,0.0817700704447692,0,0,0,0,0,0,0,0,0,0,0,0,0.0900702409482853
X600000.CH.EQUITY,0,0,0,0,0,0,0.157336373814647,0.0269785607536162,0,0.0760828942811772,0,0,0,0,0,0,0,0,0,0,0,0.17379008869105,0,0,0.165587543909205,0,0,0,0,0,0.0188415108145204,0,0,0.0850933651491135,0,0,0,0,0,0.104965550358517,0,0,0,0.0068840206930587,0,0,0.146856882178032,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117926038566169,0.221822875460862,0,0.374440748771486,0,-0.418445605835199,0,0,0,0,0,0,0.122709107988467,0,0,0,0,0,0,0.1610228448174,0,0,0.14293040467597,0.142377382800997,0,0,0,0,0.175129023524315,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,-0.108630729640261,0,0,0,0,0,0,0,0,0,0,0.134796688067491,-0.137603614410789,0,0,0,0,0,0,0.0713777244956673,0,0.112873763117105,-0.0716027322873068,0.233173380524019,0,0,0.0811658054557188,0,0,0.18795832395848,0,0,0,0,0,0,0,0.245738944144246,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0562451619808881,0,0,-0.0499473906056937,0,0,0.0591681692051864,0,0,0.118448364464067,0,0.119731332490162,0,0,0,0,0,0,0.0528036410862778,0,0.74433416628857,0,0.0864305807271786,0,0,0,0,0,0,0,0,0,0,0.0541038517388158,0
