,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.113832905376049,0,0.0858256340878001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412291589065968,0,0.499634947629406,0,0,0.151186442779217,0,0,0,0,-0.148870331795559,0,0,0,0,-0.166673897047399,0,0,0,0,-0.808352481630108,0,0,0,0,0,0,0.090571312264521,0,0,0
X601939.CH.EQUITY,0,0,0,0.349150499778823,0,0,0,0,0.109097886396687,0,0,0,0,0.175245554915525,-0.0349979864303389,0,0,0,0,0,0,0,0,0.0243179285209082,0,0,-0.0596704432049922,0,-0.0948168223627493,0,0,0,0,0,0,0,0,-0.00845760548773264,0,0,0,0,0,0,0.0449291575992783,0.42819935850246,0,0,0,0.00219937793474171,-0.0933740888525571,0.153521158644051
X601318.CH.EQUITY,0,0,0,1.73472347597681e-18,0.0666042971926443,0.295227985586818,0,0,0,0,0,0,0,0,0,0,0,0,0.0494320888387505,0,0.129325706754132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328769269963805,0,0,0,0.026416964607932,0,-8.67361737988404e-19,0.0745015036197217,0,0,0,0
X601288.CH.EQUITY,0,0.675270784848943,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0347300998203052,0.151153537300252,0,0,0,0,0,0,0,0,0,0.109661784242901,0,0,0,0,0,0,0,0,0,0,-0.0406839200465,0,0.00645484549624254,0,0,0,0,0,0,0,-0.0596146959932055,0,0,0,0,0,-0.0510780464263767,0,-0.037591761806335
X601988.CH.EQUITY,0,0.265207942685818,0,0.192110249444966,0,0,0,0,0,0,0.0740113761639533,0,0,0,0,0.0548993145468424,0.120168516983607,0,0,0.095746768769715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.541740171791178,0,0,0,0,0,0.163852087828033,0,0,0,0,0,0,0,0.302987127715926
X600036.CH.EQUITY,0,0.123282974728739,0.00881032362468908,0,0,0,0,0.121294329597648,0,0,0,0,0.0788235314395311,0,0,0,0,0,0.0358637138978137,0.0418261495680676,0.0841765301225701,0,0,0,0,0,0,0,0,0,0,0,0,0.361238040202766,0.103632746905353,0,0,0,0,0,0,0,0,-0.0614474784991949,0.0450506667027979,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.00912184850822501,0,0,0,0,0,0,0,0,0,0.192596199967363,0,0,0.0944327091631164,0,0,0,0.275384288573731,0,0,0,0,-0.121539063362156,0,0.0314409178436215,0,0,0.119246051136418,0.0610742535261642,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.337446415015472,0.0339683680162012,0,0,0,0.0208815155078123,0,0.109133736211568
X601628.CH.EQUITY,0,0,0,0,0,0.346410021920422,0,0,0,-0.160983712469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322787044317348,0,0,0,0,0,0,0,0,0.0613423621208991,0.152117442512858,0,0.102142552674116,0,0.14339744851482,0.060789438288968,0,0,0,0.141673345512468,0,0,0,-0.0588191978237518,0,0,0.00633099540253817
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457233640033132,0,0,0,0,0,0,0.0419278599510549,0.536723445172113,-0.338882507098836,0,0.593086238133493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470008128951009,0,0.21374522023808,0,0
X388.HK.EQUITY,0,0,0.273880384898593,0.0279654441667103,0,0,0,0,-0.0291762477942101,0,0,0.0103684427171182,0,0,0,0,0,0,0,0,0,0.196091874181921,0,0,0,0,0,0,0,0,0,0,0,0,0.142211088610145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
