,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.586936606448637,0,0.180504029694105,0.0258569847096973,0,0,0,0,0,0,0,0.0627568930056896,0,0,0,0,0.0275268306213718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.00157364411831135,0,0,0,0,0.0255167022749506,0,-0.0438371577719395,0.110200118654324,0,-0.0100414663284945,-0.0216910383249335,0,0,0,0,0.0431865616301573
X601939.CH.EQUITY,0.129492044730338,0,0,0.576695490914472,0,0.0560844014592572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.134962547518568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732869828360975,0.0116684427249391
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0127580770071725,0,0,0,0,0,0,-2.16840434497101e-19,0.0856618070053879,0.295224657319176,0,0,0,0,0,0,0.141298559689515,0,0,0,0,3.46944695195361e-18,0,-3.46944695195361e-18,0.0481459597541977,0,0,0,0.0032242144431742,0,0.0667530434939961,0.192061172269156,0,0.0138952639575583,0,0,0,0.0199419352062412,0,0,0.0642714803056539,0,0
X601288.CH.EQUITY,0.116491053222864,0,0.00657290420973069,0,0,0.0640715005945617,0,0,0,0.0824829476985067,0,0.0366115485587465,0,0,0,0,0,0,0,0,0,0,0,0,0.150401641010221,0,0.296878443305545,0,0,0.153350032637169,0,0.0582055527394843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.314565734575673,0,0.468432176934692,0,0,0,0,0,0,-0.0957249633265077,0.0986867324166244,0.191178200162704,-0.0333516206753607,0,-0.286312799288375,0,0,0,0,0,0.421021692335168,0,0,-0.0277492534879184,0.120481420383885,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206622105965162,0,-0.472487232897019,8.67361737988404e-19,0,-0.15878443260029,0.107261473116392,0
X601988.CH.EQUITY,0.116212503050645,0.0103793366549691,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584135917847517,0.0365014996140751,0,0,0,0,0.0119254417275733,0.149338330254058,0,0,0,0,0,0,0,0,0,0.0616065263075792,0,0,0,0,0,0,0,0,0,0.087086822278548,0
X600036.CH.EQUITY,0,0,0,0,-0.0282031403477805,0,0,0,0.0323500533434416,0,0,0,0,0,0,0,-0.0222122285852666,0.0377889775322325,0,0,0,0,0,0,0.757626800147192,-0.00619471912776918,0.0323273324135223,0,0,0.103270713534935,0,0,0,0,0,0,0,0,0,0,0,0,0.065383677985217,0.0704323210164341,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234478202225785,0,0,0,0,0,0,0,0.171683177788304,0,0,0,0,0,0,0.124763435383457,0.00710973141806558,0,0,0,0,0,0,0.18474564725907,0.126577522169074,0,0,0,0,0.135956674181158,0,0,0,0,0,0,0,0,0,-0.112187747110058,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.218319022036216,0,0,0,0.0307741507663244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505686968609515,0,0,0,0,0,0,0,0,0,0,0,0,0.402711258608502,0.231693849701656,0,0,0,0.0293128476865222,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.171816862624081,0,0,0,0,0.115082551884604,0,0,0,0,0,0,0.256715104691778,0,0,0,0,0,0,0,0.224862721745834,0,0,0,0,0.0656254241928947,0,0,0,0,0.00608168740835435,0,-0.00585927758237736,0,0,0,0,3.46944695195361e-18,0.198598162927898,0,0,0,0.00222127837625849,0,0,0,0.0278519606476777,0,0,0
