,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.260410596013238,0.0296230609866406,0.058197025613457,-0.0129234949626168,0,0.450301229900747,0,0,0,0.0397460513937383,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812049599714101,0.0339288875271988,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0801432494616066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.208167051613246,0,0,0,0,0.0220578033135143,0.163063549307612,0,0,0,0.0778527292522766,0,0.0445971324702166,0,0,0.034281054121288,0,0,0.165214268471781,0,0,0,0,0,0,0,0,0,0,0,0.0171934200510947,0,0,0,0,0.0560543904892655,0,0.0311505251747088,0,0,0,-0.0621375690555833,0,0,0,0,0.0477890913154419,0,0,0.0991581339464034
X601939.CH.EQUITY,0.305799344889335,0.182309278540349,0,0.18601738947945,0,0,0,0.0509969535009298,0,0,0,0.0338786075383674,0.0552304151520996,0,0,0.029420203012882,0,0,0.24750131737178,-4.33680868994202e-19,0,-0.24007315565368,0,0,0,0.131199651110347,0,0,0.0783029204884201,0,0,0,0.208378661379229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0188430944486671,0,0,0.110462180173172,0,0.467381837841613,0,0,-0.0724815750337932,0.116503421955231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070034770517639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642057001075312,0,0.0426125689743208,0.0353134538649513,0,-0.0351296080123004
X600036.CH.EQUITY,0,0.147864029108306,0,0,0,0.0456335287527569,0.157758442787896,0,0,0,-0.009134912663266,-0.00461600835888996,0.220704863081827,0,0,0.140635566579286,0,0,0.0558599767052957,0,0,0,0,0,0,0.146897839060896,0.195354363666832,0,0,0,0.00148939736850579,0,0,0,0,0,0,0,0.216016584630012,0,0,0,0,0,0,0,0,0,0,0,-0.0833088798682661,0
X601628.CH.EQUITY,0,0,0,0.0453997151263042,0,0,0,0,0,0,0.014290757572186,0.0212523222196879,0,0,0.00343991987848102,-0.224311818355064,0,0,0,0,0,0.0765608668227877,0,0,0,0,-0.016344390641571,0,0,0,0,0,0,0.0128549452491798,0.678946856060163,0,0,0,0,0,0,0.0154146970770644,0,0,0,0,0.120262740761735,0,0,0,0,0.205942312232887
X1299.HK.EQUITY,0,0,-0.0672160906677958,0,0.124279029577998,0,0,0,0,0,0.201725192307905,-0.010215722316789,0,0,0,0,0,0,0,0.188522878399747,0,0,0.184581767777594,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0535789104440878,0.131467927800973,0,0.063232822464508,0,0.0650976503680947,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.105166671848695,0.47191383325636,0.0855610358373244,0,0,0,0,-0.00913430897430376,0.0222824838512067,0,0.255451914681533,0,0,0,0.0366776754694724,0,0,0,0,0,0.0462695781210697,0,0,0,0,0,0,0.0529535735223403,0,0,0,0,0,0,0.0381088165754141,0,0,0.0480251296326394,0,0,0,0.00867893633718542,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.195093832173816,0,0,0,0.0929914505336308,0,0,0,0,0.0402012953945022,0,0,0,0,0,0,0,0,0,0.0821127846854439,0,0.221577677328108,0,0.167541797485999,0,0,0,0,-0.0286039737980094,0,0,0.0699287131474393,0,0,0,0,0,0.212301321896618,0,-0.143515607271985,0,0,0.230210419647053,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.238277833822155,0,-0.0786007106374505,0,0,0,0,0.0470934212008719,0.118524352939265,0,0.0278987283039102,0,0,0,0,0,0,0,0,0,0,0,0.110394253064371,0.0678670808761305,0.348642640820443,0,0,0,0,0,0.00253769852960391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265886076812354
