,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.411732092204852,0.00409345024106979,0,0,0,0,0,0,0,0,0,0,0.0905522806464242,0,0.116857785254548,0,0,0,0,0,0,0,0.0650989332503892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472736501394996,0,0,0,0,0,0,0,0,0,0.0754949777813983,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.106433330293589,0.310365968457304,0,0,0,0,0,0,0,0.262622082417913,0,0,0.0869524190972494,0.0598329438993957,0,2.71050543121376e-20,0,0.00343019902372335,0.0949107162011864,0,0,0,0,0,0,0,0,0.00916588189324274,0,0,0,0,0.0308397121201988,0,0.0104528911129093,0,0,0,0,0,0.0158714013647516,0,0,0
X601939.CH.EQUITY,0.0312454721719449,0,0,0.605375843741223,0,0.0663933254441702,0,0,0,0.116789197492441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418976162022045,0,0,0,0,0,0,0,0.122303298448654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.174167965761309,0.153686759372707,0,0.369217524320484,0,0,0.053228050586662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196808071532298,0,0,0,0,0,0.110822994218839,0.00304942323028966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.144134029017483,0,0.35366241146516,0,0.0756219357858487,0.0312947415980092,0,0,0,0,0,0,0,-0.0182074656486646,0,0,0,0,0,0,0.0108897832715129,0,0,-0.159271619637921,0,0,0,0,0,0,0,0.115389981513872,0,0,0.260725908972042,0,0,0,0,0,0,-0.0991599065695696,0,0.0475929497218759,0,0
X601988.CH.EQUITY,0,0,0,0,0.35661377656843,0,0,0,0,0,0,0,0,0,0,0,0,0.065838699721786,-0.0829893466479012,0,-0.0526547856748749,0,0,0,0.280288795051938,0,0,0,0,0,0,-0.236965585109063,0,0,0,0,0,0,0,0,0,0.151501122672246,0,0,0,0,0,0,-0.0257122513993782,0.137269943602947,0
X600036.CH.EQUITY,0,0.120886329627278,0,0,0,0,0,0,0,0.421895454502874,0,0,0,0,0,0,0.153619092274332,0.0593361387364763,0,-0.12985664852391,0,0,0,0,0.0759199869412506,0,0,0,0,0,0.214280108696435,0,-0.0380299837213378,0,0,0,0,0,-0.0692001298790642,-0.165546311314384,0,0.124602474721331,0,0,0.198827010500858,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.196177668030407,0,0,0,0,0,0,0,0,0,0.0109559517828246,0,0,0.138214000464402,0,0,0.0759167545179695,0,0,0,0,0.0231973307836339,0,0,0.0470634666506318,0,0.0995638783571269,0,0,0,0,0,0.463407451749213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0309266216327888,0,0,0,0,0,0,0,0.132883229024457,0,0,0,0,0.404385046897487,0,0,0,0,0,0,0,0.0035112223235788,0,0,0,0,0,0,0,0,0,0.0668342980465086,0,0,0.180054839258823,0,0,0.185602161303621,0,0,0.0733998052475116,0.0478333126872648,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.207955497495291,0,0,0,0.417755441940291,0,0,0,0,-0.04160301367825,0.499199846430133,0,0,0,0,0,0,0,0.0471427921956109,0.147609847927347,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0366848529557959,-0.0484369845400274,0,0,0,0,0,0,0,-0.116778666067819,0,0,0,-0.122249666581816,0,0,0,0,0
