,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,-0.0414556250057452,0.179930432467233,0.124542861127887,0.0685335440436691,0,0,-0.0421448351768925,0,0.0295590742902387,0,0,0,0,0.0195623443170344,0,0.131990168763462,0,-0.137469865127067,0,0,0,0,0,0,0,0,0,0,0.0873055294823034,0,0,0,0,0.0286833491784841,0,0,0,0,0.114079032900669,0,0,0.428821525264546,0,0,-0.00568409711843524,0,0,-0.0847133820207334,-0.104876010695458
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0112353371470817,0,0,0,0,0,0.169686136219888,0,3.46944695195361e-18,0,0.33477536979454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198261890559459,0,0,0.0495023512964639,0,0,0,0,0,0.00325685560653504,0,0,0,0,0,0,0,0.15736136847365
X601939.CH.EQUITY,0,0,0,0,0.665863677667254,0,0,0,0,0.00634383973996026,0,0.306123170643023,0,-0.0368066901688371,0.0442019202947211,0.0245236851962607,0,0,0.0232536647170752,0,0,0,0,0.0277961920919403,0,0.0460492393395562,0.0209425548816859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592077060743682,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.16924230067765,0.176521076213029,0,0,0,0,0,0,0.345774481078386,0,0,0,0,0.114375370553493,0.0775661950327433,0,0,-0.0543378441185975,0,0,0,0.0295527572920478,0,0.0504337196740155,0,0,0.176497091737805,0,0,0,0,0,0,0,0,0,0,0,0.130427213473835,0,0,0,0
X601288.CH.EQUITY,0.175243820707247,0,0.831944189911416,0,0,0,0,-0.0739545935557174,0,0,0,0,0,0,0,0,0.0228021799962177,0,0,0,0.0119466932144488,0,0,0,0,0,0,0,0,0.0166813216632929,0,0,0,0,0,0.0556307455253735,0,0,-0.0192880022539873,0,-0.17335489293968,0,0,0,0,0,0,0,0,0.0264341171427482,-0.0146891128059003,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.148060352575363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063104820476408,0,0,0,0,0,0,0,0,0.00795915777394408,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509203907775392,0,-0.0404470475631566,-0.0647015519570935,0,0.916844914789081,0,-0.0796533708962659,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.270309909922572,0,0,0,0.10070859450243,0,0,0,0,0,0,0,0.216119557486344,0,0,0,0,0,0,0,-0.0781197715571305,0.0562856951640852,0,0,0,0,0,0.0462105425319924,0.059012877303002,0,0,0,0,0,0.167080019623316,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759351184815597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295685293272776,0.0648287649620737,0,0,0,0,0,-0.252982784860729,0,0,0,0,0,0,0.0697337974889458,0.341186120959314,0.104200176704944,0,0,0.0589148825454791,0,0,0,0
X388.HK.EQUITY,0,0.0294213733676811,0,0.147946767466107,0,0,0,0.133931731353465,0,0,0,0,0,0,0,0,0,0,0,0,0.0820140885604506,0.395018261796376,0.138619055769762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263067851429737,0.120423141065416,0.134173156550921,0,-0.185716447722306,0,0,0,0,0,0,0,0,0,0,0.068144133255612
