,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.294930257094895,0,0.0288349456287099,0,0,0.43167184159685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107786371902241,0,0.0237409771052321,0,0,0,0,0,0,0,0,0,0,0.0889335047972381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.198223016412818,0,0,0.0608975209064996,0,0,0,0,0,0,0.0342850619029672,0,0,0.258476299170291,0,0.00961975088284594,0,0,0.098115976371023,0,0,0,0,0,0,0,0,0,0.166898378060388,0,0.093504552685322,0,0,0.00091662397096199,0,0,0,0,0,0,0,0,0,0,0.0300500815621212,0,0,0,0,0
X601939.CH.EQUITY,0.470071498525233,0.148914554612554,0,0,0,0,0,0.256219297486015,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177619577639074,0,0,0,0,0,0,-0.00284008591222485,0,0,0,0.116588549956848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137375331805401,0.19546724891354,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.537820113992884,0,-0.0869341554826213,0,0.0602597828772444,0,0,0,0,0,0,0,0,0,0,0.0608947393566762,0,0.119339696465165,0,0,0,0,0,0.102135160192834,0,0.0575684570500492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397429374262275,0,0,0,0.013821250232079,0
X600036.CH.EQUITY,0,0.118323813632692,0,0,0,0.0800151557436725,0,0.0897136577497802,0,0,0,1.73472347597681e-18,0.105173698762855,0,0.0022206506715191,0,0,0,0,0,0,0,0.0142302695705669,0,0.0930565226087375,0,0,0,0,0,0.0801383105290114,0,0,0,0,0,0,0.0398581157067614,0,0,0,0,0,0,0,0,0,0,0,0.34463368757713,-0.219110781928593,0.00259050504348019
X1299.HK.EQUITY,0,0,-0.152803569123459,0,0,0,0,0,0,0.212494527481103,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0211018317223609,0,0,0,0,0,0,0,0,0,0.224117228024698,0,0,0,0,0.135401325267103,0,0.193760668477505,3.46944695195361e-18,0,0,0.277511844479473,0,0,0,0.133911075632971,0,0,0,0
X601628.CH.EQUITY,0.172991597774451,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0222649705953125,0,-0.296141122824909,0,0,0,0,0,-0.0318308060455866,0.131899053079677,0,0,0,0,-0.0656656023291299,0,0,0,0,0,0,0.147952099557278,0.58100594392192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205811891563632,0,0.0302806254282901,0.143893389911356
X601988.CH.EQUITY,0.0914063131701011,0,0.0941328784538532,0.336964945436269,0,0,0,0,0,0.0265468620811782,0,0,0.208294816470855,0,0,0,0.134646606196543,0,0,0,0,0,0.0133596662687012,0,0.0416624132343512,0,0,0,0,0.119863395447896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.249495345163922,0.103331571082673,0,0,0,0,0,0,-0.0346856645456573,0,0,0,0,0,0,0,0,0,0,0,-0.292348627276071,0.127041711385995,0,0,0.150475164270441,0.0373824442645251,0,0,0,0,0,0.0208505161941397,0,0,0,0,0,0,-0.0792263747833831,0.199636106685908,0.0418281687670661,0,0,0,0,0,0,0,-0.0643309945899164,0.129603810541945,-0.119621863088521
X388.HK.EQUITY,0,0,0,0,-0.122298167695004,0.215681183303355,0,0,0,0,0,0,0,0,0,-0.0763619275375502,0,0,0,-0.118537325931013,0,0.463696088706943,0.0272244982544706,0,0,0,0,0.0837873980282844,0,0,0,0,-0.0587431147087296,0,0,0,0,0,0.144095496161284,0.076233206579551,0,0,0,0,0.149817092183752,-0.182478607947511,0,0,-0.0471980857279422,0,0.158138271109802,0
