,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.115396452838102,0,0,0,0,0,0,-0.00486374586276145,0,0,0,0,0,0,0,0,0,0,-0.169717996622852,0,0.0494039309397135,0.692181909296887,0,-0.247304350715176,0.499518316761701,0,-1.38777878078145e-17,-0.15286729545683,0,0,0,0,-0.0376945123015461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119988620202656
X601318.CH.EQUITY,0,0,0,0,0,0.325044198145839,0,0,0,-0.062469139236608,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836166612675874,0.0955142712177271,0,0,0,0,0.223015937710496,0,0,0,0,0,0,0,0,0,0,0,0.0564428505139179,0,0,0,0.0526194361780258
X601939.CH.EQUITY,0,0.00544032688797613,0,0.78894002961963,0,0,0,0.0015178099182064,0,0.0478545318576658,0.0790447520758234,0,0.0133075952897837,-0.0612556360214218,0.00201874739761623,0,0.0623383992564882,0,0,0,0,0,0,0,0.0399610658403844,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.124334569989414,0,0,0,0,0,0,0,0,0,0,0,0,0.0324020468752209,0
X601288.CH.EQUITY,0.00996107372472436,0,0.81741791761618,0,-0.0316226294281655,0,0,-0.101265000772343,0,0.0346712106738772,0.178679201048211,0,0,0,0,0.0406603285029321,0,0,0.0357239678591643,0,0,0,0,0,0.0495898537574186,0,0,0,0,0,0,0.0806507045182508,0,0,0,0,0,0,0,-0.0897527034361862,-0.135838863321947,0,0,0,0,0,0,0,0,0,-0.0584021878545216,0
X601628.CH.EQUITY,0.003423276725418,0,0,3.46944695195361e-18,0,0,0,0,0,0.305151357972753,0,0.0624187281573991,0,0,0,0,0,0,0,0.169141905290285,0,0,0,0,-0.0350151724505097,0,0,0,0,0,0,0,0,0,0,0,0,0.319819885071879,0,0,0,0,0,0,0,0.158966892144199,0,0,0,0.286678107371548,0,0.0821760361426539
X600036.CH.EQUITY,0,0,0.113839310245306,0.264059788372343,0,0,0,0,0.00597565544558438,0,0,0,0,0,0,0,0,0.122732319034875,0,0,0,0,0,0,0.144053125138059,0,0,0,0.0925836856771599,0,0.036406797326852,0,0,0,0,0,0,0.0344185902392161,0,0,0,0,0,0,0,0,0,0,0.0345196413708361,0,0,0
X601988.CH.EQUITY,0,0,0,0.0871375406727767,-0.0455010442413303,0,0,0,-0.0202462143010668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175550417658145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125877502246811,1.00170968205072,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.236746342038256,0,0,0,0.00127411355808279,0,0,0,0,0,0,0,0,0.276649581643148,-0.0110582970746386,0,0,0,0.0728757473554026,0,0,0,0,0.179199304207509,0,0,0,0.0509490040637484,0,0.0881756016335377,0,0,0,0.0330935500713293,0.0508426197813996,0,0,0,0,0,0.162289851274345,0,0.0434827683862661
X5.HK.EQUITY,0,-0.0797629943032901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230004352236481,0,0,0,0,0,0.0807788702007177,0.34449382529386,0,0,0,0,0,0,0,-0.139747066819456,0,0,0,-0.0239671612513048,0,0,0,0.0539189341375146,0,0,0,0,0.0965929785837813,-0.167302935110349,0.166200371550243,-0.0222821655359278
X388.HK.EQUITY,0,0,0,0,0.212791237766768,0,0,0,0,0,0,0,0,0.00433961496381692,0,0,0,0,0,0,0.115772138441947,0,0.259200825712899,0,0,0.121638763677718,0,0,0,0,0,0,0.143166169446264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188809809139542,0,0,0.277104607307168
