,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0928287457130817,0,0.0417898925957059,0,0,0,-0.119543124564665,0,0,0,0.531727809457151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159290687491085,0,0,0,0,0,0.00663121254227361,0,0.0779065169836627,0,0,0,0,0,0.238277327839909,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00570726795282035,0,0,0.12285138351724,0,0.2609695456169,0,0,-0.0329485017171,0.240361960981785,0,0,0,0,0,0,-0.148685298577951,0,0,0,0,0,0,0,0,0,0,0,0,0.162782820952877,0,0,0,0,-0.283432868087242,0,0.319982061570659,0.267963395326702,0.263141899074853,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328681092738955,0,0,0.330415886250106,0,0.103673246793664,0,-0.0624527063985456,0,0,0,0,0,0,0.11003156483621,0.0665523755614902,0,0,0,0,0,0.00490955752019679,0,0,0,0,0,0,0,0,0,-0.00900931906795083,0,0,0,0,-0.130899385052324,0,0,0.338097585197048,0,0,0,0.017776723335134,0,0,-0.0424960188952149,0,0,0,0,0
X601288.CH.EQUITY,0.368291208295986,0,0.118032432539901,0,0,0.227208917058251,0,0,0.110916856161088,0,0,0,0,0,0,0,0.0512244521391139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864619082708733,0,0,0,0,0,0,0,0,0.173429547420095,0.0566218429521208,0,0
X5.HK.EQUITY,0,0,0.0550810238493137,0.230768484351404,0,0.137067359349799,0,-0.40216480705426,0,0,0,0,0.0978900085781713,0,0,0,3.46944695195361e-18,0,0,0,0.415384357753047,0,0,0,0,0.48880192798966,0,0,0,0,0,0,0,0.0975703806540399,0,0,0,0,0,0,0,0,0,0,-0.179337449175697,0,0.122550393277231,0,-0.00908651088301336,0,0,0
X601988.CH.EQUITY,0.281517180758501,0.0693680819646324,0.318562076633254,0,0,0,0,0,0.137918608452268,0,0,0.00623417130793501,0,-0.175051310574572,0,0,-1.38777878078145e-17,0,0,0,0,0,0.152580084604597,0,0,0,0,0.0238817315570487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801886850798582,0,0.154362669208962,0,0,0,0,-0.0183484983446481,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0971347605579645,0,0,0.245845127071719,-0.00772128368110814,-0.0377787979584625,0.0157041891692988,0,0.280610387188657,0,0.258277095775557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921777813683274,0,8.67361737988404e-19,0.089726689828832,0,0,0,0.134740276997824,0,0.0105230683899131,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0368140187884325,0,0,0,0.209820108641079,0,0,0,-0.179220954405725,0,0,0,0,0.366608936999693,0.177571503921078,-0.0502098662646077,0,0,0,0.104754995315095,0,0.072099152797297,0,0,0,0,0,0,0,0,0,0.00101551752934913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.212253772159793,0.264787808767597,0,0,0.154745798737631,0,0,0,0,0.027899676002962,0.000510192893928562,0,0,0,0,0,0,0.0716063593036219,0,0,-0.177529280446457,0,0,0,0,0,0,0.263468979237205,0,0,-0.32958473704961,0,0,0,0,0,-0.0846844757288845,0,0,0.0346130546883689,0,0,0,0,0,0,0,0,0,0,0,0.0511860293825798
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127899081163218,0,0,0,0,0,0,0,0,0.303311831018719,0,0,0,0,0,0.0131282455790829,-0.0123408502601782,0,0,0,0,0,0,0,0,0,-0.217418095353192,0,0,0,0.0444488638430088,0,0,0,0,0,0
